#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
43121at50557_103372_0:001d6c|STRG.17025.1:106-1101|+   -            332 43121at50557         -            432  2.9e-163  542.8   2.1   1   1  4.3e-164  1.6e-162  540.3   2.1     1   290     1   332     1   332 0.92 -
90358at50557_1218281_0:001c2e|STRG.17024.1:13-432|+    -            140 43121at50557         -            432   5.9e-56  189.2   0.4   1   2      0.75        28    2.4   0.1   325   336     1    12     1    17 0.89 -
90358at50557_1218281_0:001c2e|STRG.17024.1:13-432|+    -            140 43121at50557         -            432   5.9e-56  189.2   0.4   2   2   2.1e-56   7.8e-55  185.5   0.0   323   431    23   140    13   140 0.91 -
80377at50557_121845_0:0030d4|STRG.6089.1:117-983|+     -            289 43121at50557         -            432   4.3e-41  140.3  12.2   1   5   5.1e-09   1.9e-07   29.3   0.2   263   333     3    76     2    78 0.90 -
80377at50557_121845_0:0030d4|STRG.6089.1:117-983|+     -            289 43121at50557         -            432   4.3e-41  140.3  12.2   2   5     2e-13   7.6e-12   43.9   0.5   263   335    45   120    38   125 0.91 -
80377at50557_121845_0:0030d4|STRG.6089.1:117-983|+     -            289 43121at50557         -            432   4.3e-41  140.3  12.2   3   5     6e-12   2.3e-10   39.0   0.1   262   333    86   160    76   164 0.89 -
80377at50557_121845_0:0030d4|STRG.6089.1:117-983|+     -            289 43121at50557         -            432   4.3e-41  140.3  12.2   4   5   4.9e-10   1.9e-08   32.7   0.0   263   332   129   202   122   204 0.90 -
80377at50557_121845_0:0030d4|STRG.6089.1:117-983|+     -            289 43121at50557         -            432   4.3e-41  140.3  12.2   5   5   1.3e-08     5e-07   28.0   0.1   268   337   177   252   167   270 0.87 -
80377at50557_30019_0:0008bb|STRG.11985.1:1377-2237|+   -            287 43121at50557         -            432   1.7e-27   95.4  19.9   1   5   1.2e-11   4.6e-10   38.0   1.5   257   360     8   109     3   111 0.85 -
80377at50557_30019_0:0008bb|STRG.11985.1:1377-2237|+   -            287 43121at50557         -            432   1.7e-27   95.4  19.9   2   5   8.9e-07   3.4e-05   22.0   0.0   264   333    95   163    89   172 0.88 -
80377at50557_30019_0:0008bb|STRG.11985.1:1377-2237|+   -            287 43121at50557         -            432   1.7e-27   95.4  19.9   3   5   3.2e-08   1.2e-06   26.7   0.1   263   347   134   217   129   227 0.90 -
80377at50557_30019_0:0008bb|STRG.11985.1:1377-2237|+   -            287 43121at50557         -            432   1.7e-27   95.4  19.9   4   5   2.5e-08   9.3e-07   27.1   0.3   262   333   173   243   168   248 0.91 -
80377at50557_30019_0:0008bb|STRG.11985.1:1377-2237|+   -            287 43121at50557         -            432   1.7e-27   95.4  19.9   5   5   2.8e-06   0.00011   20.3   0.5   277   334   226   287   224   287 0.87 -
80377at50557_30019_0:0008bb|STRG.11985.2:1377-2237|+   -            287 43121at50557         -            432   1.7e-27   95.4  19.9   1   5   1.2e-11   4.6e-10   38.0   1.5   257   360     8   109     3   111 0.85 -
80377at50557_30019_0:0008bb|STRG.11985.2:1377-2237|+   -            287 43121at50557         -            432   1.7e-27   95.4  19.9   2   5   8.9e-07   3.4e-05   22.0   0.0   264   333    95   163    89   172 0.88 -
80377at50557_30019_0:0008bb|STRG.11985.2:1377-2237|+   -            287 43121at50557         -            432   1.7e-27   95.4  19.9   3   5   3.2e-08   1.2e-06   26.7   0.1   263   347   134   217   129   227 0.90 -
80377at50557_30019_0:0008bb|STRG.11985.2:1377-2237|+   -            287 43121at50557         -            432   1.7e-27   95.4  19.9   4   5   2.5e-08   9.3e-07   27.1   0.3   262   333   173   243   168   248 0.91 -
80377at50557_30019_0:0008bb|STRG.11985.2:1377-2237|+   -            287 43121at50557         -            432   1.7e-27   95.4  19.9   5   5   2.8e-06   0.00011   20.3   0.5   277   334   226   287   224   287 0.87 -
80377at50557_30019_0:0008bb|STRG.11985.3:1033-1893|+   -            287 43121at50557         -            432   1.7e-27   95.4  19.9   1   5   1.2e-11   4.6e-10   38.0   1.5   257   360     8   109     3   111 0.85 -
80377at50557_30019_0:0008bb|STRG.11985.3:1033-1893|+   -            287 43121at50557         -            432   1.7e-27   95.4  19.9   2   5   8.9e-07   3.4e-05   22.0   0.0   264   333    95   163    89   172 0.88 -
80377at50557_30019_0:0008bb|STRG.11985.3:1033-1893|+   -            287 43121at50557         -            432   1.7e-27   95.4  19.9   3   5   3.2e-08   1.2e-06   26.7   0.1   263   347   134   217   129   227 0.90 -
80377at50557_30019_0:0008bb|STRG.11985.3:1033-1893|+   -            287 43121at50557         -            432   1.7e-27   95.4  19.9   4   5   2.5e-08   9.3e-07   27.1   0.3   262   333   173   243   168   248 0.91 -
80377at50557_30019_0:0008bb|STRG.11985.3:1033-1893|+   -            287 43121at50557         -            432   1.7e-27   95.4  19.9   5   5   2.8e-06   0.00011   20.3   0.5   277   334   226   287   224   287 0.87 -
80377at50557_30019_0:0008bb|STRG.11985.4:1597-2457|+   -            287 43121at50557         -            432   1.7e-27   95.4  19.9   1   5   1.2e-11   4.6e-10   38.0   1.5   257   360     8   109     3   111 0.85 -
80377at50557_30019_0:0008bb|STRG.11985.4:1597-2457|+   -            287 43121at50557         -            432   1.7e-27   95.4  19.9   2   5   8.9e-07   3.4e-05   22.0   0.0   264   333    95   163    89   172 0.88 -
