#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
54603at50557_103372_0:00290d|STRG.8711.1:0-1844|+      -            615 54603at50557         -            483  5.3e-232  769.4  24.4   1   1  8.5e-234  6.8e-232  769.0  24.4     1   481    96   613    96   615 0.95 -
54603at50557_217634_0:0030bb|STRG.19126.1:566-1666|+   -            367 54603at50557         -            483   6.5e-56  188.7  36.0   1   4   1.4e-24   1.1e-22   79.0   5.2   271   431    27   193    21   195 0.91 -
54603at50557_217634_0:0030bb|STRG.19126.1:566-1666|+   -            367 54603at50557         -            483   6.5e-56  188.7  36.0   2   4   1.4e-22   1.1e-20   72.4   3.1   336   435   142   243   141   247 0.94 -
54603at50557_217634_0:0030bb|STRG.19126.1:566-1666|+   -            367 54603at50557         -            483   6.5e-56  188.7  36.0   3   4   4.7e-18   3.7e-16   57.5   9.5   339   435   237   335   234   338 0.94 -
54603at50557_217634_0:0030bb|STRG.19126.1:566-1666|+   -            367 54603at50557         -            483   6.5e-56  188.7  36.0   4   4     4e-05    0.0032   14.9   0.0   163   201   326   364   324   367 0.74 -
54603at50557_217634_0:0030bb|STRG.19126.2:136-1236|+   -            367 54603at50557         -            483   6.5e-56  188.7  36.0   1   4   1.4e-24   1.1e-22   79.0   5.2   271   431    27   193    21   195 0.91 -
54603at50557_217634_0:0030bb|STRG.19126.2:136-1236|+   -            367 54603at50557         -            483   6.5e-56  188.7  36.0   2   4   1.4e-22   1.1e-20   72.4   3.1   336   435   142   243   141   247 0.94 -
54603at50557_217634_0:0030bb|STRG.19126.2:136-1236|+   -            367 54603at50557         -            483   6.5e-56  188.7  36.0   3   4   4.7e-18   3.7e-16   57.5   9.5   339   435   237   335   234   338 0.94 -
54603at50557_217634_0:0030bb|STRG.19126.2:136-1236|+   -            367 54603at50557         -            483   6.5e-56  188.7  36.0   4   4     4e-05    0.0032   14.9   0.0   163   201   326   364   324   367 0.74 -
54603at50557_116153_0:001d7a|STRG.22447.1:316-1761|+   -            482 54603at50557         -            483   5.6e-47  159.2  40.7   1   5   3.5e-18   2.8e-16   58.0   8.2   334   429    14   111     2   111 0.93 -
54603at50557_116153_0:001d7a|STRG.22447.1:316-1761|+   -            482 54603at50557         -            483   5.6e-47  159.2  40.7   2   5   2.4e-08   1.9e-06   25.5   0.3    66   119    92   145    90   148 0.94 -
54603at50557_116153_0:001d7a|STRG.22447.1:316-1761|+   -            482 54603at50557         -            483   5.6e-47  159.2  40.7   3   5   1.7e-16   1.4e-14   52.4   8.0   298   435   111   254   111   275 0.87 -
54603at50557_116153_0:001d7a|STRG.22447.1:316-1761|+   -            482 54603at50557         -            483   5.6e-47  159.2  40.7   4   5   1.1e-06   9.1e-05   20.0   0.1   141   205   311   376   302   379 0.78 -
54603at50557_116153_0:001d7a|STRG.22447.1:316-1761|+   -            482 54603at50557         -            483   5.6e-47  159.2  40.7   5   5   4.5e-12   3.6e-10   37.8   5.4   336   433   381   481   378   482 0.92 -
8280at50557_83485_0:001d33|STRG.22786.1:33-3467|+      -           1145 54603at50557         -            483   5.1e-43  146.1  54.9   1   8   2.8e-10   2.2e-08   31.9   2.0    77   416   101   235    57   246 0.50 -
8280at50557_83485_0:001d33|STRG.22786.1:33-3467|+      -           1145 54603at50557         -            483   5.1e-43  146.1  54.9   2   8   5.5e-09   4.4e-07   27.6   2.9   334   435   243   350   235   355 0.71 -
8280at50557_83485_0:001d33|STRG.22786.1:33-3467|+      -           1145 54603at50557         -            483   5.1e-43  146.1  54.9   3   8   0.00081     0.064   10.6   0.0   270   326   365   421   355   421 0.87 -
8280at50557_83485_0:001d33|STRG.22786.1:33-3467|+      -           1145 54603at50557         -            483   5.1e-43  146.1  54.9   4   8     5e-12     4e-10   37.7   0.5   271   416   414   575   405   578 0.80 -
8280at50557_83485_0:001d33|STRG.22786.1:33-3467|+      -           1145 54603at50557         -            483   5.1e-43  146.1  54.9   5   8   7.4e-06   0.00059   17.3   3.7    75   221   555   717   537   720 0.67 -
8280at50557_83485_0:001d33|STRG.22786.1:33-3467|+      -           1145 54603at50557         -            483   5.1e-43  146.1  54.9   6   8   2.2e-09   1.7e-07   29.0   0.4    39   120   705   790   696   801 0.83 -
8280at50557_83485_0:001d33|STRG.22786.1:33-3467|+      -           1145 54603at50557         -            483   5.1e-43  146.1  54.9   7   8   7.5e-08     6e-06   23.9  10.5   252   435   780   970   778   997 0.76 -
8280at50557_83485_0:001d33|STRG.22786.1:33-3467|+      -           1145 54603at50557         -            483   5.1e-43  146.1  54.9   8   8       1.2        96    0.1   0.1    92   123  1078  1106  1017  1115 0.55 -
8280at50557_83485_0:001d33|STRG.22786.2:221-3655|+     -           1145 54603at50557         -            483   5.1e-43  146.1  54.9   1   8   2.8e-10   2.2e-08   31.9   2.0    77   416   101   235    57   246 0.50 -
8280at50557_83485_0:001d33|STRG.22786.2:221-3655|+     -           1145 54603at50557         -            483   5.1e-43  146.1  54.9   2   8   5.5e-09   4.4e-07   27.6   2.9   334   435   243   350   235   355 0.71 -
8280at50557_83485_0:001d33|STRG.22786.2:221-3655|+     -           1145 54603at50557         -            483   5.1e-43  146.1  54.9   3   8   0.00081     0.064   10.6   0.0   270   326   365   421   355   421 0.87 -
8280at50557_83485_0:001d33|STRG.22786.2:221-3655|+     -           1145 54603at50557         -            483   5.1e-43  146.1  54.9   4   8     5e-12     4e-10   37.7   0.5   271   416   414   575   405   578 0.80 -
