#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
96662at50557_286306_0:0043a3|STRG.13757.1:278-2271|+   -            461 96662at50557         -            445  1.4e-179  596.8   0.2   1   1  4.2e-181  1.6e-179  596.7   0.2     1   411    22   460    22   461 0.97 -
96662at50557_34720_0:002192|STRG.13757.2:175-942|+     -            256 96662at50557         -            445    2e-125  418.3   0.1   1   1  5.9e-127  2.2e-125  418.2   0.1     1   232    21   255    21   256 0.96 -
2648at50557_7539_0:00235a|STRG.10972.1:704-2977|+      -            758 96662at50557         -            445   2.1e-66  223.8  17.1   1  10   1.8e-12   6.8e-11   40.8   0.1   340   444    18   122     9   123 0.92 -
2648at50557_7539_0:00235a|STRG.10972.1:704-2977|+      -            758 96662at50557         -            445   2.1e-66  223.8  17.1   2  10   5.1e-08   1.9e-06   26.2   0.0   371   444    81   155    80   156 0.95 -
2648at50557_7539_0:00235a|STRG.10972.1:704-2977|+      -            758 96662at50557         -            445   2.1e-66  223.8  17.1   3  10   1.6e-06   6.1e-05   21.2   0.1   366   444   171   250   155   251 0.88 -
2648at50557_7539_0:00235a|STRG.10972.1:704-2977|+      -            758 96662at50557         -            445   2.1e-66  223.8  17.1   4  10   1.6e-06     6e-05   21.2   0.0   372   431   243   302   239   307 0.94 -
2648at50557_7539_0:00235a|STRG.10972.1:704-2977|+      -            758 96662at50557         -            445   2.1e-66  223.8  17.1   5  10   1.1e-08   3.9e-07   28.4   0.0   368   443   305   381   301   382 0.91 -
2648at50557_7539_0:00235a|STRG.10972.1:704-2977|+      -            758 96662at50557         -            445   2.1e-66  223.8  17.1   6  10   2.6e-05   0.00097   17.3   0.0   368   429   371   432   364   434 0.90 -
2648at50557_7539_0:00235a|STRG.10972.1:704-2977|+      -            758 96662at50557         -            445   2.1e-66  223.8  17.1   7  10   9.8e-08   3.7e-06   25.2   0.0   372   444   441   514   435   515 0.92 -
2648at50557_7539_0:00235a|STRG.10972.1:704-2977|+      -            758 96662at50557         -            445   2.1e-66  223.8  17.1   8  10   7.7e-09   2.9e-07   28.9   0.0   345   430   513   598   504   609 0.85 -
2648at50557_7539_0:00235a|STRG.10972.1:704-2977|+      -            758 96662at50557         -            445   2.1e-66  223.8  17.1   9  10     4e-06   0.00015   19.9   0.0   369   430   603   664   598   668 0.93 -
