#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
52703at50557_103372_0:001b91|STRG.13399.1:110-1360|+  -            417 52703at50557         -            352    2e-201  667.0   0.1   1   1  1.5e-203  5.4e-201  665.6   0.1     1   352     6   414     6   414 0.93 -
75144at50557_28612_0:003734|STRG.3689.1:140-1267|+    -            376 52703at50557         -            352     2e-69  232.8   0.0   1   1   6.7e-72   2.5e-69  232.5   0.0     2   332     8   350     7   373 0.89 -
75144at50557_28612_0:003734|STRG.2981.1:138-1265|+    -            376 52703at50557         -            352   3.6e-69  232.0   0.0   1   1   1.2e-71   4.4e-69  231.7   0.0     2   332     8   350     7   374 0.89 -
75144at50557_28612_0:003734|STRG.2981.2:91-1218|+     -            376 52703at50557         -            352   3.6e-69  232.0   0.0   1   1   1.2e-71   4.4e-69  231.7   0.0     2   332     8   350     7   374 0.89 -
75144at50557_28612_0:003734|STRG.3684.1:166-1293|+    -            376 52703at50557         -            352   4.2e-69  231.8   0.0   1   1   1.4e-71   5.2e-69  231.5   0.0     2   332     8   350     7   373 0.89 -
75144at50557_28612_0:003734|STRG.3686.1:115-1242|+    -            376 52703at50557         -            352   4.2e-69  231.8   0.0   1   1   1.4e-71   5.2e-69  231.5   0.0     2   332     8   350     7   373 0.89 -
75144at50557_28612_0:003734|STRG.18941.1:386-1375|+   -            330 52703at50557         -            352     3e-66  222.4   0.0   1   1   1.1e-68   3.9e-66  222.0   0.0     2   314     8   328     7   329 0.91 -
75144at50557_28612_0:003734|STRG.2835.1:141-1241|+    -            367 52703at50557         -            352     2e-61  206.6   0.0   1   1   6.3e-64   2.3e-61  206.3   0.0     3   330     3   339     1   354 0.89 -
57613at50557_610380_0:00141b|STRG.11538.1:549-1736|+  -            396 52703at50557         -            352   1.1e-57  194.2   0.1   1   1   3.9e-60   1.5e-57  193.8   0.1     3   311    11   333     9   358 0.88 -
57613at50557_610380_0:00141b|STRG.11538.6:468-1655|+  -            396 52703at50557         -            352   1.1e-57  194.2   0.1   1   1   3.9e-60   1.5e-57  193.8   0.1     3   311    11   333     9   358 0.88 -
57613at50557_610380_0:00141b|STRG.11538.3:549-1754|+  -            402 52703at50557         -            352   1.8e-56  190.2   0.1   1   1   6.5e-59   2.4e-56  189.8   0.1     3   311    11   339     9   364 0.88 -
57613at50557_610380_0:00141b|STRG.11538.5:469-1674|+  -            402 52703at50557         -            352   1.8e-56  190.2   0.1   1   1   6.5e-59   2.4e-56  189.8   0.1     3   311    11   339     9   364 0.88 -
57613at50557_610380_0:00141b|STRG.11538.7:74-1114|+   -            347 52703at50557         -            352   1.3e-49  167.7   0.0   1   1   4.8e-52   1.8e-49  167.2   0.0    47   311     7   284     2   309 0.88 -
57613at50557_13037_0:001512|STRG.11538.4:555-1645|+   -            307 52703at50557         -            352   2.1e-44  150.6   0.0   1   2   4.5e-32   1.7e-29  101.6   0.0     3   153     9   163     7   169 0.91 -
57613at50557_13037_0:001512|STRG.11538.4:555-1645|+   -            307 52703at50557         -            352   2.1e-44  150.6   0.0   2   2   1.3e-15   4.9e-13   47.4   0.0   230   311   168   248   163   272 0.89 -
75144at50557_7539_0:003503|STRG.16321.1:24-1256|+     -            411 52703at50557         -            352   1.3e-37  128.2   0.0   1   2   5.4e-32     2e-29  101.3   0.0     2   209     5   219     4   228 0.87 -
75144at50557_7539_0:003503|STRG.16321.1:24-1256|+     -            411 52703at50557         -            352   1.3e-37  128.2   0.0   2   2   9.1e-09   3.4e-06   24.9   0.0   229   329   279   385   263   401 0.77 -
75144at50557_7539_0:003503|STRG.19496.1:206-1495|+    -            430 52703at50557         -            352   8.6e-37  125.5   0.0   1   2   7.3e-29   2.7e-26   91.0   0.0     3   213     6   235     4   267 0.78 -
75144at50557_7539_0:003503|STRG.19496.1:206-1495|+    -            430 52703at50557         -            352   8.6e-37  125.5   0.0   2   2   2.8e-10     1e-07   29.9   0.0   229   329   292   402   275   416 0.80 -
52703at50557_1155016_0:00193c|STRG.19882.1:192-1199|+ -            336 52703at50557         -            352   8.3e-23   79.5   0.1   1   2   0.00018     0.065   10.8   0.0     4    39     1    36     1    48 0.84 -
52703at50557_1155016_0:00193c|STRG.19882.1:192-1199|+ -            336 52703at50557         -            352   8.3e-23   79.5   0.1   2   2   3.6e-21   1.3e-18   65.7   0.1    71   316    44   296    35   324 0.80 -
75144at50557_34720_0:000d74|STRG.12326.1:130-1302|+   -            391 52703at50557         -            352   1.8e-18   65.2   0.1   1   2   7.1e-12   2.6e-09   35.1   0.5    49   218    42   218     5   233 0.77 -
75144at50557_34720_0:000d74|STRG.12326.1:130-1302|+   -            391 52703at50557         -            352   1.8e-18   65.2   0.1   2   2   8.3e-10   3.1e-07   28.3   0.0   199   328   228   360   223   378 0.83 -
57613at50557_7536_0:002bce|STRG.11538.4:1085-1648|+   -            188 52703at50557         -            352   1.1e-13   49.5   0.0   1   1   3.7e-16   1.4e-13   49.2   0.0   230   311    48   128    39   160 0.89 -
75144at50557_28612_0:003734|STRG.2211.1:174-755|+     -            194 52703at50557         -            352   1.1e-12   46.2   0.0   1   1   3.7e-15   1.4e-12   45.9   0.0     4   187     9   194     6   194 0.86 -
150643at50557_315563_0:0000a6|STRG.3684.1:997-1293|+  -             99 52703at50557         -            352   3.5e-11   41.3   0.0   1   1   9.6e-14   3.5e-11   41.3   0.0   262   332     2    73     1    97 0.84 -
75144at50557_132113_0:003254|STRG.20788.1:851-1636|+  -            262 52703at50557         -            352   1.9e-06   25.7   0.0   1   1   8.1e-09     3e-06   25.1   0.0    98   302    26   240     6   253 0.79 -
57613at50557_7536_0:002bce|STRG.2211.1:1638-1994|+    -            119 52703at50557         -            352   0.00043   18.0   0.0   1   1   1.2e-06   0.00045   17.9   0.0   232   304     2    73     1    99 0.88 -
147680at50557_103372_0:000c7a|STRG.10886.1:95-556|+   -            154 52703at50557         -            352   0.00098   16.8   0.3   1   1   3.1e-06    0.0012   16.6   0.3   164   234    82   151    66   154 0.83 -
80072at50557_103372_0:001f31|STRG.19541.1:106-1167|+  -            354 52703at50557         -            352     0.019   12.6   0.5   1   2   0.00075      0.28    8.7   0.0   244   308    90   158    77   197 0.82 -
80072at50557_103372_0:001f31|STRG.19541.1:106-1167|+  -            354 52703at50557         -            352     0.019   12.6   0.5   2   2     0.079        29    2.1   0.1   249   345   245   342   236   347 0.67 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/52703at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/52703at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/52703at50557.hmm annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 20:08:07 2024
# [ok]
