#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
38815at50557_34720_0:00060d|STRG.2514.1:94-1977|+    -            628 38815at50557         -            491  3.8e-141  470.0   1.9   1   1  8.1e-144  5.7e-141  469.4   1.9     2   491    49   628    48   628 0.86 -
38815at50557_74869_0:001e74|STRG.14822.1:165-1775|+  -            537 38815at50557         -            491   1.2e-64  217.7   0.0   1   1   6.1e-67   4.3e-64  215.9   0.0    10   453     2   536     1   537 0.82 -
38815at50557_136037_0:00109b|STRG.11623.1:253-1338|+ -            362 38815at50557         -            491   1.9e-34  118.1   0.1   1   1   3.6e-37   2.5e-34  117.7   0.1    42   322    23   351     3   356 0.78 -
38815at50557_136037_0:00109b|STRG.6564.1:318-1403|+  -            362 38815at50557         -            491   7.1e-34  116.2   0.0   1   1   1.5e-36     1e-33  115.7   0.0    43   323    24   352     3   356 0.78 -
38815at50557_6973_0:0035db|STRG.12700.1:378-1376|+   -            333 38815at50557         -            491   6.6e-27   93.2   0.0   1   1   1.2e-29   8.8e-27   92.8   0.0    78   313    31   304    25   322 0.78 -
38815at50557_6973_0:0035db|STRG.4178.1:644-1657|+    -            338 38815at50557         -            491     2e-23   81.7   0.0   1   1   3.7e-26   2.6e-23   81.3   0.0    69   299    33   290     1   332 0.74 -
38815at50557_6973_0:0035db|STRG.4178.2:288-1301|+    -            338 38815at50557         -            491     2e-23   81.7   0.0   1   1   3.7e-26   2.6e-23   81.3   0.0    69   299    33   290     1   332 0.74 -
38815at50557_6973_0:0035db|STRG.4178.3:389-1402|+    -            338 38815at50557         -            491     2e-23   81.7   0.0   1   1   3.7e-26   2.6e-23   81.3   0.0    69   299    33   290     1   332 0.74 -
56276at50557_319348_0:003341|STRG.8489.1:382-1503|+  -            374 38815at50557         -            491   2.6e-21   74.8   0.0   1   1     5e-24   3.5e-21   74.3   0.0    52   323    35   355     9   368 0.78 -
56276at50557_319348_0:003341|STRG.8489.2:382-1503|+  -            374 38815at50557         -            491   2.6e-21   74.8   0.0   1   1     5e-24   3.5e-21   74.3   0.0    52   323    35   355     9   368 0.78 -
56276at50557_34720_0:0003b2|STRG.1604.1:169-1443|+   -            425 38815at50557         -            491   2.6e-15   55.0   0.0   1   1   6.7e-18   4.7e-15   54.1   0.0    82   263   120   332    64   334 0.72 -
56276at50557_34720_0:0003b2|STRG.1604.2:178-1197|+   -            269 38815at50557         -            491   7.7e-07   27.0   0.0   1   1   2.3e-09   1.6e-06   26.0   0.0    88   203   126   264    70   268 0.62 -
137728at50557_34720_0:002563|STRG.15199.1:314-889|+  -            192 38815at50557         -            491    0.0037   14.9   0.3   1   2    0.0022       1.6    6.2   0.3    97   138    21    62     3    65 0.81 -
137728at50557_34720_0:002563|STRG.15199.1:314-889|+  -            192 38815at50557         -            491    0.0037   14.9   0.3   2   2    0.0013      0.93    7.0   0.0    25   108    83   164    75   179 0.86 -
137728at50557_34720_0:002563|STRG.15199.2:202-777|+  -            192 38815at50557         -            491    0.0037   14.9   0.3   1   2    0.0022       1.6    6.2   0.3    97   138    21    62     3    65 0.81 -
137728at50557_34720_0:002563|STRG.15199.2:202-777|+  -            192 38815at50557         -            491    0.0037   14.9   0.3   2   2    0.0013      0.93    7.0   0.0    25   108    83   164    75   179 0.86 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/38815at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/38815at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/38815at50557.hmm annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 10:09:12 2024
# [ok]
