#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
57153at50557_103372_0:001f4c|STRG.1209.2:175-1653|+   -            493 57153at50557         -            185   2.9e-82  274.2  13.5   1   1   6.5e-82   3.3e-79  264.2  13.5     1   185   247   474   247   474 0.89 -
57153at50557_34720_0:000896|STRG.1209.1:174-1652|+    -            493 57153at50557         -            185   2.9e-82  274.2  13.5   1   1   6.5e-82   3.3e-79  264.2  13.5     1   185   247   474   247   474 0.89 -
57153at50557_39758_0:003c84|STRG.13202.3:488-1024|+   -            179 57153at50557         -            185     4e-25   87.9   5.2   1   1   2.6e-27   1.3e-24   86.2   5.2    29   177     2   175     1   179 0.80 -
57153at50557_39758_0:003c84|STRG.13202.4:469-1005|+   -            179 57153at50557         -            185     4e-25   87.9   5.2   1   1   2.6e-27   1.3e-24   86.2   5.2    29   177     2   175     1   179 0.80 -
57153at50557_7244_0:001c0f|STRG.13202.2:317-1279|+    -            321 57153at50557         -            185   1.3e-24   86.2   6.7   1   2      0.38   1.9e+02    0.9   0.0     1    24    84   107    84   118 0.76 -
57153at50557_7244_0:001c0f|STRG.13202.2:317-1279|+    -            321 57153at50557         -            185   1.3e-24   86.2   6.7   2   2   1.4e-26   7.3e-24   83.8   4.6    24   174   146   321   141   321 0.82 -
57153at50557_7222_0:001ff8|STRG.13202.1:317-1441|+    -            375 57153at50557         -            185   7.9e-24   83.7   7.7   1   2      0.87   4.5e+02   -0.3   0.1     1    22    84   105    83   114 0.72 -
57153at50557_7222_0:001ff8|STRG.13202.1:317-1441|+    -            375 57153at50557         -            185   7.9e-24   83.7   7.7   2   2     2e-26     1e-23   83.3   4.6    24   174   200   375   195   375 0.82 -
119324at50557_93721_0:00259c|STRG.16623.3:431-847|+   -            139 57153at50557         -            185   4.3e-06   25.9   6.5   1   4     0.015       7.9    5.4   0.0   149   173    12    36     6    45 0.65 -
119324at50557_93721_0:00259c|STRG.16623.3:431-847|+   -            139 57153at50557         -            185   4.3e-06   25.9   6.5   2   4      0.02        10    5.0   0.1   145   173    44    72    39    78 0.80 -
119324at50557_93721_0:00259c|STRG.16623.3:431-847|+   -            139 57153at50557         -            185   4.3e-06   25.9   6.5   3   4   3.8e-05     0.019   13.9   0.1   144   177    80   113    75   120 0.81 -
119324at50557_93721_0:00259c|STRG.16623.3:431-847|+   -            139 57153at50557         -            185   4.3e-06   25.9   6.5   4   4     0.067        34    3.3   0.1     3    16   123   136   121   139 0.88 -
