#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
74932at50557_103372_0:0007c3|STRG.4120.1:0-1115|+      -            372 74932at50557         -            280  1.2e-153  509.0   1.1   1   1  7.7e-156  1.5e-153  508.7   1.1     1   280    36   342    36   342 0.94 -
74932at50557_286706_0:00199c|STRG.7534.1:304-1317|+    -            338 74932at50557         -            280   1.6e-50  170.6   2.5   1   1   8.1e-51   1.5e-48  164.1   2.5     5   280    10   338     6   338 0.77 -
74932at50557_222816_0:000a9b|STRG.21202.1:3-1046|+     -            348 74932at50557         -            280   7.1e-34  116.0   0.0   1   3   9.4e-21   1.8e-18   65.5   0.0     3    67     2    73     1    92 0.89 -
74932at50557_222816_0:000a9b|STRG.21202.1:3-1046|+     -            348 74932at50557         -            280   7.1e-34  116.0   0.0   2   3       0.2        38    2.1   0.0    86   123   163   200   145   206 0.70 -
74932at50557_222816_0:000a9b|STRG.21202.1:3-1046|+     -            348 74932at50557         -            280   7.1e-34  116.0   0.0   3   3   1.3e-14   2.4e-12   45.4   0.0   160   280   203   332   192   332 0.87 -
73951at50557_34720_0:00262d|STRG.9436.3:4-1696|+       -            525 74932at50557         -            280   6.7e-22   76.7   3.3   1   2   1.6e-20   3.1e-18   64.7   0.7     2    63    79   148    78   166 0.90 -
73951at50557_34720_0:00262d|STRG.9436.3:4-1696|+       -            525 74932at50557         -            280   6.7e-22   76.7   3.3   2   2   0.00019     0.036   12.0   0.1   153   280   292   417   279   417 0.80 -
73951at50557_34720_0:00262d|STRG.9436.1:4-1697|+       -            530 74932at50557         -            280     7e-22   76.7   3.3   1   2   1.7e-20   3.1e-18   64.7   0.7     2    63    84   153    83   171 0.90 -
73951at50557_34720_0:00262d|STRG.9436.1:4-1697|+       -            530 74932at50557         -            280     7e-22   76.7   3.3   2   2    0.0002     0.037   12.0   0.1   153   280   297   422   284   422 0.80 -
73951at50557_34720_0:00262d|STRG.9436.2:4-1593|+       -            530 74932at50557         -            280     7e-22   76.7   3.3   1   2   1.7e-20   3.1e-18   64.7   0.7     2    63    84   153    83   171 0.90 -
73951at50557_34720_0:00262d|STRG.9436.2:4-1593|+       -            530 74932at50557         -            280     7e-22   76.7   3.3   2   2    0.0002     0.037   12.0   0.1   153   280   297   422   284   422 0.80 -
73951at50557_34720_0:00262d|STRG.9436.4:4-1353|+       -            450 74932at50557         -            280   1.2e-20   72.7   8.1   1   2   1.3e-20   2.5e-18   65.0   0.8     2    63    79   148    78   167 0.90 -
73951at50557_34720_0:00262d|STRG.9436.4:4-1353|+       -            450 74932at50557         -            280   1.2e-20   72.7   8.1   2   2   0.00015     0.027   12.4   0.1   153   280   292   417   278   417 0.80 -
73951at50557_34720_0:00262d|STRG.9436.5:4-1467|+       -            455 74932at50557         -            280   1.2e-20   72.6   8.1   1   2   1.4e-20   2.6e-18   65.0   0.8     2    63    84   153    83   172 0.90 -
73951at50557_34720_0:00262d|STRG.9436.5:4-1467|+       -            455 74932at50557         -            280   1.2e-20   72.6   8.1   2   2   0.00015     0.028   12.4   0.1   153   280   297   422   283   422 0.80 -
74932at50557_104421_0:00028f|STRG.10600.1:221-1090|+   -            290 74932at50557         -            280   7.7e-18   63.4   0.0   1   2   9.3e-07   0.00017   19.6   0.0    16    67     1    51     1    68 0.86 -
74932at50557_104421_0:00028f|STRG.10600.1:221-1090|+   -            290 74932at50557         -            280   7.7e-18   63.4   0.0   2   2   1.7e-13   3.2e-11   41.7   0.0   159   279   144   272   121   273 0.84 -
109756at50557_378494_0:003794|STRG.14408.1:303-515|+   -             71 74932at50557         -            280   2.1e-17   62.0   0.8   1   1   1.1e-19   2.1e-17   62.0   0.8    12    66    15    70     1    71 0.92 -
109756at50557_52612_0:003ea0|STRG.4504.1:302-523|+     -             74 74932at50557         -            280   2.3e-16   58.6   0.6   1   1   1.4e-18   2.7e-16   58.3   0.6     2    64     3    73     2    74 0.90 -
109756at50557_103372_0:00251e|STRG.19885.3:182-805|+   -            208 74932at50557         -            280   5.9e-15   54.0   0.1   1   1   3.9e-17   7.4e-15   53.6   0.1     5    62    13    78     9    97 0.85 -
109756at50557_103372_0:00251e|STRG.19885.4:99-761|+    -            221 74932at50557         -            280   6.6e-15   53.8   0.1   1   1   4.5e-17   8.4e-15   53.5   0.1     5    62     8    73     4    92 0.85 -
109756at50557_103372_0:00251e|STRG.19885.2:182-859|+   -            226 74932at50557         -            280   6.9e-15   53.7   0.1   1   1   4.7e-17   8.8e-15   53.4   0.1     5    62    13    78     9    97 0.85 -
109756at50557_103372_0:00251e|STRG.19885.1:182-925|+   -            248 74932at50557         -            280   8.2e-15   53.5   0.1   1   1   5.8e-17   1.1e-14   53.1   0.1     5    62    13    78     9    96 0.85 -
41065at50557_7536_0:00279b|STRG.2668.2:423-719|+       -             99 74932at50557         -            280   6.7e-14   50.5   0.2   1   1   5.9e-16   1.1e-13   49.8   0.2     8    84    13    98     3    99 0.74 -
41065at50557_7536_0:00279b|STRG.2668.3:81-377|+        -             99 74932at50557         -            280   6.7e-14   50.5   0.2   1   1   5.9e-16   1.1e-13   49.8   0.2     8    84    13    98     3    99 0.74 -
127306at50557_64793_0:0016b5|STRG.18057.1:0-521|+      -            174 74932at50557         -            280   4.8e-13   47.7   1.3   1   2   3.7e-15     7e-13   47.2   0.5     9    64    29    84    21    97 0.90 -
127306at50557_64793_0:0016b5|STRG.18057.1:0-521|+      -            174 74932at50557         -            280   4.8e-13   47.7   1.3   2   2       3.6   6.7e+02   -2.0   0.0   232   266   128   164   120   171 0.68 -
108140at50557_34720_0:001e92|STRG.15071.2:160-2094|+   -            645 74932at50557         -            280   1.5e-12   46.1   1.1   1   1   1.3e-14   2.4e-12   45.4   0.2    12    67    19    75     2   110 0.83 -
108140at50557_520822_0:000b46|STRG.15071.5:0-1934|+    -            645 74932at50557         -            280   1.5e-12   46.1   1.1   1   1   1.3e-14   2.4e-12   45.4   0.2    12    67    19    75     2   110 0.83 -
100045at50557_103372_0:000fa2|STRG.15056.1:0-971|+     -            324 74932at50557         -            280   5.8e-12   44.2   0.1   1   2   3.1e-14   5.8e-12   44.2   0.1    12    60    24    72     7    88 0.91 -
100045at50557_103372_0:000fa2|STRG.15056.1:0-971|+     -            324 74932at50557         -            280   5.8e-12   44.2   0.1   2   2       5.8   1.1e+03   -2.7   0.2    15    50   103   137    89   164 0.74 -
41065at50557_133901_0:001440|STRG.20620.1:475-1827|+   -            451 74932at50557         -            280   1.6e-10   39.4   1.8   1   1   8.7e-13   1.6e-10   39.4   1.8     3    69   348   426   346   450 0.71 -
41065at50557_133901_0:001440|STRG.20620.2:102-1454|+   -            451 74932at50557         -            280   1.6e-10   39.4   1.8   1   1   8.7e-13   1.6e-10   39.4   1.8     3    69   348   426   346   450 0.71 -
41065at50557_103372_0:000e4c|STRG.10293.1:144-1481|+   -            446 74932at50557         -            280   4.5e-10   38.0   1.5   1   1   4.1e-12   7.6e-10   37.2   1.5     2    59   376   444   375   446 0.85 -
126448at50557_568069_0:001ed1|STRG.12750.2:122-859|+   -            246 74932at50557         -            280   5.3e-10   37.7   0.3   1   1   4.4e-12   8.2e-10   37.1   0.3     3    66    15    88    13   131 0.74 -
88846at50557_34720_0:00286f|STRG.24198.1:0-1301|+      -            434 74932at50557         -            280   1.2e-09   36.5   1.0   1   2   8.2e-12   1.5e-09   36.2   0.0     3    59    39   102    37   109 0.87 -
88846at50557_34720_0:00286f|STRG.24198.1:0-1301|+      -            434 74932at50557         -            280   1.2e-09   36.5   1.0   2   2       8.7   1.6e+03   -3.3   0.2   148   192   327   372   324   381 0.69 -
125026at50557_411798_0:00322d|STRG.12858.2:1-540|+     -            180 74932at50557         -            280   1.2e-08   33.3   1.2   1   1   9.9e-11   1.9e-08   32.6   1.2     9    61    69   122    63   139 0.80 -
108140at50557_121225_0:00229f|STRG.15071.3:160-1213|+  -            344 74932at50557         -            280   1.4e-08   33.0   1.6   1   2   9.5e-11   1.8e-08   32.7   0.2    12    57    19    65     2   104 0.84 -
108140at50557_121225_0:00229f|STRG.15071.3:160-1213|+  -            344 74932at50557         -            280   1.4e-08   33.0   1.6   2   2       3.3   6.3e+02   -1.9   0.1   170   214   234   277   203   289 0.63 -
125026at50557_411798_0:00322d|STRG.12858.1:1-774|+     -            258 74932at50557         -            280     2e-08   32.6   1.1   1   1     2e-10   3.7e-08   31.7   1.1     9    60    69   121    64   138 0.79 -
60993at50557_103372_0:00057c|STRG.3777.1:0-1682|+      -            561 74932at50557         -            280   5.1e-08   31.2   0.0   1   1   5.7e-10   1.1e-07   30.2   0.0    12    69    30    90    12    94 0.87 -
25981at50557_456900_0:000c28|STRG.9359.1:0-2279|+      -            760 74932at50557         -            280   5.3e-08   31.2   0.1   1   1   6.5e-10   1.2e-07   30.0   0.1    12    62   121   168   108   170 0.92 -
100045at50557_7395_0:004563|STRG.7096.1:6-284|+        -             93 74932at50557         -            280   1.7e-07   29.5   1.2   1   1   9.9e-10   1.9e-07   29.4   1.2    12    69    18    74     2    81 0.86 -
125026at50557_454923_0:000298|STRG.22018.1:2149-2538|+ -            130 74932at50557         -            280   2.1e-07   29.2   0.0   1   1   1.3e-09   2.4e-07   29.0   0.0    12    60    60   107    41   124 0.85 -
125026at50557_454923_0:000298|STRG.22018.2:1695-2084|+ -            130 74932at50557         -            280   2.1e-07   29.2   0.0   1   1   1.3e-09   2.4e-07   29.0   0.0    12    60    60   107    41   124 0.85 -
74932at50557_104421_0:00028f|STRG.10600.2:115-702|+    -            196 74932at50557         -            280   5.3e-07   27.9   0.0   1   2   1.1e-08     2e-06   26.0   0.0    12    67    19    73     3    91 0.89 -
74932at50557_104421_0:00028f|STRG.10600.2:115-702|+    -            196 74932at50557         -            280   5.3e-07   27.9   0.0   2   2       1.2   2.2e+02   -0.4   0.0   216   240   136   160   111   196 0.57 -
96874at50557_34720_0:002015|STRG.4358.1:0-1109|+       -            370 74932at50557         -            280   4.3e-06   24.9   0.2   1   1   3.3e-08   6.2e-06   24.4   0.2    12    56   314   362   300   369 0.81 -
