#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
63645at50557_34720_0:0006b0|STRG.10333.1:0-1040|+     -            347 63645at50557         -            280  6.6e-182  601.5   1.5   1   1  2.7e-183  2.5e-181  599.6   1.5     1   280    10   324    10   324 0.95 -
69548at50557_116153_0:002191|STRG.8782.1:477-1175|+   -            233 63645at50557         -            280   4.1e-13   47.7   0.5   1   4       0.1       9.3    3.9   0.0   224   260    10    46     4    52 0.90 -
69548at50557_116153_0:002191|STRG.8782.1:477-1175|+   -            233 63645at50557         -            280   4.1e-13   47.7   0.5   2   4   6.3e-06   0.00057   17.7   0.0   215   262    54   101    48   113 0.90 -
69548at50557_116153_0:002191|STRG.8782.1:477-1175|+   -            233 63645at50557         -            280   4.1e-13   47.7   0.5   3   4   9.3e-06   0.00084   17.2   0.2   186   260   120   195   112   200 0.83 -
69548at50557_116153_0:002191|STRG.8782.1:477-1175|+   -            233 63645at50557         -            280   4.1e-13   47.7   0.5   4   4      0.39        35    2.0   0.0   222   254   201   233   195   233 0.90 -
69548at50557_116153_0:002191|STRG.8782.2:504-1202|+   -            233 63645at50557         -            280   4.1e-13   47.7   0.5   1   4       0.1       9.3    3.9   0.0   224   260    10    46     4    52 0.90 -
69548at50557_116153_0:002191|STRG.8782.2:504-1202|+   -            233 63645at50557         -            280   4.1e-13   47.7   0.5   2   4   6.3e-06   0.00057   17.7   0.0   215   262    54   101    48   113 0.90 -
69548at50557_116153_0:002191|STRG.8782.2:504-1202|+   -            233 63645at50557         -            280   4.1e-13   47.7   0.5   3   4   9.3e-06   0.00084   17.2   0.2   186   260   120   195   112   200 0.83 -
69548at50557_116153_0:002191|STRG.8782.2:504-1202|+   -            233 63645at50557         -            280   4.1e-13   47.7   0.5   4   4      0.39        35    2.0   0.0   222   254   201   233   195   233 0.90 -
69548at50557_116153_0:002191|STRG.8782.3:648-1346|+   -            233 63645at50557         -            280   4.1e-13   47.7   0.5   1   4       0.1       9.3    3.9   0.0   224   260    10    46     4    52 0.90 -
69548at50557_116153_0:002191|STRG.8782.3:648-1346|+   -            233 63645at50557         -            280   4.1e-13   47.7   0.5   2   4   6.3e-06   0.00057   17.7   0.0   215   262    54   101    48   113 0.90 -
