#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
34006at50557_520822_0:000571|STRG.12790.1:164-2146|+  -            661 34006at50557         -            414  5.8e-229  758.9   4.9   1   1  5.3e-230  2.2e-228  757.0   4.9     1   414   180   645   180   645 0.93 -
34006at50557_74869_0:0026d7|STRG.13652.3:465-1350|+   -            292 34006at50557         -            414  1.1e-121  405.5   0.3   1   1  5.1e-123  2.1e-121  404.6   0.3   161   411     1   285     1   288 0.89 -
40115at50557_28612_0:000941|STRG.18369.1:23-934|+     -            304 34006at50557         -            414   1.9e-19   68.8   1.3   1   2   8.4e-12   3.4e-10   38.3   0.1   111   245    23   170    18   171 0.73 -
40115at50557_28612_0:000941|STRG.18369.1:23-934|+     -            304 34006at50557         -            414   1.9e-19   68.8   1.3   2   2   3.4e-11   1.4e-09   36.3   0.2   110   243   149   294   145   303 0.80 -
33043at50557_568069_0:003d26|STRG.16130.1:395-2533|+  -            713 34006at50557         -            414     3e-17   61.6  12.8   1   5   5.6e-05    0.0023   15.8   0.1   111   231    47   178    11   202 0.68 -
33043at50557_568069_0:003d26|STRG.16130.1:395-2533|+  -            713 34006at50557         -            414     3e-17   61.6  12.8   2   5      0.86        35    2.0   0.1   117   170   203   259   197   262 0.71 -
33043at50557_568069_0:003d26|STRG.16130.1:395-2533|+  -            713 34006at50557         -            414     3e-17   61.6  12.8   3   5   2.5e-06    0.0001   20.3   0.3   111   193   252   336   241   344 0.87 -
33043at50557_568069_0:003d26|STRG.16130.1:395-2533|+  -            713 34006at50557         -            414     3e-17   61.6  12.8   4   5   1.5e-06   6.1e-05   21.0   0.3   127   274   448   611   362   642 0.75 -
33043at50557_568069_0:003d26|STRG.16130.1:395-2533|+  -            713 34006at50557         -            414     3e-17   61.6  12.8   5   5     0.015       0.6    7.9   0.1   111   180   641   713   622   713 0.79 -
13625at50557_103372_0:00203b|STRG.19774.1:24-2792|+   -            923 34006at50557         -            414   3.4e-17   61.4   1.7   1   5       1.7        70    1.1   0.0   209   247    30    70    21    88 0.83 -
13625at50557_103372_0:00203b|STRG.19774.1:24-2792|+   -            923 34006at50557         -            414   3.4e-17   61.4   1.7   2   5      0.11       4.4    5.0   0.0   150   184   137   171   119   212 0.73 -
13625at50557_103372_0:00203b|STRG.19774.1:24-2792|+   -            923 34006at50557         -            414   3.4e-17   61.4   1.7   3   5      0.58        23    2.6   0.0   154   204   308   359   298   364 0.82 -
13625at50557_103372_0:00203b|STRG.19774.1:24-2792|+   -            923 34006at50557         -            414   3.4e-17   61.4   1.7   4   5   1.5e-09     6e-08   30.9   0.1   129   221   367   468   360   497 0.80 -
13625at50557_103372_0:00203b|STRG.19774.1:24-2792|+   -            923 34006at50557         -            414   3.4e-17   61.4   1.7   5   5   0.00011    0.0046   14.8   0.0   111   184   521   595   512   668 0.85 -
13625at50557_103372_0:00203b|STRG.19774.2:0-2783|+    -            928 34006at50557         -            414   4.1e-17   61.1   1.9   1   5       1.7        68    1.1   0.0   209   247    35    75    22    93 0.83 -
13625at50557_103372_0:00203b|STRG.19774.2:0-2783|+    -            928 34006at50557         -            414   4.1e-17   61.1   1.9   2   5      0.11       4.4    5.0   0.0   150   184   142   176   124   217 0.73 -
13625at50557_103372_0:00203b|STRG.19774.2:0-2783|+    -            928 34006at50557         -            414   4.1e-17   61.1   1.9   3   5      0.58        24    2.6   0.0   154   204   313   364   303   369 0.82 -
13625at50557_103372_0:00203b|STRG.19774.2:0-2783|+    -            928 34006at50557         -            414   4.1e-17   61.1   1.9   4   5   1.5e-09   6.1e-08   30.9   0.1   129   221   372   473   365   502 0.80 -
13625at50557_103372_0:00203b|STRG.19774.2:0-2783|+    -            928 34006at50557         -            414   4.1e-17   61.1   1.9   5   5   0.00011    0.0046   14.8   0.0   111   184   526   600   517   673 0.85 -
80377at50557_7220_0:002af5|STRG.18366.3:58-915|+      -            286 34006at50557         -            414   9.8e-17   59.9   1.1   1   2     9e-09   3.7e-07   28.3   0.1   110   243     3   147     1   148 0.75 -
80377at50557_7220_0:002af5|STRG.18366.3:58-915|+      -            286 34006at50557         -            414   9.8e-17   59.9   1.1   2   2   1.3e-08   5.2e-07   27.8   0.1   111   242   129   270   127   273 0.75 -
80377at50557_7220_0:002af5|STRG.18366.4:58-915|+      -            286 34006at50557         -            414   9.8e-17   59.9   1.1   1   2     9e-09   3.7e-07   28.3   0.1   110   243     3   147     1   148 0.75 -
80377at50557_7220_0:002af5|STRG.18366.4:58-915|+      -            286 34006at50557         -            414   9.8e-17   59.9   1.1   2   2   1.3e-08   5.2e-07   27.8   0.1   111   242   129   270   127   273 0.75 -
80377at50557_166361_0:002fc1|STRG.18956.1:453-1166|+  -            238 34006at50557         -            414   8.5e-16   56.8   0.5   1   2   0.00078     0.032   12.1   0.0   153   189     5    41     2    47 0.87 -
80377at50557_166361_0:002fc1|STRG.18956.1:453-1166|+  -            238 34006at50557         -            414   8.5e-16   56.8   0.5   2   2   5.5e-12   2.2e-10   38.9   0.2    15   182    67   227    59   233 0.76 -
40115at50557_29053_0:0017ce|STRG.9291.1:268-1140|+    -            291 34006at50557         -            414   3.9e-15   54.6   4.3   1   3   0.00045     0.018   12.8   0.1   110   185     2    79     1   101 0.77 -
40115at50557_29053_0:0017ce|STRG.9291.1:268-1140|+    -            291 34006at50557         -            414   3.9e-15   54.6   4.3   2   3     3e-05    0.0012   16.7   0.1   153   237    95   188    84   190 0.68 -
40115at50557_29053_0:0017ce|STRG.9291.1:268-1140|+    -            291 34006at50557         -            414   3.9e-15   54.6   4.3   3   3   1.1e-08   4.5e-07   28.0   0.1   111   214   176   291   168   291 0.70 -
40115at50557_7370_0:002473|STRG.10477.1:345-1214|+    -            290 34006at50557         -            414   7.9e-15   53.6   0.9   1   4     0.036       1.5    6.6   0.0   189   245     5    65     2    66 0.85 -
40115at50557_7370_0:002473|STRG.10477.1:345-1214|+    -            290 34006at50557         -            414   7.9e-15   53.6   0.9   2   4   7.3e-07     3e-05   22.1   0.1   127   184    62   120    53   132 0.88 -
40115at50557_7370_0:002473|STRG.10477.1:345-1214|+    -            290 34006at50557         -            414   7.9e-15   53.6   0.9   3   4   2.4e-11   9.6e-10   36.8   0.1   110   236    86   224    83   263 0.74 -
40115at50557_7370_0:002473|STRG.10477.1:345-1214|+    -            290 34006at50557         -            414   7.9e-15   53.6   0.9   4   4       4.9     2e+02   -0.4   0.0    23    45   229   251   216   281 0.65 -
40115at50557_144034_0:000898|STRG.12872.1:741-1610|+  -            290 34006at50557         -            414   1.5e-14   52.7   2.8   1   3   0.00011    0.0045   14.9   0.1   110   183     3    78     1    88 0.79 -
40115at50557_144034_0:000898|STRG.12872.1:741-1610|+  -            290 34006at50557         -            414   1.5e-14   52.7   2.8   2   3   1.1e-10   4.5e-09   34.6   0.1   110   242    91   236    84   239 0.81 -
40115at50557_144034_0:000898|STRG.12872.1:741-1610|+  -            290 34006at50557         -            414   1.5e-14   52.7   2.8   3   3   0.00049      0.02   12.7   0.1   127   214   192   290   190   290 0.70 -
