#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
46658at50557_219809_0:0017ae|STRG.15304.1:515-1864|+  -            450 46658at50557         -            373  1.3e-239  793.8   1.4   1   1  1.3e-241  1.5e-239  793.5   1.4     1   373    36   434    36   434 0.97 -
46658at50557_83485_0:000f8c|STRG.15304.2:499-1689|+   -            397 46658at50557         -            373  1.4e-231  767.4   1.9   1   1  1.3e-233  1.6e-231  767.2   1.9    16   373     1   381     1   381 0.97 -
46658at50557_211228_0:001f32|STRG.13341.1:224-1318|+  -            365 46658at50557         -            373   4.5e-81  272.0   0.9   1   1   4.3e-83   5.1e-81  271.8   0.9    25   364     1   365     1   365 0.91 -
46658at50557_211228_0:001f32|STRG.13341.2:198-1292|+  -            365 46658at50557         -            373   4.5e-81  272.0   0.9   1   1   4.3e-83   5.1e-81  271.8   0.9    25   364     1   365     1   365 0.91 -
46658at50557_1155016_0:0008f1|STRG.9383.1:254-1357|+  -            368 46658at50557         -            373   3.7e-79  265.7   0.7   1   1   3.4e-81   4.2e-79  265.5   0.7    25   365     1   366     1   368 0.91 -
46658at50557_28612_0:0048c7|STRG.3411.1:202-1386|+    -            395 46658at50557         -            373   2.2e-61  207.2   2.6   1   1   2.3e-63   2.8e-61  206.9   2.6    21   372    14   394     2   395 0.87 -
46658at50557_28612_0:0048c7|STRG.3411.2:202-2556|+    -            395 46658at50557         -            373   2.2e-61  207.2   2.6   1   1   2.3e-63   2.8e-61  206.9   2.6    21   372    14   394     2   395 0.87 -
46658at50557_28612_0:0048c7|STRG.3411.3:244-1428|+    -            395 46658at50557         -            373   2.2e-61  207.2   2.6   1   1   2.3e-63   2.8e-61  206.9   2.6    21   372    14   394     2   395 0.87 -
46658at50557_28612_0:0048c7|STRG.13327.1:188-1324|+   -            379 46658at50557         -            373   1.4e-56  191.4   0.3   1   1   1.4e-58   1.7e-56  191.1   0.3    14   348     2   367     1   376 0.87 -
46658at50557_28612_0:0048c7|STRG.13327.2:121-1257|+   -            379 46658at50557         -            373   1.4e-56  191.4   0.3   1   1   1.4e-58   1.7e-56  191.1   0.3    14   348     2   367     1   376 0.87 -
43304at50557_568069_0:003ee6|STRG.16896.1:184-1485|+  -            434 46658at50557         -            373   1.1e-54  185.1   0.7   1   1   1.2e-56   1.4e-54  184.8   0.7    22   363    16   382     3   391 0.82 -
46658at50557_174628_0:001983|STRG.15730.5:502-1611|+  -            370 46658at50557         -            373   9.7e-54  182.1   0.5   1   1   9.5e-56   1.1e-53  181.8   0.5    25   358     1   368     1   370 0.82 -
35385at50557_37001_0:001231|STRG.12013.2:737-2065|+   -            443 46658at50557         -            373     8e-52  175.7   0.0   1   1     1e-53   1.2e-51  175.1   0.0    33   340    61   400    48   429 0.82 -
35385at50557_37001_0:001231|STRG.12013.3:858-2186|+   -            443 46658at50557         -            373     8e-52  175.7   0.0   1   1     1e-53   1.2e-51  175.1   0.0    33   340    61   400    48   429 0.82 -
46658at50557_7260_0:0034ab|STRG.15730.1:321-1445|+    -            375 46658at50557         -            373   6.8e-51  172.7   0.4   1   1   6.7e-53   8.1e-51  172.4   0.4    25   358     1   373     1   375 0.81 -
46658at50557_7260_0:0034ab|STRG.15730.2:539-1663|+    -            375 46658at50557         -            373   6.8e-51  172.7   0.4   1   1   6.7e-53   8.1e-51  172.4   0.4    25   358     1   373     1   375 0.81 -
46658at50557_7260_0:0034ab|STRG.15730.3:417-1541|+    -            375 46658at50557         -            373   6.8e-51  172.7   0.4   1   1   6.7e-53   8.1e-51  172.4   0.4    25   358     1   373     1   375 0.81 -
46658at50557_7260_0:0034ab|STRG.15730.4:504-1628|+    -            375 46658at50557         -            373   6.8e-51  172.7   0.4   1   1   6.7e-53   8.1e-51  172.4   0.4    25   358     1   373     1   375 0.81 -
46658at50557_28612_0:0048c7|STRG.6452.1:117-1265|+    -            383 46658at50557         -            373   9.1e-51  172.3   0.0   1   1   9.4e-53   1.1e-50  172.0   0.0    23   347     5   356     1   376 0.87 -
35385at50557_7375_0:0001af|STRG.9112.1:289-1623|+     -            445 46658at50557         -            373   1.6e-50  171.5   0.0   1   1     2e-52   2.4e-50  170.9   0.0    25   369    51   424    45   428 0.81 -
35385at50557_7375_0:0001af|STRG.9112.3:289-1623|+     -            445 46658at50557         -            373   1.6e-50  171.5   0.0   1   1     2e-52   2.4e-50  170.9   0.0    25   369    51   424    45   428 0.81 -
35385at50557_7375_0:0001af|STRG.9112.2:289-2117|+     -            445 46658at50557         -            373   7.6e-50  169.2   0.0   1   1   9.6e-52   1.2e-49  168.6   0.0    25   369    51   424    45   428 0.81 -
