#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
13778at50557_103372_0:00133a|STRG.19425.1:0-2387|+    -            796 13778at50557         -            745         0 1059.2  22.8   1   1         0         0 1058.8  22.8    99   745     8   749     4   749 0.90 -
13778at50557_38123_0:00264d|STRG.8762.2:370-1338|+    -            263 13778at50557         -            745   6.3e-68  228.7  14.5   1   1     9e-70   2.7e-67  226.6  14.5    73   301     8   263     1   263 0.83 -
13778at50557_54969_0:000f61|STRG.8762.1:370-930|+     -            187 13778at50557         -            745   3.5e-22   77.4   7.7   1   1     3e-24     9e-22   76.1   7.7    73   195     8   187     1   187 0.69 -
13778at50557_54969_0:000f61|STRG.8762.3:392-952|+     -            187 13778at50557         -            745   3.5e-22   77.4   7.7   1   1     3e-24     9e-22   76.1   7.7    73   195     8   187     1   187 0.69 -
13778at50557_113334_0:002942|STRG.8762.1:88-366|+     -             93 13778at50557         -            745   1.6e-18   65.4   2.8   1   1   5.8e-21   1.7e-18   65.2   2.8     1    67     5    93     5    93 0.83 -
13778at50557_113334_0:002942|STRG.8762.2:88-366|+     -             93 13778at50557         -            745   1.6e-18   65.4   2.8   1   1   5.8e-21   1.7e-18   65.2   2.8     1    67     5    93     5    93 0.83 -
13778at50557_113334_0:002942|STRG.8762.3:110-388|+    -             93 13778at50557         -            745   1.6e-18   65.4   2.8   1   1   5.8e-21   1.7e-18   65.2   2.8     1    67     5    93     5    93 0.83 -
57156at50557_103372_0:001116|STRG.18029.1:191-1816|+  -            542 13778at50557         -            745   6.5e-13   46.8  17.9   1   3   2.9e-09   8.5e-07   26.6   0.2     2    89    11   119    10   131 0.77 -
57156at50557_103372_0:001116|STRG.18029.1:191-1816|+  -            542 13778at50557         -            745   6.5e-13   46.8  17.9   2   3     0.012       3.6    4.6   5.4     3    98   233   355   231   370 0.71 -
57156at50557_103372_0:001116|STRG.18029.1:191-1816|+  -            542 13778at50557         -            745   6.5e-13   46.8  17.9   3   3   1.3e-08   3.8e-06   24.4   0.5     1    81   366   467   366   535 0.77 -
108301at50557_7493_0:0013fe|STRG.10185.1:523-975|+    -            151 13778at50557         -            745   1.2e-08   32.7   1.4   1   1   5.2e-11   1.5e-08   32.3   1.4     9    94    42   142    29   149 0.81 -
108301at50557_103372_0:000620|STRG.11992.1:274-1074|+ -            267 13778at50557         -            745   1.5e-08   32.4   1.1   1   1   6.1e-11   1.8e-08   32.1   1.1    19   102   130   225    97   239 0.79 -
108301at50557_103372_0:000620|STRG.11992.2:25-825|+   -            267 13778at50557         -            745   1.5e-08   32.4   1.1   1   1   6.1e-11   1.8e-08   32.1   1.1    19   102   130   225    97   239 0.79 -
108301at50557_103372_0:000620|STRG.11992.3:188-988|+  -            267 13778at50557         -            745   1.5e-08   32.4   1.1   1   1   6.1e-11   1.8e-08   32.1   1.1    19   102   130   225    97   239 0.79 -
35300at50557_64793_0:0030e8|STRG.4195.1:13-561|+      -            183 13778at50557         -            745   2.4e-08   31.7   0.8   1   1   8.1e-11   2.4e-08   31.7   0.8    19   106     6   102     2   152 0.87 -
138527at50557_315563_0:000b19|STRG.4448.1:149-988|+   -            280 13778at50557         -            745   9.8e-08   29.7   1.0   1   2   3.3e-10   9.8e-08   29.7   1.0     5    85    93   188    83   203 0.83 -
138527at50557_315563_0:000b19|STRG.4448.1:149-988|+   -            280 13778at50557         -            745   9.8e-08   29.7   1.0   2   2       3.7   1.1e+03   -3.6   0.1   623   650   237   266   220   270 0.72 -
138527at50557_315563_0:000b19|STRG.4448.2:120-959|+   -            280 13778at50557         -            745   9.8e-08   29.7   1.0   1   2   3.3e-10   9.8e-08   29.7   1.0     5    85    93   188    83   203 0.83 -
138527at50557_315563_0:000b19|STRG.4448.2:120-959|+   -            280 13778at50557         -            745   9.8e-08   29.7   1.0   2   2       3.7   1.1e+03   -3.6   0.1   623   650   237   266   220   270 0.72 -
35300at50557_103372_0:002ae9|STRG.13845.1:346-2103|+  -            586 13778at50557         -            745     2e-07   28.6   1.4   1   3   6.9e-10     2e-07   28.6   1.4    10    71   108   186    93   220 0.78 -
35300at50557_103372_0:002ae9|STRG.13845.1:346-2103|+  -            586 13778at50557         -            745     2e-07   28.6   1.4   2   3       1.1   3.2e+02   -1.8   0.0    34    73   353   392   334   399 0.82 -
35300at50557_103372_0:002ae9|STRG.13845.1:346-2103|+  -            586 13778at50557         -            745     2e-07   28.6   1.4   3   3      0.22        66    0.5   0.1    33   159   427   556   403   571 0.65 -
35300at50557_520822_0:00001c|STRG.8526.1:273-599|+    -            109 13778at50557         -            745   4.2e-07   27.6   1.2   1   1   1.5e-09   4.6e-07   27.5   1.2     8    73    31   109    19   109 0.78 -
35300at50557_520822_0:00001c|STRG.8526.2:273-599|+    -            109 13778at50557         -            745   4.2e-07   27.6   1.2   1   1   1.5e-09   4.6e-07   27.5   1.2     8    73    31   109    19   109 0.78 -
35300at50557_520822_0:00001c|STRG.8526.3:273-599|+    -            109 13778at50557         -            745   4.2e-07   27.6   1.2   1   1   1.5e-09   4.6e-07   27.5   1.2     8    73    31   109    19   109 0.78 -
35300at50557_456900_0:001384|STRG.3929.1:2-2857|+     -            952 13778at50557         -            745   5.9e-07   27.1   3.6   1   2      0.49   1.5e+02   -0.7   0.1    35    74   187   226   169   268 0.82 -
35300at50557_456900_0:001384|STRG.3929.1:2-2857|+     -            952 13778at50557         -            745   5.9e-07   27.1   3.6   2   2   2.7e-09     8e-07   26.7   0.8    11    71   465   542   458   554 0.78 -
108301at50557_7165_0:001473|STRG.12458.1:1268-1720|+  -            151 13778at50557         -            745   2.8e-06   24.8   0.4   1   1   1.3e-08   3.8e-06   24.4   0.3     9    71    71   148    57   151 0.81 -
108301at50557_7165_0:001473|STRG.12458.2:1214-1666|+  -            151 13778at50557         -            745   2.8e-06   24.8   0.4   1   1   1.3e-08   3.8e-06   24.4   0.3     9    71    71   148    57   151 0.81 -
108301at50557_39758_0:00449f|STRG.14985.1:1288-1713|+ -            142 13778at50557         -            745   8.1e-05   20.0   1.1   1   1   3.2e-07   9.6e-05   19.8   1.1     9   100    36   139    30   142 0.77 -
57156at50557_197043_0:0019bd|STRG.6731.1:504-839|+    -            112 13778at50557         -            745   0.00019   18.8   0.0   1   1     7e-07   0.00021   18.7   0.0    10    70    21    93    14   110 0.80 -
108301at50557_197043_0:001b73|STRG.6707.1:968-1333|+  -            122 13778at50557         -            745   0.00031   18.1   0.3   1   1   1.3e-06   0.00039   17.8   0.3    24    73    69   118    47   120 0.77 -
108301at50557_197043_0:001b73|STRG.6707.2:924-1289|+  -            122 13778at50557         -            745   0.00031   18.1   0.3   1   1   1.3e-06   0.00039   17.8   0.3    24    73    69   118    47   120 0.77 -
108301at50557_7260_0:002ae8|STRG.17012.1:429-971|+    -            181 13778at50557         -            745   0.00032   18.1   0.5   1   1   1.5e-06   0.00044   17.6   0.5    32   102   104   178    91   181 0.72 -
57156at50557_197043_0:0019bd|STRG.6609.2:929-1246|+   -            106 13778at50557         -            745    0.0005   17.4   0.0   1   1   1.7e-06    0.0005   17.4   0.0    26    86    43   105    12   106 0.75 -
41065at50557_133901_0:001440|STRG.17666.1:346-1698|+  -            451 13778at50557         -            745     0.011   13.0  16.6   1   3    0.0057       1.7    5.7   0.5     9    82    13   101     7   123 0.75 -
41065at50557_133901_0:001440|STRG.17666.1:346-1698|+  -            451 13778at50557         -            745     0.011   13.0  16.6   2   3      0.38   1.1e+02   -0.3   0.7    39    81   222   260   190   282 0.63 -
41065at50557_133901_0:001440|STRG.17666.1:346-1698|+  -            451 13778at50557         -            745     0.011   13.0  16.6   3   3   2.6e-05    0.0078   13.5   6.5    22   102   262   353   227   373 0.65 -
41065at50557_133901_0:001440|STRG.17666.2:162-1514|+  -            451 13778at50557         -            745     0.011   13.0  16.6   1   3    0.0057       1.7    5.7   0.5     9    82    13   101     7   123 0.75 -
41065at50557_133901_0:001440|STRG.17666.2:162-1514|+  -            451 13778at50557         -            745     0.011   13.0  16.6   2   3      0.38   1.1e+02   -0.3   0.7    39    81   222   260   190   282 0.63 -
