#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
10915at50557_286306_0:002151|STRG.8366.1:1-3787|+      -           1042 10915at50557         -            974  1.9e-233  776.4   2.9   1   1  2.4e-234  1.1e-232  773.9   2.9   309   913     1   721     1   738 0.87 -
10915at50557_286306_0:003537|STRG.8365.1:2-678|+       -            203 10915at50557         -            974   1.1e-52  178.1   0.2   1   1   2.9e-54   1.3e-52  177.9   0.2   162   302    36   203    26   203 0.89 -
40115at50557_7370_0:002473|STRG.8742.1:174-1016|+      -            281 10915at50557         -            974   2.4e-27   94.2   0.5   1   3     0.013      0.56    6.9   0.0    92   132     1    43     1    46 0.84 -
40115at50557_7370_0:002473|STRG.8742.1:174-1016|+      -            281 10915at50557         -            974   2.4e-27   94.2   0.5   2   3   1.3e-14   5.7e-13   46.6   0.1    14   122    46   158    41   194 0.81 -
40115at50557_7370_0:002473|STRG.8742.1:174-1016|+      -            281 10915at50557         -            974   2.4e-27   94.2   0.5   3   3     3e-11   1.3e-09   35.5   0.0    10    80   209   281   200   281 0.92 -
40115at50557_28612_0:000941|STRG.8740.1:278-1135|+     -            286 10915at50557         -            974   1.3e-26   91.8   0.1   1   3   9.2e-15   4.1e-13   47.1   0.0    13   128     8   127     4   139 0.86 -
40115at50557_28612_0:000941|STRG.8740.1:278-1135|+     -            286 10915at50557         -            974   1.3e-26   91.8   0.1   2   3     3e-08   1.3e-06   25.5   0.1    14    89    92   169    84   199 0.83 -
40115at50557_28612_0:000941|STRG.8740.1:278-1135|+     -            286 10915at50557         -            974   1.3e-26   91.8   0.1   3   3   1.6e-09   7.1e-08   29.8   0.0    11    80   215   286   206   286 0.92 -
40115at50557_103372_0:0021d6|STRG.4040.1:259-1701|+    -            481 10915at50557         -            974   6.5e-26   89.5   0.8   1   4   2.3e-09     1e-07   29.2   0.1    48   129   115   200    96   219 0.77 -
40115at50557_103372_0:0021d6|STRG.4040.1:259-1701|+    -            481 10915at50557         -            974   6.5e-26   89.5   0.8   2   4    0.0073      0.33    7.7   0.0    34    83   233   281   201   303 0.77 -
40115at50557_103372_0:0021d6|STRG.4040.1:259-1701|+    -            481 10915at50557         -            974   6.5e-26   89.5   0.8   3   4   4.1e-11   1.8e-09   35.0   0.0    13    87   368   444   361   446 0.89 -
40115at50557_103372_0:0021d6|STRG.4040.1:259-1701|+    -            481 10915at50557         -            974   6.5e-26   89.5   0.8   4   4   4.9e-05    0.0022   14.9   0.0    44    81   443   480   439   481 0.92 -
33043at50557_568069_0:003d26|STRG.4583.1:401-2536|+    -            712 10915at50557         -            974   5.3e-25   86.4   2.7   1   5   4.3e-05    0.0019   15.1   0.0    15   118    52   160     3   166 0.49 -
33043at50557_568069_0:003d26|STRG.4583.1:401-2536|+    -            712 10915at50557         -            974   5.3e-25   86.4   2.7   2   5   1.3e-08   5.8e-07   26.7   0.1     8    81   250   324   244   331 0.86 -
33043at50557_568069_0:003d26|STRG.4583.1:401-2536|+    -            712 10915at50557         -            974   5.3e-25   86.4   2.7   3   5   5.8e-08   2.6e-06   24.6   0.0    40   148   366   491   359   493 0.76 -
33043at50557_568069_0:003d26|STRG.4583.1:401-2536|+    -            712 10915at50557         -            974   5.3e-25   86.4   2.7   4   5    0.0053      0.24    8.2   0.0    20    70   483   534   477   589 0.74 -
33043at50557_568069_0:003d26|STRG.4583.1:401-2536|+    -            712 10915at50557         -            974   5.3e-25   86.4   2.7   5   5   0.00024     0.011   12.6   0.0    29    80   661   712   639   712 0.84 -
