#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
25500at50557_13686_0:0020f5|STRG.10457.1:163-1968|+    -            602 25500at50557         -            513  1.9e-291  966.3   7.4   1   1  2.2e-290  9.9e-289  957.4   7.4     1   513     6   599     6   599 0.91 -
40115at50557_103372_0:0021d6|STRG.7491.1:218-1660|+    -            481 25500at50557         -            513   9.9e-20   69.8   6.2   1   4   2.8e-05    0.0013   16.7   0.0   439   479   118   158    91   163 0.88 -
40115at50557_103372_0:0021d6|STRG.7491.1:218-1660|+    -            481 25500at50557         -            513   9.9e-20   69.8   6.2   2   4     2e-07   9.3e-06   23.7   1.1   223   354   161   301   158   311 0.79 -
40115at50557_103372_0:0021d6|STRG.7491.1:218-1660|+    -            481 25500at50557         -            513   9.9e-20   69.8   6.2   3   4   5.2e-08   2.4e-06   25.7   0.0   155   255   339   442   331   448 0.82 -
40115at50557_103372_0:0021d6|STRG.7491.1:218-1660|+    -            481 25500at50557         -            513   9.9e-20   69.8   6.2   4   4      0.24        11    3.8   0.0   222   247   450   475   442   481 0.52 -
40115at50557_7213_0:0002de|STRG.10460.1:364-1902|+     -            513 25500at50557         -            513   1.5e-19   69.2   3.4   1   7       2.9   1.3e+02    0.2   0.0   141   172    15    44     9    50 0.84 -
40115at50557_7213_0:0002de|STRG.10460.1:364-1902|+     -            513 25500at50557         -            513   1.5e-19   69.2   3.4   2   7     0.018      0.83    7.4   0.0   222   261    58    98    47   104 0.59 -
40115at50557_7213_0:0002de|STRG.10460.1:364-1902|+     -            513 25500at50557         -            513   1.5e-19   69.2   3.4   3   7   1.7e-06   7.7e-05   20.7   0.0    55   112   105   161    95   256 0.88 -
40115at50557_7213_0:0002de|STRG.10460.1:364-1902|+     -            513 25500at50557         -            513   1.5e-19   69.2   3.4   4   7     0.047       2.1    6.1   0.0    45    80   257   293   251   296 0.81 -
40115at50557_7213_0:0002de|STRG.10460.1:364-1902|+     -            513 25500at50557         -            513   1.5e-19   69.2   3.4   5   7   0.00074     0.034   12.0   0.0   294   338   297   340   293   349 0.87 -
40115at50557_7213_0:0002de|STRG.10460.1:364-1902|+     -            513 25500at50557         -            513   1.5e-19   69.2   3.4   6   7      0.14       6.2    4.5   0.0   222   262   388   428   374   437 0.78 -
40115at50557_7213_0:0002de|STRG.10460.1:364-1902|+     -            513 25500at50557         -            513   1.5e-19   69.2   3.4   7   7    0.0011     0.051   11.4   0.0    51   116   441   506   431   511 0.88 -
40115at50557_7213_0:0002de|STRG.10460.2:403-1941|+     -            513 25500at50557         -            513   1.5e-19   69.2   3.4   1   7       2.9   1.3e+02    0.2   0.0   141   172    15    44     9    50 0.84 -
40115at50557_7213_0:0002de|STRG.10460.2:403-1941|+     -            513 25500at50557         -            513   1.5e-19   69.2   3.4   2   7     0.018      0.83    7.4   0.0   222   261    58    98    47   104 0.59 -
