#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
104832at50557_34720_0:0019e7|STRG.10411.1:0-809|+      -            270 104832at50557        -            207   2.1e-73  245.4  16.7   1   1   7.4e-74   9.6e-72  240.0  16.7     3   205     1   256     1   260 0.82 -
117816at50557_69004_0:00324f|STRG.6302.1:625-1668|+    -            348 104832at50557        -            207   2.9e-12   45.7   3.8   1   4       0.9   1.2e+02    1.2   0.0   145   164    44    63    29    87 0.77 -
117816at50557_69004_0:00324f|STRG.6302.1:625-1668|+    -            348 104832at50557        -            207   2.9e-12   45.7   3.8   2   4   0.00096      0.13   10.9   0.1   125   166   106   152    98   178 0.78 -
117816at50557_69004_0:00324f|STRG.6302.1:625-1668|+    -            348 104832at50557        -            207   2.9e-12   45.7   3.8   3   4   2.5e-05    0.0033   16.1   0.3   124   165   198   244   154   270 0.69 -
117816at50557_69004_0:00324f|STRG.6302.1:625-1668|+    -            348 104832at50557        -            207   2.9e-12   45.7   3.8   4   4   3.2e-05    0.0042   15.8   0.2   121   166   295   348   256   348 0.69 -
117816at50557_69004_0:00324f|STRG.6301.1:642-1685|+    -            348 104832at50557        -            207   4.2e-12   45.1   2.6   1   4      0.75        97    1.5   0.0   145   166    44    65    24    87 0.79 -
117816at50557_69004_0:00324f|STRG.6301.1:642-1685|+    -            348 104832at50557        -            207   4.2e-12   45.1   2.6   2   4    0.0005     0.065   11.9   0.1   125   166   106   152    97   179 0.78 -
117816at50557_69004_0:00324f|STRG.6301.1:642-1685|+    -            348 104832at50557        -            207   4.2e-12   45.1   2.6   3   4   0.00019     0.025   13.2   0.1   124   165   198   244   156   267 0.79 -
117816at50557_69004_0:00324f|STRG.6301.1:642-1685|+    -            348 104832at50557        -            207   4.2e-12   45.1   2.6   4   4   3.4e-05    0.0044   15.7   0.2   121   166   295   348   258   348 0.69 -
83433at50557_166361_0:0030d8|STRG.16830.7:643-1203|+   -            187 104832at50557        -            207   9.2e-07   27.7   0.1   1   2    0.0015      0.19   10.3   0.0   145   175    35    69    18    83 0.78 -
83433at50557_166361_0:0030d8|STRG.16830.7:643-1203|+   -            187 104832at50557        -            207   9.2e-07   27.7   0.1   2   2   3.7e-05    0.0048   15.6   0.0   124   167    94   143    75   182 0.76 -
117816at50557_7200_0:0014c2|STRG.16312.7:812-1705|+    -            298 104832at50557        -            207   9.4e-07   27.7   0.0   1   3    0.0019      0.25    9.9   0.0   144   177    33    70    17    93 0.79 -
117816at50557_7200_0:0014c2|STRG.16312.7:812-1705|+    -            298 104832at50557        -            207   9.4e-07   27.7   0.0   2   3    0.0015      0.19   10.3   0.0   140   167   115   142    92   163 0.79 -
117816at50557_7200_0:0014c2|STRG.16312.7:812-1705|+    -            298 104832at50557        -            207   9.4e-07   27.7   0.0   3   3      0.15        19    3.8   0.0   132   165   246   279   239   297 0.76 -
117816at50557_29058_0:000b65|STRG.16830.10:347-820|+   -            158 104832at50557        -            207   9.7e-07   27.6   0.1   1   2    0.0011      0.14   10.8   0.0   145   175    38    72    21    86 0.78 -
117816at50557_29058_0:000b65|STRG.16830.10:347-820|+   -            158 104832at50557        -            207   9.7e-07   27.6   0.1   2   2   5.2e-05    0.0067   15.1   0.0   124   166    97   145    73   150 0.81 -
117816at50557_29058_0:000b65|STRG.16830.1:1725-2198|+  -            158 104832at50557        -            207   9.7e-07   27.6   0.1   1   2    0.0011      0.14   10.8   0.0   145   175    38    72    21    86 0.78 -
117816at50557_29058_0:000b65|STRG.16830.1:1725-2198|+  -            158 104832at50557        -            207   9.7e-07   27.6   0.1   2   2   5.2e-05    0.0067   15.1   0.0   124   166    97   145    73   150 0.81 -
117816at50557_29058_0:000b65|STRG.16830.4:1770-2243|+  -            158 104832at50557        -            207   9.7e-07   27.6   0.1   1   2    0.0011      0.14   10.8   0.0   145   175    38    72    21    86 0.78 -
