#                                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
105919at50557_197043_0:001144|STRG.1667.1:1-333|-       -            111 105919at50557        -            180   3.9e-68  225.6   3.8   1   1   9.5e-71   4.3e-68  225.5   3.8    60   170     1   111     1   111 0.99 -
105919at50557_1218281_0:001064|STRG.19667.1:1134-1439|+ -            102 105919at50557        -            180     8e-07   25.8   0.3   1   1   1.2e-08   5.4e-06   23.1   0.3   107   165    46   101     1   102 0.79 -
105919at50557_29029_0:003538|STRG.9540.1:1293-1826|+    -            178 105919at50557        -            180   3.6e-06   23.7   2.0   1   2       1.4   6.5e+02   -3.2   0.4    40    49    32    41    10    45 0.63 -
105919at50557_29029_0:003538|STRG.9540.1:1293-1826|+    -            178 105919at50557        -            180   3.6e-06   23.7   2.0   2   2   8.1e-09   3.6e-06   23.7   2.0    89   166    94   178    71   178 0.72 -
105919at50557_7200_0:001504|STRG.10363.1:97-1431|+      -            445 105919at50557        -            180    0.0076   12.9  72.2   1   6     0.014       6.3    3.4   3.3     9    47    27    68    12    79 0.77 -
105919at50557_7200_0:001504|STRG.10363.1:97-1431|+      -            445 105919at50557        -            180    0.0076   12.9  72.2   2   6     0.016       7.1    3.2   6.6     6    47    99   138    88   153 0.81 -
105919at50557_7200_0:001504|STRG.10363.1:97-1431|+      -            445 105919at50557        -            180    0.0076   12.9  72.2   3   6   1.8e-05    0.0083   12.8   5.9     2    52   169   217   168   223 0.88 -
105919at50557_7200_0:001504|STRG.10363.1:97-1431|+      -            445 105919at50557        -            180    0.0076   12.9  72.2   4   6      0.26   1.2e+02   -0.7   6.4     2    53   236   289   235   298 0.73 -
105919at50557_7200_0:001504|STRG.10363.1:97-1431|+      -            445 105919at50557        -            180    0.0076   12.9  72.2   5   6   3.4e-05     0.015   11.9   4.8     2    47   310   359   309   370 0.82 -
105919at50557_7200_0:001504|STRG.10363.1:97-1431|+      -            445 105919at50557        -            180    0.0076   12.9  72.2   6   6   8.9e-06     0.004   13.8   5.6     2    46   382   426   381   434 0.87 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/105919at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/rerun_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/rerun_results/105919at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/105919at50557.hmm annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/rerun_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 18:09:02 2024
# [ok]
