#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
31793at50557_456900_0:001971|STRG.9418.1:707-2494|+    -            596 31793at50557         -            153   2.5e-91  302.5   6.9   1   1   1.2e-92   5.4e-90  298.1   6.9     1   153   104   285   104   285 0.93 -
31793at50557_307491_0:003733|STRG.9416.1:896-1765|+    -            290 31793at50557         -            153   7.2e-47  158.1   7.7   1   1   4.5e-48   2.1e-45  153.4   7.7     2   153   110   290   109   290 0.91 -
31793at50557_7004_0:0042c4|STRG.6242.1:253-1083|+      -            277 31793at50557         -            153   5.2e-44  148.8   8.0   1   1   3.6e-45   1.7e-42  143.9   8.0     2   151    94   272    93   275 0.89 -
31793at50557_7004_0:0042c4|STRG.6242.2:456-1286|+      -            277 31793at50557         -            153   5.2e-44  148.8   8.0   1   1   3.6e-45   1.7e-42  143.9   8.0     2   151    94   272    93   275 0.89 -
31793at50557_7004_0:0042c4|STRG.14846.2:916-1668|+     -            251 31793at50557         -            153   1.5e-25   88.9   1.7   1   1   3.9e-26   1.8e-23   82.1   1.7     2   149    74   251    73   251 0.78 -
31793at50557_7004_0:0042c4|STRG.14846.3:933-1685|+     -            251 31793at50557         -            153   1.5e-25   88.9   1.7   1   1   3.9e-26   1.8e-23   82.1   1.7     2   149    74   251    73   251 0.78 -
31793at50557_7004_0:0042c4|STRG.14845.1:1925-2752|+    -            276 31793at50557         -            153   1.1e-24   86.1   1.4   1   1   3.7e-25   1.7e-22   79.0   1.4     4   149    77   251    73   254 0.78 -
31793at50557_7004_0:0042c4|STRG.14849.1:964-1785|+     -            274 31793at50557         -            153   1.5e-24   85.6   1.4   1   1   3.8e-25   1.7e-22   78.9   1.4     4   149    77   251    73   254 0.79 -
31793at50557_1049336_0:002448|STRG.14845.2:1313-1813|+ -            167 31793at50557         -            153   4.9e-21   74.2   1.1   1   1   2.3e-21   1.1e-18   66.6   1.1     6   142     2   167     1   167 0.77 -
31793at50557_56086_0:002cb4|STRG.14846.1:1673-2225|+   -            176 31793at50557         -            153   2.1e-17   62.4   0.0   1   1   6.3e-20   2.9e-17   62.0   0.0     2   110    46   157    45   175 0.82 -
31793at50557_1049336_0:002448|STRG.6995.1:35-364|+     -            110 31793at50557         -            153   4.2e-07   29.0   0.1   1   1   6.6e-08   3.1e-05   22.9   0.1    61   111     1    54     1   110 0.81 -
58189at50557_103372_0:000235|STRG.1333.1:1002-2240|+   -            413 31793at50557         -            153   3.2e-06   26.1   0.2   1   1     1e-06   0.00048   19.0   0.2     4   147   112   277   109   285 0.77 -
58189at50557_103372_0:000235|STRG.1333.2:0-1238|+      -            413 31793at50557         -            153   3.2e-06   26.1   0.2   1   1     1e-06   0.00048   19.0   0.2     4   147   112   277   109   285 0.77 -
22348at50557_168631_0:001c73|STRG.5472.1:761-1099|+    -            113 31793at50557         -            153    0.0021   16.9   0.9   1   1     6e-06    0.0028   16.6   0.9   122   149    86   113    23   113 0.80 -
22348at50557_411798_0:00330e|STRG.16157.1:2-1048|+     -            349 31793at50557         -            153     0.027   13.4   0.2   1   2      0.12        58    2.5   0.0     4    48    72   115    69   124 0.76 -
22348at50557_411798_0:00330e|STRG.16157.1:2-1048|+     -            349 31793at50557         -            153     0.027   13.4   0.2   2   2    0.0025       1.2    8.0   0.1   122   149   207   234   170   239 0.76 -
58189at50557_121225_0:000d00|STRG.6171.1:9145-10185|+  -            347 31793at50557         -            153      0.04   12.8   0.0   1   1   0.00021     0.096   11.6   0.0   120   149   203   232   175   236 0.86 -
58189at50557_121225_0:000d00|STRG.6171.2:9073-10113|+  -            347 31793at50557         -            153      0.04   12.8   0.0   1   1   0.00021     0.096   11.6   0.0   120   149   203   232   175   236 0.86 -
58189at50557_121225_0:000d00|STRG.6171.3:13101-14141|+ -            347 31793at50557         -            153      0.04   12.8   0.0   1   1   0.00021     0.096   11.6   0.0   120   149   203   232   175   236 0.86 -
58189at50557_121225_0:000d00|STRG.6171.4:13106-14146|+ -            347 31793at50557         -            153      0.04   12.8   0.0   1   1   0.00021     0.096   11.6   0.0   120   149   203   232   175   236 0.86 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/31793at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/31793at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/31793at50557.hmm annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 20:25:43 2024
# [ok]
