#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
98900at50557_104421_0:0000b7|STRG.14231.1:429-1244|+  -            272 98900at50557         -            220  3.8e-106  352.2   0.1   1   1    5e-108  2.2e-105  349.7   0.1     1   220    12   270    12   270 0.91 -
98900at50557_2015173_0:001e9f|STRG.14231.2:429-1343|+ -            305 98900at50557         -            220  5.6e-103  341.9   0.7   1   2   7.3e-69   3.2e-66  221.7   0.1     1   152    12   191    12   209 0.88 -
98900at50557_2015173_0:001e9f|STRG.14231.2:429-1343|+ -            305 98900at50557         -            220  5.6e-103  341.9   0.7   2   2   7.6e-37   3.3e-34  117.0   0.1   151   220   227   303   203   303 0.88 -
98900at50557_34740_0:003818|STRG.2903.1:88-849|+      -            254 98900at50557         -            220   2.9e-47  159.7   0.1   1   1   2.1e-48   9.1e-46  154.8   0.1     1   216     9   254     9   254 0.79 -
98900at50557_34740_0:003818|STRG.2903.2:159-920|+     -            254 98900at50557         -            220   2.9e-47  159.7   0.1   1   1   2.1e-48   9.1e-46  154.8   0.1     1   216     9   254     9   254 0.79 -
98900at50557_121225_0:0016fe|STRG.15592.1:462-1199|+  -            246 98900at50557         -            220   4.7e-40  136.1   0.1   1   2     0.018         8    4.6   0.0     6    26     1    21     1    27 0.89 -
98900at50557_121225_0:0016fe|STRG.15592.1:462-1199|+  -            246 98900at50557         -            220   4.7e-40  136.1   0.1   2   2   9.9e-41   4.4e-38  129.7   0.0    41   215    62   245    44   246 0.86 -
98900at50557_121225_0:0016fe|STRG.15592.3:380-1117|+  -            246 98900at50557         -            220   4.7e-40  136.1   0.1   1   2     0.018         8    4.6   0.0     6    26     1    21     1    27 0.89 -
98900at50557_121225_0:0016fe|STRG.15592.3:380-1117|+  -            246 98900at50557         -            220   4.7e-40  136.1   0.1   2   2   9.9e-41   4.4e-38  129.7   0.0    41   215    62   245    44   246 0.86 -
98900at50557_108931_0:0004a9|STRG.632.1:510-1283|+    -            258 98900at50557         -            220   2.1e-35  120.9   0.0   1   1   1.8e-37   7.9e-35  119.0   0.0    35   217    59   258     8   258 0.81 -
98900at50557_108931_0:0004a9|STRG.632.2:288-1061|+    -            258 98900at50557         -            220   2.1e-35  120.9   0.0   1   1   1.8e-37   7.9e-35  119.0   0.0    35   217    59   258     8   258 0.81 -
124342at50557_121225_0:00131d|STRG.1503.1:145-852|+   -            236 98900at50557         -            220   2.5e-33  114.1   0.5   1   1   3.4e-35   1.5e-32  111.6   0.5    15   216    10   232     2   235 0.79 -
124342at50557_121225_0:00131d|STRG.1503.2:173-880|+   -            236 98900at50557         -            220   2.5e-33  114.1   0.5   1   1   3.4e-35   1.5e-32  111.6   0.5    15   216    10   232     2   235 0.79 -
124342at50557_121225_0:00131d|STRG.1503.4:320-1027|+  -            236 98900at50557         -            220   2.5e-33  114.1   0.5   1   1   3.4e-35   1.5e-32  111.6   0.5    15   216    10   232     2   235 0.79 -
98900at50557_110193_0:00104d|STRG.10790.1:53-682|+    -            210 98900at50557         -            220   6.1e-29   99.8   0.1   1   1   6.4e-31   2.8e-28   97.6   0.1    34   190    34   210     1   210 0.84 -
98900at50557_217634_0:00105f|STRG.12631.1:1373-2146|+ -            258 98900at50557         -            220   1.3e-27   95.4   0.1   1   1   2.8e-29   1.2e-26   92.2   0.1    47   217    76   258     7   258 0.83 -
98900at50557_217634_0:00105f|STRG.12631.2:1373-2146|+ -            258 98900at50557         -            220   1.3e-27   95.4   0.1   1   1   2.8e-29   1.2e-26   92.2   0.1    47   217    76   258     7   258 0.83 -
98900at50557_217634_0:00105f|STRG.12631.3:1373-2146|+ -            258 98900at50557         -            220   1.3e-27   95.4   0.1   1   1   2.8e-29   1.2e-26   92.2   0.1    47   217    76   258     7   258 0.83 -
98900at50557_197043_0:000c99|STRG.10791.1:310-900|+   -            197 98900at50557         -            220   1.2e-20   72.7   0.1   1   1   2.2e-21   9.8e-19   66.4   0.1     1   159     3   196     3   197 0.76 -
98900at50557_30019_0:000a95|STRG.15592.2:460-918|+    -            153 98900at50557         -            220   8.8e-20   69.8   0.3   1   2    0.0021      0.92    7.6   0.0     4    26    11    33     8    40 0.88 -
98900at50557_30019_0:000a95|STRG.15592.2:460-918|+    -            153 98900at50557         -            220   8.8e-20   69.8   0.3   2   2   1.3e-19   5.7e-17   60.6   0.1    40   120    73   152    55   153 0.89 -
107413at50557_211228_0:00176b|STRG.6785.1:97-792|+    -            232 98900at50557         -            220     0.047   11.9   0.1   1   2   0.00021     0.095   10.9   0.0    33    81     9    57     6    75 0.80 -
