#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
22348at50557_411798_0:00330e|STRG.16157.1:2-1048|+     -            349 22348at50557         -            571  1.2e-201  669.8  14.5   1   1  1.3e-202  4.8e-200  664.6  14.5   262   571     1   340     1   340 0.95 -
58189at50557_121225_0:000d00|STRG.6171.1:9145-10185|+  -            347 22348at50557         -            571   9.1e-37  125.5   1.2   1   1   3.2e-39   1.2e-36  125.1   1.2   287   526    15   260     1   284 0.80 -
58189at50557_121225_0:000d00|STRG.6171.2:9073-10113|+  -            347 22348at50557         -            571   9.1e-37  125.5   1.2   1   1   3.2e-39   1.2e-36  125.1   1.2   287   526    15   260     1   284 0.80 -
58189at50557_121225_0:000d00|STRG.6171.3:13101-14141|+ -            347 22348at50557         -            571   9.1e-37  125.5   1.2   1   1   3.2e-39   1.2e-36  125.1   1.2   287   526    15   260     1   284 0.80 -
58189at50557_121225_0:000d00|STRG.6171.4:13106-14146|+ -            347 22348at50557         -            571   9.1e-37  125.5   1.2   1   1   3.2e-39   1.2e-36  125.1   1.2   287   526    15   260     1   284 0.80 -
22348at50557_197043_0:001d27|STRG.3319.1:1171-2622|+   -            484 22348at50557         -            571   2.7e-29  100.8   3.3   1   1   7.4e-31   2.7e-28   97.5   3.3   259   516   184   473    14   478 0.79 -
8602at50557_34720_0:0017b2|STRG.13562.1:2-2578|+       -            859 22348at50557         -            571   2.5e-27   94.3  14.2   1   4   6.1e-06    0.0023   15.2   0.1   129   172     1    45     1    50 0.94 -
8602at50557_34720_0:0017b2|STRG.13562.1:2-2578|+       -            859 22348at50557         -            571   2.5e-27   94.3  14.2   2   4   4.5e-08   1.6e-05   22.3   0.4    88   171    48   135    44   144 0.79 -
8602at50557_34720_0:0017b2|STRG.13562.1:2-2578|+       -            859 22348at50557         -            571   2.5e-27   94.3  14.2   3   4     2e-06   0.00073   16.8   0.4    94   169   161   236   153   242 0.84 -
8602at50557_34720_0:0017b2|STRG.13562.1:2-2578|+       -            859 22348at50557         -            571   2.5e-27   94.3  14.2   4   4   5.5e-16     2e-13   48.4   0.2   197   360   669   839   660   852 0.83 -
22348at50557_39758_0:0000a5|STRG.3319.2:1278-1688|+    -            137 22348at50557         -            571   1.3e-23   82.0   0.0   1   1   3.8e-26   1.4e-23   81.9   0.0   383   515     2   135     1   137 0.92 -
58189at50557_103372_0:000235|STRG.1333.1:1002-2240|+   -            413 22348at50557         -            571   2.1e-23   81.3   0.2   1   1   8.8e-26   3.2e-23   80.7   0.2   267   519    38   301    23   319 0.85 -
58189at50557_103372_0:000235|STRG.1333.2:0-1238|+      -            413 22348at50557         -            571   2.1e-23   81.3   0.2   1   1   8.8e-26   3.2e-23   80.7   0.2   267   519    38   301    23   319 0.85 -
