#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
37475at50557_103372_0:00039a|STRG.12616.1:2-1201|+     -            400 37475at50557         -            589   2.1e-94  315.9   8.0   1   1   1.5e-94   6.6e-93  311.0   8.0   257   566     7   400     4   400 0.86 -
37475at50557_411798_0:00107d|STRG.3237.1:57-845|+      -            263 37475at50557         -            589   1.3e-93  313.3   5.5   1   1   7.3e-95   3.2e-93  312.0   5.5     4   214    14   263    12   263 0.90 -
37475at50557_144034_0:000f95|STRG.12616.2:707-1492|+   -            262 37475at50557         -            589   1.8e-53  180.8   2.5   1   1   5.6e-55   2.4e-53  180.3   2.5   370   566    20   262    14   262 0.81 -
40115at50557_108931_0:001d6b|STRG.7947.1:815-1852|+    -            346 37475at50557         -            589   6.9e-22   76.5  17.1   1   4     7e-07     3e-05   21.5   0.0   143   184     3    44     2    49 0.91 -
40115at50557_108931_0:001d6b|STRG.7947.1:815-1852|+    -            346 37475at50557         -            589   6.9e-22   76.5  17.1   2   4    0.0016     0.068   10.4   0.2    84   118    70   104    63   106 0.90 -
40115at50557_108931_0:001d6b|STRG.7947.1:815-1852|+    -            346 37475at50557         -            589   6.9e-22   76.5  17.1   3   4   7.9e-10   3.5e-08   31.2   4.4    71   191    98   230    98   246 0.81 -
40115at50557_108931_0:001d6b|STRG.7947.1:815-1852|+    -            346 37475at50557         -            589   6.9e-22   76.5  17.1   4   4   1.1e-06   4.8e-05   20.9   1.1   149   242   230   345   225   346 0.70 -
40115at50557_7370_0:002473|STRG.851.1:242-1114|+       -            291 37475at50557         -            589   3.2e-18   64.4  11.8   1   3   1.3e-12   5.6e-11   40.5   3.6    79   182     4   120     1   127 0.88 -
40115at50557_7370_0:002473|STRG.851.1:242-1114|+       -            291 37475at50557         -            589   3.2e-18   64.4  11.8   2   3   1.6e-05   0.00071   17.0   0.0   146   213   126   205   123   216 0.77 -
40115at50557_7370_0:002473|STRG.851.1:242-1114|+       -            291 37475at50557         -            589   3.2e-18   64.4  11.8   3   3     0.035       1.5    6.0   0.2   135   179   243   291   239   291 0.79 -
40115at50557_7370_0:002473|STRG.851.2:242-1281|+       -            265 37475at50557         -            589   1.5e-17   62.2   9.9   1   2   9.2e-13     4e-11   40.9   3.6    79   183     4   121     1   128 0.88 -
40115at50557_7370_0:002473|STRG.851.2:242-1281|+       -            265 37475at50557         -            589   1.5e-17   62.2   9.9   2   2   1.6e-06   7.2e-05   20.3   0.4    70   185   121   253   120   261 0.66 -
40115at50557_103372_0:0021d6|STRG.4040.1:259-1701|+    -            481 37475at50557         -            589   3.9e-17   60.8  15.7   1   7   8.1e-06   0.00035   18.0   0.0   122   186    90   154    86   158 0.94 -
40115at50557_103372_0:0021d6|STRG.4040.1:259-1701|+    -            481 37475at50557         -            589   3.9e-17   60.8  15.7   2   7     0.028       1.2    6.3   0.5   225   246   165   186   155   190 0.77 -
40115at50557_103372_0:0021d6|STRG.4040.1:259-1701|+    -            481 37475at50557         -            589   3.9e-17   60.8  15.7   3   7     0.018       0.8    6.9   0.1   146   187   199   245   195   250 0.74 -
40115at50557_103372_0:0021d6|STRG.4040.1:259-1701|+    -            481 37475at50557         -            589   3.9e-17   60.8  15.7   4   7     0.058       2.5    5.3   0.1     6    33   254   281   251   290 0.79 -
40115at50557_103372_0:0021d6|STRG.4040.1:259-1701|+    -            481 37475at50557         -            589   3.9e-17   60.8  15.7   5   7    0.0032      0.14    9.4   0.0   147   190   363   406   349   408 0.92 -
40115at50557_103372_0:0021d6|STRG.4040.1:259-1701|+    -            481 37475at50557         -            589   3.9e-17   60.8  15.7   6   7   0.00013    0.0057   14.0   0.2   149   182   407   440   404   444 0.89 -
40115at50557_103372_0:0021d6|STRG.4040.1:259-1701|+    -            481 37475at50557         -            589   3.9e-17   60.8  15.7   7   7     0.064       2.8    5.1   0.0    78   108   449   479   439   481 0.59 -
14512at50557_29053_0:0002b6|STRG.13347.1:210-920|+     -            237 37475at50557         -            589   3.1e-15   54.5   4.4   1   5   7.8e-06   0.00034   18.0   0.0   147   188     3    44     1    49 0.91 -
14512at50557_29053_0:0002b6|STRG.13347.1:210-920|+     -            237 37475at50557         -            589   3.1e-15   54.5   4.4   2   5     0.091         4    4.6   0.1   151   188    49    86    45    89 0.85 -
14512at50557_29053_0:0002b6|STRG.13347.1:210-920|+     -            237 37475at50557         -            589   3.1e-15   54.5   4.4   3   5   0.00013    0.0057   14.0   0.0   149   183    89   123    85   127 0.93 -
14512at50557_29053_0:0002b6|STRG.13347.1:210-920|+     -            237 37475at50557         -            589   3.1e-15   54.5   4.4   4   5     0.037       1.6    5.9   0.1   149   183   161   195   154   203 0.86 -
14512at50557_29053_0:0002b6|STRG.13347.1:210-920|+     -            237 37475at50557         -            589   3.1e-15   54.5   4.4   5   5    0.0016     0.071   10.4   0.0   149   180   205   236   196   237 0.91 -
78072at50557_7070_0:002a52|STRG.16420.1:1014-1856|+    -            281 37475at50557         -            589   4.1e-15   54.1  14.1   1   6   0.00047      0.02   12.2   0.2    60   109    18    68    10    72 0.74 -
78072at50557_7070_0:002a52|STRG.16420.1:1014-1856|+    -            281 37475at50557         -            589   4.1e-15   54.1  14.1   2   6    0.0025      0.11    9.8   0.0   143   180    72   109    68   115 0.72 -
78072at50557_7070_0:002a52|STRG.16420.1:1014-1856|+    -            281 37475at50557         -            589   4.1e-15   54.1  14.1   3   6    0.0013     0.055   10.8   0.0   148   187   119   160   110   164 0.82 -
78072at50557_7070_0:002a52|STRG.16420.1:1014-1856|+    -            281 37475at50557         -            589   4.1e-15   54.1  14.1   4   6   0.00069      0.03   11.6   0.1    76   108   162   194   155   195 0.80 -
78072at50557_7070_0:002a52|STRG.16420.1:1014-1856|+    -            281 37475at50557         -            589   4.1e-15   54.1  14.1   5   6      0.03       1.3    6.2   0.0   138   190   196   249   194   251 0.86 -
78072at50557_7070_0:002a52|STRG.16420.1:1014-1856|+    -            281 37475at50557         -            589   4.1e-15   54.1  14.1   6   6     0.002     0.085   10.1   0.5   149   179   251   281   244   281 0.97 -
78072at50557_7070_0:002a52|STRG.16420.2:1143-1985|+    -            281 37475at50557         -            589   4.1e-15   54.1  14.1   1   6   0.00047      0.02   12.2   0.2    60   109    18    68    10    72 0.74 -
78072at50557_7070_0:002a52|STRG.16420.2:1143-1985|+    -            281 37475at50557         -            589   4.1e-15   54.1  14.1   2   6    0.0025      0.11    9.8   0.0   143   180    72   109    68   115 0.72 -
78072at50557_7070_0:002a52|STRG.16420.2:1143-1985|+    -            281 37475at50557         -            589   4.1e-15   54.1  14.1   3   6    0.0013     0.055   10.8   0.0   148   187   119   160   110   164 0.82 -
78072at50557_7070_0:002a52|STRG.16420.2:1143-1985|+    -            281 37475at50557         -            589   4.1e-15   54.1  14.1   4   6   0.00069      0.03   11.6   0.1    76   108   162   194   155   195 0.80 -
78072at50557_7070_0:002a52|STRG.16420.2:1143-1985|+    -            281 37475at50557         -            589   4.1e-15   54.1  14.1   5   6      0.03       1.3    6.2   0.0   138   190   196   249   194   251 0.86 -
78072at50557_7070_0:002a52|STRG.16420.2:1143-1985|+    -            281 37475at50557         -            589   4.1e-15   54.1  14.1   6   6     0.002     0.085   10.1   0.5   149   179   251   281   244   281 0.97 -
25500at50557_13686_0:0020f5|STRG.4579.1:202-2007|+     -            602 37475at50557         -            589   4.2e-15   54.1   8.1   1   6   0.00016     0.007   13.7   0.0   123   195    27   101    25   105 0.84 -
25500at50557_13686_0:0020f5|STRG.4579.1:202-2007|+     -            602 37475at50557         -            589   4.2e-15   54.1   8.1   2   6       4.4   1.9e+02   -0.9   0.0   223   240   103   120   101   139 0.73 -
25500at50557_13686_0:0020f5|STRG.4579.1:202-2007|+     -            602 37475at50557         -            589   4.2e-15   54.1   8.1   3   6       1.2        53    0.9   0.0   175   205   180   210   166   222 0.78 -
25500at50557_13686_0:0020f5|STRG.4579.1:202-2007|+     -            602 37475at50557         -            589   4.2e-15   54.1   8.1   4   6     0.085       3.7    4.7   0.0    75   109   313   347   291   351 0.90 -
25500at50557_13686_0:0020f5|STRG.4579.1:202-2007|+     -            602 37475at50557         -            589   4.2e-15   54.1   8.1   5   6   1.7e-05   0.00074   16.9   0.3   119   182   489   557   485   569 0.79 -
25500at50557_13686_0:0020f5|STRG.4579.1:202-2007|+     -            602 37475at50557         -            589   4.2e-15   54.1   8.1   6   6      0.32        14    2.8   0.1   155   180   574   598   566   601 0.73 -
43121at50557_103372_0:001d6c|STRG.7934.1:0-1529|+      -            510 37475at50557         -            589   9.1e-15   53.0   0.1   1   3    0.0022     0.096   10.0   0.0    80   119   213   253   200   263 0.77 -
43121at50557_103372_0:001d6c|STRG.7934.1:0-1529|+      -            510 37475at50557         -            589   9.1e-15   53.0   0.1   2   3   9.3e-10   4.1e-08   31.0   0.2    82   188   265   385   259   404 0.82 -
43121at50557_103372_0:001d6c|STRG.7934.1:0-1529|+      -            510 37475at50557         -            589   9.1e-15   53.0   0.1   3   3     0.011      0.46    7.7   0.0   129   179   454   508   441   510 0.72 -
33043at50557_568069_0:003d26|STRG.4583.1:401-2536|+    -            712 37475at50557         -            589   3.3e-14   51.1  14.0   1   6   7.8e-05    0.0034   14.7   0.0    55   109    63   120    52   130 0.82 -
33043at50557_568069_0:003d26|STRG.4583.1:401-2536|+    -            712 37475at50557         -            589   3.3e-14   51.1  14.0   2   6     0.017      0.73    7.1   0.0    76   114   129   167   121   179 0.88 -
33043at50557_568069_0:003d26|STRG.4583.1:401-2536|+    -            712 37475at50557         -            589   3.3e-14   51.1  14.0   3   6       1.3        57    0.8   0.0   149   189   251   291   244   293 0.76 -
33043at50557_568069_0:003d26|STRG.4583.1:401-2536|+    -            712 37475at50557         -            589   3.3e-14   51.1  14.0   4   6     0.048       2.1    5.5   0.1   150   189   294   333   291   346 0.88 -
33043at50557_568069_0:003d26|STRG.4583.1:401-2536|+    -            712 37475at50557         -            589   3.3e-14   51.1  14.0   5   6   3.3e-05    0.0014   16.0   0.4    59   139   451   534   381   547 0.69 -
33043at50557_568069_0:003d26|STRG.4583.1:401-2536|+    -            712 37475at50557         -            589   3.3e-14   51.1  14.0   6   6    0.0088      0.38    8.0   0.1    98   204   598   705   588   711 0.67 -
33043at50557_568069_0:003d26|STRG.4583.2:312-2402|+    -            697 37475at50557         -            589   4.6e-14   50.6  14.5   1   6   7.3e-05    0.0032   14.8   0.0    54   109    47   105    34   115 0.82 -
33043at50557_568069_0:003d26|STRG.4583.2:312-2402|+    -            697 37475at50557         -            589   4.6e-14   50.6  14.5   2   6     0.017      0.74    7.0   0.0    76   114   114   152   109   166 0.88 -
33043at50557_568069_0:003d26|STRG.4583.2:312-2402|+    -            697 37475at50557         -            589   4.6e-14   50.6  14.5   3   6       1.2        53    0.9   0.0   149   190   236   277   230   279 0.77 -
33043at50557_568069_0:003d26|STRG.4583.2:312-2402|+    -            697 37475at50557         -            589   4.6e-14   50.6  14.5   4   6     0.043       1.9    5.7   0.1   149   189   278   318   275   332 0.88 -
33043at50557_568069_0:003d26|STRG.4583.2:312-2402|+    -            697 37475at50557         -            589   4.6e-14   50.6  14.5   5   6   3.2e-05    0.0014   16.0   0.4    59   139   436   519   366   532 0.69 -
33043at50557_568069_0:003d26|STRG.4583.2:312-2402|+    -            697 37475at50557         -            589   4.6e-14   50.6  14.5   6   6    0.0085      0.37    8.0   0.1    98   204   583   690   573   696 0.67 -
40115at50557_597456_0:00265e|STRG.4355.1:1850-2719|+   -            290 37475at50557         -            589   3.3e-13   47.8  14.3   1   3   8.2e-08   3.6e-06   24.6   3.8    87   182     9   120     1   129 0.67 -
40115at50557_597456_0:00265e|STRG.4355.1:1850-2719|+   -            290 37475at50557         -            589   3.3e-13   47.8  14.3   2   3    0.0046       0.2    8.9   0.1   151   183   138   170   133   178 0.88 -
40115at50557_597456_0:00265e|STRG.4355.1:1850-2719|+   -            290 37475at50557         -            589   3.3e-13   47.8  14.3   3   3   3.2e-06   0.00014   19.3   0.5    14   108   192   289   180   290 0.79 -
40115at50557_28612_0:000941|STRG.8740.1:278-1135|+     -            286 37475at50557         -            589   3.4e-13   47.8   1.2   1   3     5e-06   0.00022   18.7   0.0   121   179    15    76     9    84 0.77 -
40115at50557_28612_0:000941|STRG.8740.1:278-1135|+     -            286 37475at50557         -            589   3.4e-13   47.8   1.2   2   3   0.00052     0.022   12.0   0.0    78   108    88   118    83   121 0.95 -
40115at50557_28612_0:000941|STRG.8740.1:278-1135|+     -            286 37475at50557         -            589   3.4e-13   47.8   1.2   3   3    0.0018     0.077   10.3   0.1   146   187   127   168   121   176 0.78 -
31374at50557_103372_0:0017b9|STRG.7093.1:92-2047|+     -            652 37475at50557         -            589   5.1e-13   47.2   0.7   1   4   2.4e-05     0.001   16.5   0.1    86   185   328   429   323   464 0.67 -
31374at50557_103372_0:0017b9|STRG.7093.1:92-2047|+     -            652 37475at50557         -            589   5.1e-13   47.2   0.7   2   4     0.086       3.8    4.7   0.0   151   184   479   512   469   517 0.83 -
31374at50557_103372_0:0017b9|STRG.7093.1:92-2047|+     -            652 37475at50557         -            589   5.1e-13   47.2   0.7   3   4    0.0028      0.12    9.6   0.0   148   190   518   560   511   562 0.90 -
31374at50557_103372_0:0017b9|STRG.7093.1:92-2047|+     -            652 37475at50557         -            589   5.1e-13   47.2   0.7   4   4    0.0005     0.022   12.1   0.0   150   181   562   593   559   612 0.89 -
57752at50557_121225_0:0018b6|STRG.4044.1:539-1453|+    -            305 37475at50557         -            589   7.2e-13   46.7  10.8   1   7     0.011      0.49    7.6   0.0   154   182     7    35     1    40 0.80 -
57752at50557_121225_0:0018b6|STRG.4044.1:539-1453|+    -            305 37475at50557         -            589   7.2e-13   46.7  10.8   2   7    0.0068      0.29    8.3   0.0   146   186    41    81    37    86 0.90 -
57752at50557_121225_0:0018b6|STRG.4044.1:539-1453|+    -            305 37475at50557         -            589   7.2e-13   46.7  10.8   3   7   0.00025     0.011   13.1   0.0   145   189    83   127    77   130 0.90 -
