#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
59552at50557_520822_0:001fd5|STRG.7223.1:61-1227|+   -            389 59552at50557         -            337  2.7e-177  588.0   2.1   1   1  2.5e-180  3.1e-177  587.8   2.1     1   335     2   366     2   368 0.94 -
127380at50557_286306_0:001b9f|STRG.2209.5:135-986|+  -            284 59552at50557         -            337     6e-09   34.6   0.0   1   1   7.1e-12   8.8e-09   34.0   0.0   181   305    34   163    14   193 0.84 -
127380at50557_103372_0:000884|STRG.2209.3:285-1103|+ -            273 59552at50557         -            337   6.1e-09   34.5   0.0   1   1   6.5e-12   8.1e-09   34.1   0.0   181   305    29   158    11   188 0.84 -
127380at50557_103372_0:000884|STRG.2209.6:384-1202|+ -            273 59552at50557         -            337   6.1e-09   34.5   0.0   1   1   6.5e-12   8.1e-09   34.1   0.0   181   305    29   158    11   188 0.84 -
127380at50557_103372_0:000884|STRG.2209.2:383-1204|+ -            274 59552at50557         -            337   6.2e-09   34.5   0.0   1   1   6.6e-12   8.1e-09   34.1   0.0   181   305    29   158    11   188 0.84 -
127380at50557_103372_0:000884|STRG.2209.4:383-1204|+ -            274 59552at50557         -            337   6.2e-09   34.5   0.0   1   1   6.6e-12   8.1e-09   34.1   0.0   181   305    29   158    11   188 0.84 -
127380at50557_103372_0:000884|STRG.2209.1:286-1149|+ -            288 59552at50557         -            337     7e-09   34.3   0.0   1   1   7.5e-12   9.3e-09   33.9   0.0   181   305    29   158    11   188 0.84 -
67170at50557_34720_0:000218|STRG.916.1:0-1154|+      -            385 59552at50557         -            337   0.00024   19.4   0.1   1   2      0.56   6.9e+02   -1.8   0.3   255   301    92   139    60   151 0.75 -
67170at50557_34720_0:000218|STRG.916.1:0-1154|+      -            385 59552at50557         -            337   0.00024   19.4   0.1   2   2   1.9e-07   0.00024   19.4   0.1   212   334   238   371   197   374 0.71 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/59552at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/59552at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/59552at50557.hmm annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 10:11:18 2024
# [ok]
