#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
15589at50557_456900_0:000a2c|STRG.2678.1:38-2563|+    -            842 15589at50557         -            716         0 1360.3  31.4   1   1         0         0 1357.9  31.4     1   683    17   763    17   834 0.90 -
30983at50557_103372_0:001d08|STRG.5041.1:87-2102|+    -            672 15589at50557         -            716   8.1e-24   83.2  34.6   1   5   9.9e-06     0.011   13.4   5.4     6    82    66   151    51   175 0.51 -
30983at50557_103372_0:001d08|STRG.5041.1:87-2102|+    -            672 15589at50557         -            716   8.1e-24   83.2  34.6   2   5   7.2e-09   7.9e-06   23.8   3.0   491   593   176   276   169   279 0.84 -
30983at50557_103372_0:001d08|STRG.5041.1:87-2102|+    -            672 15589at50557         -            716   8.1e-24   83.2  34.6   3   5    0.0024       2.7    5.5   0.1   528   570   247   289   241   308 0.66 -
30983at50557_103372_0:001d08|STRG.5041.1:87-2102|+    -            672 15589at50557         -            716   8.1e-24   83.2  34.6   4   5   4.8e-05     0.053   11.1   0.3    30    69   312   353   303   369 0.80 -
30983at50557_103372_0:001d08|STRG.5041.1:87-2102|+    -            672 15589at50557         -            716   8.1e-24   83.2  34.6   5   5   3.6e-15     4e-12   44.6   4.5   494   652   370   533   359   550 0.80 -
30983at50557_103372_0:001d08|STRG.5041.2:460-2088|+   -            543 15589at50557         -            716   1.5e-21   75.7  26.3   1   5   9.3e-08    0.0001   20.1   7.4   486   591    42   145     1   146 0.71 -
30983at50557_103372_0:001d08|STRG.5041.2:460-2088|+   -            543 15589at50557         -            716   1.5e-21   75.7  26.3   2   5     0.002       2.1    5.8   0.2   528   570   118   160   113   180 0.66 -
30983at50557_103372_0:001d08|STRG.5041.2:460-2088|+   -            543 15589at50557         -            716   1.5e-21   75.7  26.3   3   5   3.9e-05     0.043   11.4   0.2    30    69   183   224   176   239 0.80 -
30983at50557_103372_0:001d08|STRG.5041.2:460-2088|+   -            543 15589at50557         -            716   1.5e-21   75.7  26.3   4   5   2.2e-15   2.4e-12   45.3   4.0   494   652   241   404   229   413 0.80 -
30983at50557_103372_0:001d08|STRG.5041.2:460-2088|+   -            543 15589at50557         -            716   1.5e-21   75.7  26.3   5   5      0.02        22    2.5   0.0   511   538   397   424   393   462 0.78 -
15852at50557_103372_0:0023aa|STRG.3870.1:2-2845|+     -            948 15589at50557         -            716   3.4e-06   25.0   7.9   1   4       1.2   1.4e+03   -3.5   0.0   344   378   317   351   303   356 0.88 -
15852at50557_103372_0:0023aa|STRG.3870.1:2-2845|+     -            948 15589at50557         -            716   3.4e-06   25.0   7.9   2   4   0.00096       1.1    6.8   0.1    10    55   373   422   365   444 0.80 -
15852at50557_103372_0:0023aa|STRG.3870.1:2-2845|+     -            948 15589at50557         -            716   3.4e-06   25.0   7.9   3   4     8e-05     0.087   10.4   1.1   511   652   452   603   437   618 0.78 -
15852at50557_103372_0:0023aa|STRG.3870.1:2-2845|+     -            948 15589at50557         -            716   3.4e-06   25.0   7.9   4   4    0.0011       1.2    6.6   0.0   511   555   731   776   718   791 0.83 -
15852at50557_103372_0:0023aa|STRG.3870.2:2-2845|+     -            948 15589at50557         -            716   3.4e-06   25.0   7.9   1   4       1.2   1.4e+03   -3.5   0.0   344   378   317   351   303   356 0.88 -
15852at50557_103372_0:0023aa|STRG.3870.2:2-2845|+     -            948 15589at50557         -            716   3.4e-06   25.0   7.9   2   4   0.00096       1.1    6.8   0.1    10    55   373   422   365   444 0.80 -
15852at50557_103372_0:0023aa|STRG.3870.2:2-2845|+     -            948 15589at50557         -            716   3.4e-06   25.0   7.9   3   4     8e-05     0.087   10.4   1.1   511   652   452   603   437   618 0.78 -
15852at50557_103372_0:0023aa|STRG.3870.2:2-2845|+     -            948 15589at50557         -            716   3.4e-06   25.0   7.9   4   4    0.0011       1.2    6.6   0.0   511   555   731   776   718   791 0.83 -
30983at50557_197043_0:003345|STRG.16180.1:3483-4139|+ -            219 15589at50557         -            716   2.3e-05   22.2   3.4   1   2   0.00097       1.1    6.8   0.8   344   392    10    60     6   108 0.67 -
30983at50557_197043_0:003345|STRG.16180.1:3483-4139|+ -            219 15589at50557         -            716   2.3e-05   22.2   3.4   2   2   1.3e-07   0.00014   19.7   0.8   493   653    48   208    44   217 0.76 -
30983at50557_197043_0:003345|STRG.16180.2:3543-4199|+ -            219 15589at50557         -            716   2.3e-05   22.2   3.4   1   2   0.00097       1.1    6.8   0.8   344   392    10    60     6   108 0.67 -
30983at50557_197043_0:003345|STRG.16180.2:3543-4199|+ -            219 15589at50557         -            716   2.3e-05   22.2   3.4   2   2   1.3e-07   0.00014   19.7   0.8   493   653    48   208    44   217 0.76 -
30983at50557_121845_0:001943|STRG.5041.2:87-461|+     -            125 15589at50557         -            716   0.00039   18.2   0.3   1   1   3.9e-07   0.00043   18.0   0.3   341   392    75   123    49   125 0.84 -
18461at50557_7130_0:00076a|STRG.1041.1:1-1023|+       -            341 15589at50557         -            716     0.029   12.0   0.2   1   1   3.4e-05     0.037   11.6   0.2    83   220    15   155     3   165 0.85 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/15589at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/15589at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/15589at50557.hmm annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 10:07:09 2024
# [ok]
