#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
107013at50557_143995_0:0001cd|STRG.2519.1:357-935|+  -            191 107013at50557        -            154   5.1e-71  236.6   0.1   1   1     1e-73   9.8e-71  235.7   0.1     6   154    23   191    22   191 0.95 -
107013at50557_34720_0:000514|STRG.2519.2:151-879|+   -            243 107013at50557        -            154   1.1e-70  235.5   0.1   1   1   2.4e-73   2.2e-70  234.5   0.1     6   154    75   243    74   243 0.95 -
107013at50557_34720_0:000514|STRG.2519.3:151-902|+   -            243 107013at50557        -            154   1.1e-70  235.5   0.1   1   1   2.4e-73   2.2e-70  234.5   0.1     6   154    75   243    74   243 0.95 -
107013at50557_34720_0:000514|STRG.2519.5:203-733|+   -            177 107013at50557        -            154   1.2e-66  222.4   0.2   1   1   1.9e-69   1.8e-66  221.9   0.2    13   154    16   177     8   177 0.94 -
107013at50557_34720_0:000514|STRG.2519.4:260-733|+   -            158 107013at50557        -            154   2.9e-65  217.9   0.1   1   1   4.5e-68   4.3e-65  217.4   0.1    17   154     1   158     1   158 0.94 -
25910at50557_113334_0:002cfc|STRG.19051.1:440-940|+  -            167 107013at50557        -            154   0.00067   18.6   0.1   1   1   3.2e-06    0.0031   16.5   0.1    36   119    19   118    12   143 0.74 -
25910at50557_113334_0:002cfc|STRG.19051.2:440-940|+  -            167 107013at50557        -            154   0.00067   18.6   0.1   1   1   3.2e-06    0.0031   16.5   0.1    36   119    19   118    12   143 0.74 -
25910at50557_113334_0:002cfc|STRG.19051.4:440-940|+  -            167 107013at50557        -            154   0.00067   18.6   0.1   1   1   3.2e-06    0.0031   16.5   0.1    36   119    19   118    12   143 0.74 -
25910at50557_113334_0:002cfc|STRG.19051.5:559-1059|+ -            167 107013at50557        -            154   0.00067   18.6   0.1   1   1   3.2e-06    0.0031   16.5   0.1    36   119    19   118    12   143 0.74 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/107013at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/107013at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/107013at50557.hmm annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 13:52:14 2024
# [ok]
