#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
30640at50557_103372_0:0017a1|STRG.10238.1:0-2381|+     -            794 30640at50557         -            649         0 1181.5   6.4   1   1         0         0 1175.6   6.4    15   649    48   794    41   794 0.91 -
30640at50557_1629725_0:002003|STRG.10238.2:35-1032|+   -            325 30640at50557         -            649  2.2e-146  487.8  12.9   1   1    3e-147  2.4e-145  484.4  12.9   170   445     1   325     1   325 0.90 -
30640at50557_7536_0:0024c3|STRG.13589.1:1569-2135|+    -            189 30640at50557         -            649   2.1e-39  134.3   0.1   1   1   2.9e-41   2.3e-39  134.2   0.1    96   276     3   188     1   189 0.88 -
30640at50557_7536_0:0024c3|STRG.8200.1:355-1026|+      -            224 30640at50557         -            649   1.9e-34  118.0   0.0   1   1   2.7e-36   2.1e-34  117.8   0.0    81   277    22   224     6   224 0.87 -
30640at50557_246812_0:002bdf|STRG.10857.1:253-1020|+   -            256 30640at50557         -            649   1.4e-26   91.9   0.1   1   1     2e-28   1.6e-26   91.8   0.1    78   277    52   256    28   256 0.86 -
30640at50557_246812_0:002bdf|STRG.10857.2:427-1194|+   -            256 30640at50557         -            649   1.4e-26   91.9   0.1   1   1     2e-28   1.6e-26   91.8   0.1    78   277    52   256    28   256 0.86 -
30640at50557_123851_0:0040fd|STRG.3608.1:598-1320|+    -            241 30640at50557         -            649   9.1e-23   79.4   0.1   1   1   1.4e-24   1.1e-22   79.0   0.1    74   281     7   226     2   236 0.82 -
31358at50557_123851_0:00056b|STRG.3911.1:2145-2690|+   -            182 30640at50557         -            649   1.5e-20   72.1   0.0   1   1   2.4e-22   1.9e-20   71.7   0.0    81   246     9   177     4   180 0.89 -
68581at50557_166361_0:00349c|STRG.6102.1:465-1091|+    -            209 30640at50557         -            649   2.3e-18   64.8   0.7   1   3   3.4e-09   2.7e-07   28.3   0.0   410   475     7    72     3    80 0.93 -
68581at50557_166361_0:00349c|STRG.6102.1:465-1091|+    -            209 30640at50557         -            649   2.3e-18   64.8   0.7   2   3   0.00021     0.017   12.4   0.0   399   453    81   136    68   147 0.84 -
68581at50557_166361_0:00349c|STRG.6102.1:465-1091|+    -            209 30640at50557         -            649   2.3e-18   64.8   0.7   3   3   2.2e-07   1.8e-05   22.3   0.0   406   454   158   208   139   209 0.83 -
68581at50557_166361_0:00349c|STRG.6102.2:279-905|+     -            209 30640at50557         -            649   2.3e-18   64.8   0.7   1   3   3.4e-09   2.7e-07   28.3   0.0   410   475     7    72     3    80 0.93 -
68581at50557_166361_0:00349c|STRG.6102.2:279-905|+     -            209 30640at50557         -            649   2.3e-18   64.8   0.7   2   3   0.00021     0.017   12.4   0.0   399   453    81   136    68   147 0.84 -
68581at50557_166361_0:00349c|STRG.6102.2:279-905|+     -            209 30640at50557         -            649   2.3e-18   64.8   0.7   3   3   2.2e-07   1.8e-05   22.3   0.0   406   454   158   208   139   209 0.83 -
68581at50557_166361_0:00349c|STRG.6102.3:465-1091|+    -            209 30640at50557         -            649   2.3e-18   64.8   0.7   1   3   3.4e-09   2.7e-07   28.3   0.0   410   475     7    72     3    80 0.93 -
68581at50557_166361_0:00349c|STRG.6102.3:465-1091|+    -            209 30640at50557         -            649   2.3e-18   64.8   0.7   2   3   0.00021     0.017   12.4   0.0   399   453    81   136    68   147 0.84 -
68581at50557_166361_0:00349c|STRG.6102.3:465-1091|+    -            209 30640at50557         -            649   2.3e-18   64.8   0.7   3   3   2.2e-07   1.8e-05   22.3   0.0   406   454   158   208   139   209 0.83 -
31358at50557_123851_0:00056b|STRG.5964.1:673-1239|+    -            189 30640at50557         -            649   3.9e-17   60.8   0.0   1   1   5.2e-19   4.1e-17   60.7   0.0    81   258     9   189     1   189 0.86 -
31358at50557_123851_0:00056b|STRG.5964.2:584-1150|+    -            189 30640at50557         -            649   3.9e-17   60.8   0.0   1   1   5.2e-19   4.1e-17   60.7   0.0    81   258     9   189     1   189 0.86 -
31358at50557_123851_0:00056b|STRG.5964.3:563-1129|+    -            189 30640at50557         -            649   3.9e-17   60.8   0.0   1   1   5.2e-19   4.1e-17   60.7   0.0    81   258     9   189     1   189 0.86 -
31358at50557_103372_0:0003fa|STRG.10486.3:336-4100|+   -           1255 30640at50557         -            649   4.9e-17   60.4   0.0   1   1   1.1e-18   8.5e-17   59.6   0.0   118   283   694   867   610   893 0.78 -
31358at50557_103372_0:0003fa|STRG.10486.6:458-4222|+   -           1255 30640at50557         -            649   4.9e-17   60.4   0.0   1   1   1.1e-18   8.5e-17   59.6   0.0   118   283   694   867   610   893 0.78 -
31358at50557_103372_0:0003fa|STRG.10486.1:935-4831|+   -           1299 30640at50557         -            649     5e-17   60.4   0.0   1   1   1.1e-18     9e-17   59.6   0.0   118   283   738   911   654   937 0.78 -
31358at50557_103372_0:0003fa|STRG.10486.2:710-4606|+   -           1299 30640at50557         -            649     5e-17   60.4   0.0   1   1   1.1e-18     9e-17   59.6   0.0   118   283   738   911   654   937 0.78 -
31358at50557_103372_0:0003fa|STRG.10486.4:595-4491|+   -           1299 30640at50557         -            649     5e-17   60.4   0.0   1   1   1.1e-18     9e-17   59.6   0.0   118   283   738   911   654   937 0.78 -
31358at50557_103372_0:0003fa|STRG.10486.5:542-4438|+   -           1299 30640at50557         -            649     5e-17   60.4   0.0   1   1   1.1e-18     9e-17   59.6   0.0   118   283   738   911   654   937 0.78 -
68581at50557_680683_0:0014ea|STRG.9544.2:3537-4352|+   -            272 30640at50557         -            649   5.7e-13   47.0   0.0   1   3     0.043       3.4    4.8   0.0   411   455    10    53     3    74 0.81 -
68581at50557_680683_0:0014ea|STRG.9544.2:3537-4352|+   -            272 30640at50557         -            649   5.7e-13   47.0   0.0   2   3    0.0016      0.13    9.5   0.0   412   460   142   195   117   213 0.81 -
68581at50557_680683_0:0014ea|STRG.9544.2:3537-4352|+   -            272 30640at50557         -            649   5.7e-13   47.0   0.0   3   3   1.4e-09   1.1e-07   29.5   0.0   408   453   221   266   208   271 0.88 -
98332at50557_132113_0:00196c|STRG.923.1:424-1227|+     -            257 30640at50557         -            649   9.4e-13   46.3   0.0   1   2   1.5e-05    0.0012   16.2   0.0   407   455     7    56     2    72 0.89 -
98332at50557_132113_0:00196c|STRG.923.1:424-1227|+     -            257 30640at50557         -            649   9.4e-13   46.3   0.0   2   2   3.5e-09   2.7e-07   28.2   0.0   407   453   161   207   132   227 0.91 -
98332at50557_132113_0:00196c|STRG.923.2:899-1702|+     -            257 30640at50557         -            649   9.4e-13   46.3   0.0   1   2   1.5e-05    0.0012   16.2   0.0   407   455     7    56     2    72 0.89 -
98332at50557_132113_0:00196c|STRG.923.2:899-1702|+     -            257 30640at50557         -            649   9.4e-13   46.3   0.0   2   2   3.5e-09   2.7e-07   28.2   0.0   407   453   161   207   132   227 0.91 -
31358at50557_123851_0:00056b|STRG.429.1:1607-2158|+    -            184 30640at50557         -            649   1.2e-12   45.9   0.0   1   1   1.7e-14   1.4e-12   45.8   0.0    82   258     2   184     1   184 0.88 -
68581at50557_168631_0:0016a9|STRG.9544.1:3705-4160|+   -            152 30640at50557         -            649   1.4e-11   42.5   0.0   1   2   0.00073     0.058   10.6   0.0   414   460    30    81    22    97 0.81 -
68581at50557_168631_0:0016a9|STRG.9544.1:3705-4160|+   -            152 30640at50557         -            649   1.4e-11   42.5   0.0   2   2   9.1e-10   7.2e-08   30.1   0.0   408   452   107   151    95   152 0.89 -
68581at50557_168631_0:0016a9|STRG.9544.3:3050-3505|+   -            152 30640at50557         -            649   1.4e-11   42.5   0.0   1   2   0.00073     0.058   10.6   0.0   414   460    30    81    22    97 0.81 -
68581at50557_168631_0:0016a9|STRG.9544.3:3050-3505|+   -            152 30640at50557         -            649   1.4e-11   42.5   0.0   2   2   9.1e-10   7.2e-08   30.1   0.0   408   452   107   151    95   152 0.89 -
68581at50557_168631_0:0016a9|STRG.9544.4:3026-3481|+   -            152 30640at50557         -            649   1.4e-11   42.5   0.0   1   2   0.00073     0.058   10.6   0.0   414   460    30    81    22    97 0.81 -
68581at50557_168631_0:0016a9|STRG.9544.4:3026-3481|+   -            152 30640at50557         -            649   1.4e-11   42.5   0.0   2   2   9.1e-10   7.2e-08   30.1   0.0   408   452   107   151    95   152 0.89 -
68581at50557_13037_0:002f45|STRG.9544.1:2823-3527|+    -            235 30640at50557         -            649   2.3e-10   38.4   0.6   1   3   5.2e-06   0.00041   17.7   0.0   408   457     4    55     1    74 0.87 -
68581at50557_13037_0:002f45|STRG.9544.1:2823-3527|+    -            235 30640at50557         -            649   2.3e-10   38.4   0.6   2   3   6.5e-05    0.0051   14.1   0.1   414   457   128   171   119   190 0.78 -
68581at50557_13037_0:002f45|STRG.9544.1:2823-3527|+    -            235 30640at50557         -            649   2.3e-10   38.4   0.6   3   3     0.082       6.5    3.9   0.0   411   453   193   234   185   235 0.82 -
68581at50557_13037_0:002f45|STRG.9544.3:2168-2872|+    -            235 30640at50557         -            649   2.3e-10   38.4   0.6   1   3   5.2e-06   0.00041   17.7   0.0   408   457     4    55     1    74 0.87 -
68581at50557_13037_0:002f45|STRG.9544.3:2168-2872|+    -            235 30640at50557         -            649   2.3e-10   38.4   0.6   2   3   6.5e-05    0.0051   14.1   0.1   414   457   128   171   119   190 0.78 -
68581at50557_13037_0:002f45|STRG.9544.3:2168-2872|+    -            235 30640at50557         -            649   2.3e-10   38.4   0.6   3   3     0.082       6.5    3.9   0.0   411   453   193   234   185   235 0.82 -
68581at50557_13037_0:002f45|STRG.9544.4:2144-2848|+    -            235 30640at50557         -            649   2.3e-10   38.4   0.6   1   3   5.2e-06   0.00041   17.7   0.0   408   457     4    55     1    74 0.87 -
68581at50557_13037_0:002f45|STRG.9544.4:2144-2848|+    -            235 30640at50557         -            649   2.3e-10   38.4   0.6   2   3   6.5e-05    0.0051   14.1   0.1   414   457   128   171   119   190 0.78 -
68581at50557_13037_0:002f45|STRG.9544.4:2144-2848|+    -            235 30640at50557         -            649   2.3e-10   38.4   0.6   3   3     0.082       6.5    3.9   0.0   411   453   193   234   185   235 0.82 -
91571at50557_2015173_0:000792|STRG.10497.2:43-870|+    -            276 30640at50557         -            649   2.3e-10   38.4   0.0   1   2   4.4e-09   3.5e-07   27.9   0.0   399   461    97   160    81   166 0.84 -
91571at50557_2015173_0:000792|STRG.10497.2:43-870|+    -            276 30640at50557         -            649   2.3e-10   38.4   0.0   2   2    0.0034      0.27    8.4   0.0   413   458   223   268   211   273 0.88 -
50587at50557_1049336_0:00265f|STRG.723.1:1537-2277|+   -            247 30640at50557         -            649   2.6e-10   38.2   0.0   1   1   3.6e-12   2.9e-10   38.1   0.0    83   278    28   226    19   247 0.79 -
91571at50557_2015173_0:000792|STRG.10497.1:571-1431|+  -            287 30640at50557         -            649   2.6e-10   38.2   0.0   1   2   4.7e-09   3.7e-07   27.8   0.0   399   461   108   171    92   177 0.84 -
91571at50557_2015173_0:000792|STRG.10497.1:571-1431|+  -            287 30640at50557         -            649   2.6e-10   38.2   0.0   2   2    0.0036      0.29    8.3   0.0   413   458   234   279   222   284 0.88 -
98332at50557_1218281_0:000683|STRG.7179.1:346-510|+    -             55 30640at50557         -            649   1.5e-09   35.7   0.1   1   1   2.2e-11   1.7e-09   35.5   0.1   407   453     5    51     2    54 0.94 -
98332at50557_1218281_0:000683|STRG.953.1:1190-1333|+   -             48 30640at50557         -            649   1.2e-07   29.5   0.0   1   1   1.5e-09   1.2e-07   29.4   0.0   407   452     3    48     1    48 0.95 -
98332at50557_1218281_0:000683|STRG.953.2:1106-1249|+   -             48 30640at50557         -            649   1.2e-07   29.5   0.0   1   1   1.5e-09   1.2e-07   29.4   0.0   407   452     3    48     1    48 0.95 -
