#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
102968at50557_34720_0:0002ad|STRG.1268.1:147-5831|+   -           1895 102968at50557        -            278  6.8e-122  405.4   0.6   1   1  3.4e-124  1.2e-121  404.6   0.6     1   273     1   306     1   311 0.91 -
102968at50557_307658_0:0022b4|STRG.1268.2:0-611|+     -            204 102968at50557        -            278   1.3e-67  227.3   0.0   1   1   4.5e-70   1.6e-67  227.1   0.0   120   273    11   175     4   180 0.91 -
102968at50557_113334_0:00227f|STRG.4547.1:1455-1646|+ -             64 102968at50557        -            278     4e-07   28.9   0.2   1   1   1.2e-09   4.3e-07   28.8   0.2     6    67     1    64     1    64 0.95 -
102968at50557_113334_0:00227f|STRG.4547.2:5189-5380|+ -             64 102968at50557        -            278     4e-07   28.9   0.2   1   1   1.2e-09   4.3e-07   28.8   0.2     6    67     1    64     1    64 0.95 -
102968at50557_113334_0:00227f|STRG.4547.3:3692-3883|+ -             64 102968at50557        -            278     4e-07   28.9   0.2   1   1   1.2e-09   4.3e-07   28.8   0.2     6    67     1    64     1    64 0.95 -
10394at50557_52612_0:0049a4|STRG.10055.2:1974-2936|+  -            321 102968at50557        -            278   1.3e-06   27.2   0.0   1   2   7.3e-05     0.026   13.2   0.0   201   249    38    86    16   104 0.86 -
10394at50557_52612_0:0049a4|STRG.10055.2:1974-2936|+  -            321 102968at50557        -            278   1.3e-06   27.2   0.0   2   2   0.00019     0.068   11.8   0.0   195   250   235   290   227   297 0.92 -
110125at50557_7539_0:00092e|STRG.16484.1:2924-3187|+  -             88 102968at50557        -            278   3.9e-05   22.4   0.0   1   1   1.2e-07   4.3e-05   22.3   0.0   187   248     3    65     1    70 0.89 -
110125at50557_7539_0:00092e|STRG.16484.3:2924-3187|+  -             88 102968at50557        -            278   3.9e-05   22.4   0.0   1   1   1.2e-07   4.3e-05   22.3   0.0   187   248     3    65     1    70 0.89 -
110125at50557_7539_0:00092e|STRG.16484.5:2864-3127|+  -             88 102968at50557        -            278   3.9e-05   22.4   0.0   1   1   1.2e-07   4.3e-05   22.3   0.0   187   248     3    65     1    70 0.89 -
31141at50557_34720_0:0021d7|STRG.13539.3:457-2217|+   -            587 102968at50557        -            278   0.00032   19.4   0.3   1   2      0.79   2.8e+02   -0.1   0.0    12    60   162   212   160   221 0.77 -
31141at50557_34720_0:0021d7|STRG.13539.3:457-2217|+   -            587 102968at50557        -            278   0.00032   19.4   0.3   2   2   5.9e-06    0.0021   16.7   0.6    11    71   230   293   216   303 0.84 -
31141at50557_34720_0:0021d7|STRG.13539.1:457-2502|+   -            682 102968at50557        -            278   0.00044   19.0   0.3   1   2      0.92   3.3e+02   -0.3   0.0    12    60   162   212   160   223 0.77 -
31141at50557_34720_0:0021d7|STRG.13539.1:457-2502|+   -            682 102968at50557        -            278   0.00044   19.0   0.3   2   2   7.2e-06    0.0026   16.4   0.5    12    71   231   293   217   303 0.84 -
31141at50557_34720_0:0021d7|STRG.13539.4:1390-3435|+  -            682 102968at50557        -            278   0.00044   19.0   0.3   1   2      0.92   3.3e+02   -0.3   0.0    12    60   162   212   160   223 0.77 -
31141at50557_34720_0:0021d7|STRG.13539.4:1390-3435|+  -            682 102968at50557        -            278   0.00044   19.0   0.3   2   2   7.2e-06    0.0026   16.4   0.5    12    71   231   293   217   303 0.84 -
31141at50557_34720_0:0021d7|STRG.13539.2:140-2518|+   -            793 102968at50557        -            278   0.00058   18.5   0.3   1   2       1.1   3.9e+02   -0.6   0.0    12    60   273   323   271   334 0.77 -
31141at50557_34720_0:0021d7|STRG.13539.2:140-2518|+   -            793 102968at50557        -            278   0.00058   18.5   0.3   2   2   8.7e-06    0.0031   16.2   0.5    12    71   342   404   328   414 0.84 -
102616at50557_456900_0:0023c2|STRG.5827.2:133-873|+   -            247 102968at50557        -            278    0.0016   17.1   0.0   1   1   6.8e-06    0.0024   16.5   0.0   173   246    42   114    41   137 0.83 -
102616at50557_456900_0:0023c2|STRG.5827.1:257-1315|+  -            353 102968at50557        -            278    0.0032   16.1   0.0   1   1   1.4e-05    0.0048   15.5   0.0   173   246   148   220   147   242 0.83 -
102616at50557_456900_0:0023c2|STRG.5827.3:158-1216|+  -            353 102968at50557        -            278    0.0032   16.1   0.0   1   1   1.4e-05    0.0048   15.5   0.0   173   246   148   220   147   242 0.83 -
102616at50557_197043_0:0010e9|STRG.8213.1:395-640|+   -             82 102968at50557        -            278    0.0055   15.3   0.0   1   1   1.6e-05    0.0055   15.3   0.0   186   250    12    78     2    82 0.84 -
102616at50557_197043_0:0010e9|STRG.8213.2:575-820|+   -             82 102968at50557        -            278    0.0055   15.3   0.0   1   1   1.6e-05    0.0055   15.3   0.0   186   250    12    78     2    82 0.84 -
10394at50557_7536_0:0020dc|STRG.5646.1:219-746|+      -            176 102968at50557        -            278    0.0093   14.6   0.0   1   2     0.013       4.6    5.8   0.0   186   233    39    86    22   105 0.80 -
10394at50557_7536_0:0020dc|STRG.5646.1:219-746|+      -            176 102968at50557        -            278    0.0093   14.6   0.0   2   2     0.005       1.8    7.1   0.0   185   226   136   176   124   176 0.89 -
10394at50557_7536_0:0020dc|STRG.5646.3:333-860|+      -            176 102968at50557        -            278    0.0093   14.6   0.0   1   2     0.013       4.6    5.8   0.0   186   233    39    86    22   105 0.80 -
10394at50557_7536_0:0020dc|STRG.5646.3:333-860|+      -            176 102968at50557        -            278    0.0093   14.6   0.0   2   2     0.005       1.8    7.1   0.0   185   226   136   176   124   176 0.89 -
10394at50557_7536_0:0020dc|STRG.5646.4:219-746|+      -            176 102968at50557        -            278    0.0093   14.6   0.0   1   2     0.013       4.6    5.8   0.0   186   233    39    86    22   105 0.80 -
10394at50557_7536_0:0020dc|STRG.5646.4:219-746|+      -            176 102968at50557        -            278    0.0093   14.6   0.0   2   2     0.005       1.8    7.1   0.0   185   226   136   176   124   176 0.89 -
10394at50557_7536_0:0020dc|STRG.5646.6:492-1019|+     -            176 102968at50557        -            278    0.0093   14.6   0.0   1   2     0.013       4.6    5.8   0.0   186   233    39    86    22   105 0.80 -
10394at50557_7536_0:0020dc|STRG.5646.6:492-1019|+     -            176 102968at50557        -            278    0.0093   14.6   0.0   2   2     0.005       1.8    7.1   0.0   185   226   136   176   124   176 0.89 -
10394at50557_7536_0:0020dc|STRG.5646.7:546-1073|+     -            176 102968at50557        -            278    0.0093   14.6   0.0   1   2     0.013       4.6    5.8   0.0   186   233    39    86    22   105 0.80 -
10394at50557_7536_0:0020dc|STRG.5646.7:546-1073|+     -            176 102968at50557        -            278    0.0093   14.6   0.0   2   2     0.005       1.8    7.1   0.0   185   226   136   176   124   176 0.89 -
10394at50557_7536_0:0020dc|STRG.6441.11:927-1439|+    -            171 102968at50557        -            278     0.022   13.4   0.0   1   2   0.00017     0.059   12.0   0.0   201   258    32    92    11   104 0.86 -
10394at50557_7536_0:0020dc|STRG.6441.11:927-1439|+    -            171 102968at50557        -            278     0.022   13.4   0.0   2   2       1.6   5.8e+02   -1.1   0.0   201   225   125   149   100   161 0.72 -
10394at50557_7536_0:0020dc|STRG.6441.3:1182-1694|+    -            171 102968at50557        -            278     0.022   13.4   0.0   1   2   0.00017     0.059   12.0   0.0   201   258    32    92    11   104 0.86 -
10394at50557_7536_0:0020dc|STRG.6441.3:1182-1694|+    -            171 102968at50557        -            278     0.022   13.4   0.0   2   2       1.6   5.8e+02   -1.1   0.0   201   225   125   149   100   161 0.72 -
10394at50557_7536_0:0020dc|STRG.6441.9:468-980|+      -            171 102968at50557        -            278     0.022   13.4   0.0   1   2   0.00017     0.059   12.0   0.0   201   258    32    92    11   104 0.86 -
10394at50557_7536_0:0020dc|STRG.6441.9:468-980|+      -            171 102968at50557        -            278     0.022   13.4   0.0   2   2       1.6   5.8e+02   -1.1   0.0   201   225   125   149   100   161 0.72 -
10394at50557_7536_0:0020dc|STRG.12943.2:2431-3018|+   -            196 102968at50557        -            278      0.12   10.9   0.0   1   2    0.0075       2.6    6.5   0.0   180   249     7    79     4    85 0.78 -
10394at50557_7536_0:0020dc|STRG.12943.2:2431-3018|+   -            196 102968at50557        -            278      0.12   10.9   0.0   2   2      0.12        43    2.6   0.0   206   229   158   181   129   196 0.71 -
10394at50557_7536_0:0020dc|STRG.12943.3:3847-4434|+   -            196 102968at50557        -            278      0.12   10.9   0.0   1   2    0.0075       2.6    6.5   0.0   180   249     7    79     4    85 0.78 -
10394at50557_7536_0:0020dc|STRG.12943.3:3847-4434|+   -            196 102968at50557        -            278      0.12   10.9   0.0   2   2      0.12        43    2.6   0.0   206   229   158   181   129   196 0.71 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/102968at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/102968at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/102968at50557.hmm annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 10:05:08 2024
# [ok]
