#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
129956at50557_34720_0:00189a|STRG.12488.1:0-416|+      -            139 129956at50557        -            110     3e-63  209.4   0.1   1   1   6.8e-65   3.5e-63  209.2   0.1     1   108     1   112     1   117 0.94 -
117816at50557_69004_0:00324f|STRG.17660.4:659-1702|+   -            348 129956at50557        -            110   2.3e-28   97.1   0.3   1   4   6.3e-07   3.3e-05   22.6   0.0    32   104     2    74     1    80 0.95 -
117816at50557_69004_0:00324f|STRG.17660.4:659-1702|+   -            348 129956at50557        -            110   2.3e-28   97.1   0.3   2   4   8.5e-08   4.4e-06   25.4   0.1    32   107    90   164    83   167 0.91 -
117816at50557_69004_0:00324f|STRG.17660.4:659-1702|+   -            348 129956at50557        -            110   2.3e-28   97.1   0.3   3   4   1.4e-09   7.3e-08   31.1   0.0    30    98   181   248   164   261 0.87 -
117816at50557_69004_0:00324f|STRG.17660.4:659-1702|+   -            348 129956at50557        -            110   2.3e-28   97.1   0.3   4   4   0.00044     0.023   13.4   0.0    45    93   300   346   265   348 0.77 -
117816at50557_69004_0:00324f|STRG.17660.5:620-1663|+   -            348 129956at50557        -            110   2.6e-28   97.0   0.2   1   4   7.4e-07   3.8e-05   22.4   0.0    32   104     2    74     1    80 0.95 -
117816at50557_69004_0:00324f|STRG.17660.5:620-1663|+   -            348 129956at50557        -            110   2.6e-28   97.0   0.2   2   4   8.5e-08   4.4e-06   25.4   0.1    32   107    90   164    83   167 0.91 -
117816at50557_69004_0:00324f|STRG.17660.5:620-1663|+   -            348 129956at50557        -            110   2.6e-28   97.0   0.2   3   4   1.4e-09   7.3e-08   31.1   0.0    30    98   181   248   164   261 0.87 -
117816at50557_69004_0:00324f|STRG.17660.5:620-1663|+   -            348 129956at50557        -            110   2.6e-28   97.0   0.2   4   4   0.00044     0.023   13.4   0.0    45    93   300   346   265   348 0.77 -
117816at50557_69004_0:00324f|STRG.17660.1:659-1702|+   -            348 129956at50557        -            110   2.7e-27   93.7   0.4   1   4   9.5e-07   4.9e-05   22.0   0.0    32   103     2    73     1    80 0.95 -
117816at50557_69004_0:00324f|STRG.17660.1:659-1702|+   -            348 129956at50557        -            110   2.7e-27   93.7   0.4   2   4     3e-07   1.5e-05   23.7   0.1    32   107    90   164    83   167 0.91 -
117816at50557_69004_0:00324f|STRG.17660.1:659-1702|+   -            348 129956at50557        -            110   2.7e-27   93.7   0.4   3   4   3.7e-09   1.9e-07   29.8   0.0    30    98   181   248   164   261 0.86 -
117816at50557_69004_0:00324f|STRG.17660.1:659-1702|+   -            348 129956at50557        -            110   2.7e-27   93.7   0.4   4   4   0.00034     0.017   13.8   0.0    44    93   299   346   265   348 0.77 -
117816at50557_69004_0:00324f|STRG.17660.2:659-1702|+   -            348 129956at50557        -            110   2.7e-27   93.7   0.4   1   4   9.5e-07   4.9e-05   22.0   0.0    32   103     2    73     1    80 0.95 -
117816at50557_69004_0:00324f|STRG.17660.2:659-1702|+   -            348 129956at50557        -            110   2.7e-27   93.7   0.4   2   4     3e-07   1.5e-05   23.7   0.1    32   107    90   164    83   167 0.91 -
117816at50557_69004_0:00324f|STRG.17660.2:659-1702|+   -            348 129956at50557        -            110   2.7e-27   93.7   0.4   3   4   3.7e-09   1.9e-07   29.8   0.0    30    98   181   248   164   261 0.86 -
117816at50557_69004_0:00324f|STRG.17660.2:659-1702|+   -            348 129956at50557        -            110   2.7e-27   93.7   0.4   4   4   0.00034     0.017   13.8   0.0    44    93   299   346   265   348 0.77 -
117816at50557_69004_0:00324f|STRG.17660.3:659-1702|+   -            348 129956at50557        -            110   2.7e-27   93.7   0.4   1   4   9.5e-07   4.9e-05   22.0   0.0    32   103     2    73     1    80 0.95 -
117816at50557_69004_0:00324f|STRG.17660.3:659-1702|+   -            348 129956at50557        -            110   2.7e-27   93.7   0.4   2   4     3e-07   1.5e-05   23.7   0.1    32   107    90   164    83   167 0.91 -
117816at50557_69004_0:00324f|STRG.17660.3:659-1702|+   -            348 129956at50557        -            110   2.7e-27   93.7   0.4   3   4   3.7e-09   1.9e-07   29.8   0.0    30    98   181   248   164   261 0.86 -
117816at50557_69004_0:00324f|STRG.17660.3:659-1702|+   -            348 129956at50557        -            110   2.7e-27   93.7   0.4   4   4   0.00034     0.017   13.8   0.0    44    93   299   346   265   348 0.77 -
117816at50557_7200_0:0014c2|STRG.24179.2:1392-2324|+   -            311 129956at50557        -            110   1.8e-24   84.6   0.0   1   3   5.6e-11   2.9e-09   35.7   0.0    42   107     2    67     1    70 0.94 -
117816at50557_7200_0:0014c2|STRG.24179.2:1392-2324|+   -            311 129956at50557        -            110   1.8e-24   84.6   0.0   2   3   0.00091     0.047   12.4   0.0    30    93    76   152    71   159 0.72 -
117816at50557_7200_0:0014c2|STRG.24179.2:1392-2324|+   -            311 129956at50557        -            110   1.8e-24   84.6   0.0   3   3   1.8e-09   9.4e-08   30.8   0.0    31   104   228   302   221   308 0.91 -
83433at50557_133901_0:001dd1|STRG.14793.1:149-670|+    -            174 129956at50557        -            110   3.1e-21   74.2   0.0   1   2   4.3e-10   2.2e-08   32.8   0.0    32    90     2    60     1    71 0.93 -
83433at50557_133901_0:001dd1|STRG.14793.1:149-670|+    -            174 129956at50557        -            110   3.1e-21   74.2   0.0   2   2   3.5e-12   1.8e-10   39.5   0.0    32    96    92   160    86   168 0.86 -
83433at50557_133901_0:001dd1|STRG.14793.2:149-670|+    -            174 129956at50557        -            110   3.1e-21   74.2   0.0   1   2   4.3e-10   2.2e-08   32.8   0.0    32    90     2    60     1    71 0.93 -
83433at50557_133901_0:001dd1|STRG.14793.2:149-670|+    -            174 129956at50557        -            110   3.1e-21   74.2   0.0   2   2   3.5e-12   1.8e-10   39.5   0.0    32    96    92   160    86   168 0.86 -
117816at50557_121225_0:000cee|STRG.3372.1:27-530|+     -            168 129956at50557        -            110   3.1e-20   71.0   0.0   1   2   4.9e-12   2.5e-10   39.1   0.0    29   106     3    80     1    85 0.95 -
117816at50557_121225_0:000cee|STRG.3372.1:27-530|+     -            168 129956at50557        -            110   3.1e-20   71.0   0.0   2   2     1e-09   5.3e-08   31.6   0.0    19   104    79   166    78   168 0.90 -
