#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
117699at50557_104421_0:002a75|STRG.1444.1:636-1235|+   -            200 117699at50557        -            170   5.1e-91  302.2   0.1   1   1   4.9e-93   1.1e-90  301.1   0.1     1   169     1   197     1   198 0.94 -
117699at50557_219809_0:0002bf|STRG.1444.2:10-579|+     -            190 117699at50557        -            170   2.8e-86  286.7   0.0   1   1   1.7e-88   3.8e-86  286.3   0.0    10   169     9   187     3   188 0.94 -
120473at50557_1041015_0:0012df|STRG.9589.1:562-969|+   -            136 117699at50557        -            170   2.5e-35  120.9   0.0   1   1   1.2e-37   2.7e-35  120.8   0.0    31   132    31   131     3   136 0.89 -
120473at50557_1041015_0:0012df|STRG.9589.2:119-526|+   -            136 117699at50557        -            170   2.5e-35  120.9   0.0   1   1   1.2e-37   2.7e-35  120.8   0.0    31   132    31   131     3   136 0.89 -
120473at50557_1041015_0:0012df|STRG.9589.3:108-515|+   -            136 117699at50557        -            170   2.5e-35  120.9   0.0   1   1   1.2e-37   2.7e-35  120.8   0.0    31   132    31   131     3   136 0.89 -
120473at50557_1041015_0:0012df|STRG.3480.1:386-784|+   -            133 117699at50557        -            170   3.1e-33  114.1   0.0   1   1   1.5e-35   3.5e-33  114.0   0.0    23   127    25   128     2   132 0.95 -
116934at50557_286706_0:0006a3|STRG.422.1:960-1346|+    -            129 117699at50557        -            170   1.6e-29  102.0   0.0   1   1   8.2e-32   1.8e-29  101.8   0.0    25   125    25   124     2   128 0.96 -
116934at50557_286706_0:0006a3|STRG.422.2:1158-1544|+   -            129 117699at50557        -            170   1.6e-29  102.0   0.0   1   1   8.2e-32   1.8e-29  101.8   0.0    25   125    25   124     2   128 0.96 -
116934at50557_286706_0:0006a3|STRG.422.3:1719-2105|+   -            129 117699at50557        -            170   1.6e-29  102.0   0.0   1   1   8.2e-32   1.8e-29  101.8   0.0    25   125    25   124     2   128 0.96 -
120473at50557_1041015_0:0012df|STRG.15298.2:778-1230|+ -            151 117699at50557        -            170   4.8e-27   94.0   0.0   1   1   2.4e-29   5.3e-27   93.8   0.0    25   128    31   133     5   146 0.91 -
120473at50557_37344_0:000b45|STRG.15298.1:793-1275|+   -            161 117699at50557        -            170   4.2e-26   90.9   0.0   1   1   2.1e-28   4.8e-26   90.7   0.0    25   127    31   132     5   147 0.90 -
116934at50557_103372_0:000d14|STRG.7216.1:153-713|+    -            187 117699at50557        -            170   1.1e-24   86.3   0.0   1   1     6e-27   1.3e-24   86.0   0.0    25   125    58   157    29   175 0.83 -
117699at50557_7394_0:002ded|STRG.13219.1:843-1235|+    -            131 117699at50557        -            170   7.5e-22   77.1   0.0   1   1   3.8e-24   8.5e-22   76.9   0.0    29   125    15   112     6   128 0.90 -
117699at50557_7394_0:002ded|STRG.13219.2:1464-1856|+   -            131 117699at50557        -            170   7.5e-22   77.1   0.0   1   1   3.8e-24   8.5e-22   76.9   0.0    29   125    15   112     6   128 0.90 -
117699at50557_7394_0:002ded|STRG.13219.3:884-1276|+    -            131 117699at50557        -            170   7.5e-22   77.1   0.0   1   1   3.8e-24   8.5e-22   76.9   0.0    29   125    15   112     6   128 0.90 -
117699at50557_7394_0:002ded|STRG.13219.4:842-1234|+    -            131 117699at50557        -            170   7.5e-22   77.1   0.0   1   1   3.8e-24   8.5e-22   76.9   0.0    29   125    15   112     6   128 0.90 -
117699at50557_7394_0:002ded|STRG.13219.5:863-1255|+    -            131 117699at50557        -            170   7.5e-22   77.1   0.0   1   1   3.8e-24   8.5e-22   76.9   0.0    29   125    15   112     6   128 0.90 -
116934at50557_286706_0:0006a3|STRG.14972.1:1104-1598|+ -            165 117699at50557        -            170   1.6e-21   76.0   0.0   1   1     8e-24   1.8e-21   75.8   0.0    24   110    52   137    29   153 0.91 -
116934at50557_286706_0:0006a3|STRG.14972.2:978-1472|+  -            165 117699at50557        -            170   1.6e-21   76.0   0.0   1   1     8e-24   1.8e-21   75.8   0.0    24   110    52   137    29   153 0.91 -
120473at50557_1041015_0:0012df|STRG.548.1:615-1097|+   -            161 117699at50557        -            170   1.6e-20   72.7   0.0   1   1   3.1e-22     7e-20   70.6   0.0    19   125    24   143    11   158 0.83 -
117699at50557_28612_0:004e72|STRG.6609.1:126-506|+     -            127 117699at50557        -            170   5.6e-20   71.0   0.0   1   1   2.8e-22   6.3e-20   70.8   0.0    23   124    26   126    10   127 0.87 -
120473at50557_1041015_0:0012df|STRG.393.1:196-684|+    -            163 117699at50557        -            170   3.2e-19   68.5   0.1   1   1   6.4e-21   1.5e-18   66.4   0.1    32   126    40   146    26   159 0.80 -
116934at50557_108931_0:001c95|STRG.11001.1:280-690|+   -            137 117699at50557        -            170   7.6e-19   67.3   0.0   1   1   4.1e-21   9.2e-19   67.0   0.0    35   122    36   122    28   136 0.91 -
