#                                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
92898at50557_103372_0:00055a|STRG.10599.1:361-1164|+    -            268 92898at50557         -            222  2.5e-109  362.6   3.4   1   1    5e-111  1.8e-108  359.9   3.4     1   222     3   249     3   249 0.95 -
60961at50557_34720_0:0017d0|STRG.11926.1:83-1414|+      -            444 92898at50557         -            222   4.9e-09   34.7   0.0   1   2    0.0001     0.035   12.2   0.0    80   173    13   109     5   117 0.74 -
60961at50557_34720_0:0017d0|STRG.11926.1:83-1414|+      -            444 92898at50557         -            222   4.9e-09   34.7   0.0   2   2   3.6e-07   0.00013   20.2   0.0   116   177   181   241   172   252 0.88 -
60961at50557_7130_0:0029dd|STRG.8003.1:1555-2187|+      -            211 92898at50557         -            222   9.1e-08   30.5   0.4   1   2   3.7e-08   1.3e-05   23.4   0.1   118   176     3    61     1    88 0.93 -
60961at50557_7130_0:0029dd|STRG.8003.1:1555-2187|+      -            211 92898at50557         -            222   9.1e-08   30.5   0.4   2   2     0.011         4    5.5   0.0   117   147   111   141    93   160 0.80 -
65618at50557_34720_0:0013ce|STRG.9664.1:419-1889|+      -            442 92898at50557         -            222   1.5e-07   29.8   0.0   1   1   8.8e-10   3.1e-07   28.8   0.0    85   183    15   110     5   137 0.77 -
65618at50557_34720_0:0013ce|STRG.9664.2:419-2077|+      -            442 92898at50557         -            222   1.5e-07   29.8   0.0   1   1   8.8e-10   3.1e-07   28.8   0.0    85   183    15   110     5   137 0.77 -
60961at50557_41427_0:00202e|STRG.1517.1:654-1757|+      -            368 92898at50557         -            222     2e-07   29.4   0.0   1   3    0.0086         3    5.9   0.0   119   160    31    74    14    94 0.79 -
60961at50557_41427_0:00202e|STRG.1517.1:654-1757|+      -            368 92898at50557         -            222     2e-07   29.4   0.0   2   3    0.0001     0.036   12.2   0.0   119   195   155   226   130   239 0.80 -
60961at50557_41427_0:00202e|STRG.1517.1:654-1757|+      -            368 92898at50557         -            222     2e-07   29.4   0.0   3   3    0.0028      0.99    7.5   0.0   123   194   284   352   268   364 0.81 -
60961at50557_41427_0:00202e|STRG.1517.2:39-1142|+       -            368 92898at50557         -            222     2e-07   29.4   0.0   1   3    0.0086         3    5.9   0.0   119   160    31    74    14    94 0.79 -
