#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
119324at50557_609295_0:001eaf|STRG.11700.1:275-784|+   -            170 119324at50557        -            141   6.6e-84  278.1   5.3   1   1   5.3e-86   8.3e-84  277.8   5.3     1   141     1   154     1   154 0.97 -
112578at50557_34720_0:000f89|STRG.6462.2:97-678|+      -            194 119324at50557        -            141     1e-26   92.7   0.4   1   1   1.4e-28   2.1e-26   91.7   0.4    11   141    30   176     6   176 0.87 -
112578at50557_34720_0:000f89|STRG.6462.1:8-706|+       -            233 119324at50557        -            141   1.9e-26   91.8   0.4   1   1   2.4e-28   3.8e-26   90.9   0.3    11   141    69   215    59   215 0.86 -
119324at50557_93721_0:00259c|STRG.6615.1:366-809|+     -            148 119324at50557        -            141   2.1e-19   69.0   3.4   1   2    0.0017      0.27   10.3   0.0    74   107     3    36     1    42 0.88 -
119324at50557_93721_0:00259c|STRG.6615.1:366-809|+     -            148 119324at50557        -            141   2.1e-19   69.0   3.4   2   2     2e-18   3.2e-16   58.7   1.8    51   141    53   145    37   145 0.92 -
119324at50557_93721_0:00259c|STRG.6615.2:111-527|+     -            139 119324at50557        -            141     2e-18   65.9   3.7   1   2     0.014       2.2    7.3   0.0    81   107     1    27     1    36 0.83 -
119324at50557_93721_0:00259c|STRG.6615.2:111-527|+     -            139 119324at50557        -            141     2e-18   65.9   3.7   2   2   1.8e-18   2.8e-16   58.9   1.8    51   141    44   136    30   136 0.92 -
119324at50557_1049336_0:003cac|STRG.6328.1:385-789|+   -            135 119324at50557        -            141     2e-18   65.8   1.3   1   2     0.038         6    6.0   0.0    85   109     5    29     1    35 0.83 -
119324at50557_1049336_0:003cac|STRG.6328.1:385-789|+   -            135 119324at50557        -            141     2e-18   65.8   1.3   2   2   1.2e-18   1.9e-16   59.4   0.5    43   140    33   135    27   135 0.90 -
119324at50557_319348_0:001162|STRG.13661.1:63-512|+    -            150 119324at50557        -            141     2e-16   59.4   0.4   1   1   1.7e-18   2.7e-16   58.9   0.4    27   140    24   145     9   146 0.91 -
119324at50557_28612_0:006210|STRG.3080.1:272-754|+     -            161 119324at50557        -            141   5.2e-16   58.0   0.9   1   1   1.6e-16   2.5e-14   52.6   0.9    29   141    30   160    11   160 0.75 -
119324at50557_28612_0:006210|STRG.12115.1:469-921|+    -            151 119324at50557        -            141   5.2e-13   48.3   6.0   1   2   1.8e-06   0.00029   20.0   0.2    85   141     4    62     1    62 0.80 -
