#                                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
54603at50557_103372_0:00290d|STRG.15855.1:0-1844|+      -            615 54603at50557         -            483    5e-232  769.4  24.3   1   1  8.9e-234  6.4e-232  769.0  24.3     1   481    96   613    96   615 0.95 -
25718at50557_7160_0:003d21|STRG.19900.2:492-3428|+      -            979 54603at50557         -            483   8.4e-55  184.9  56.1   1   9   2.7e-06    0.0002   18.8   0.2   356   429     1    78     1    83 0.80 -
25718at50557_7160_0:003d21|STRG.19900.2:492-3428|+      -            979 54603at50557         -            483   8.4e-55  184.9  56.1   2   9   0.00013    0.0096   13.2   0.4   139   201    71   138    69   157 0.76 -
25718at50557_7160_0:003d21|STRG.19900.2:492-3428|+      -            979 54603at50557         -            483   8.4e-55  184.9  56.1   3   9     4e-11   2.9e-09   34.7   0.2   269   393   145   279   139   290 0.62 -
25718at50557_7160_0:003d21|STRG.19900.2:492-3428|+      -            979 54603at50557         -            483   8.4e-55  184.9  56.1   4   9   1.5e-05    0.0011   16.4   0.1   269   326   264   322   261   327 0.83 -
25718at50557_7160_0:003d21|STRG.19900.2:492-3428|+      -            979 54603at50557         -            483   8.4e-55  184.9  56.1   5   9   0.00019     0.013   12.7   2.1    41   139   317   428   316   431 0.76 -
25718at50557_7160_0:003d21|STRG.19900.2:492-3428|+      -            979 54603at50557         -            483   8.4e-55  184.9  56.1   6   9   2.1e-07   1.5e-05   22.5   2.8   331   420   412   506   364   512 0.65 -
25718at50557_7160_0:003d21|STRG.19900.2:492-3428|+      -            979 54603at50557         -            483   8.4e-55  184.9  56.1   7   9   0.00015     0.011   13.0   0.4   271   307   513   549   508   553 0.93 -
25718at50557_7160_0:003d21|STRG.19900.2:492-3428|+      -            979 54603at50557         -            483   8.4e-55  184.9  56.1   8   9   1.4e-15   9.9e-14   49.5   7.3    46   218   571   764   565   790 0.63 -
25718at50557_7160_0:003d21|STRG.19900.2:492-3428|+      -            979 54603at50557         -            483   8.4e-55  184.9  56.1   9   9   1.6e-13   1.1e-11   42.7   5.4    55   180   799   939   779   957 0.82 -
25718at50557_7493_0:0009f9|STRG.19896.1:447-3734|+      -           1096 54603at50557         -            483     2e-52  177.1  51.3   1   6     7e-06    0.0005   17.5   0.3   335   427     6   104     2   107 0.81 -
25718at50557_7493_0:0009f9|STRG.19896.1:447-3734|+      -           1096 54603at50557         -            483     2e-52  177.1  51.3   2   6     3e-18   2.2e-16   58.2   6.6    59   323    79   347    77   350 0.81 -
25718at50557_7493_0:0009f9|STRG.19896.1:447-3734|+      -           1096 54603at50557         -            483     2e-52  177.1  51.3   3   6   1.4e-07   9.8e-06   23.1   4.6   294   420   398   536   393   539 0.76 -
25718at50557_7493_0:0009f9|STRG.19896.1:447-3734|+      -           1096 54603at50557         -            483     2e-52  177.1  51.3   4   6   0.00078     0.057   10.7   0.1   271   311   543   583   537   588 0.94 -
25718at50557_7493_0:0009f9|STRG.19896.1:447-3734|+      -           1096 54603at50557         -            483     2e-52  177.1  51.3   5   6   2.1e-13   1.5e-11   42.3   3.5    55   200   610   772   584   772 0.61 -
25718at50557_7493_0:0009f9|STRG.19896.1:447-3734|+      -           1096 54603at50557         -            483     2e-52  177.1  51.3   6   6     4e-13   2.9e-11   41.3   3.5    43   180   814   969   798   987 0.83 -
54603at50557_7070_0:002ddb|STRG.322.1:926-2107|+        -            394 54603at50557         -            483   1.4e-51  174.3  16.6   1   4   7.3e-14   5.2e-12   43.8   0.2   108   206    11   121     3   125 0.81 -
54603at50557_7070_0:002ddb|STRG.322.1:926-2107|+        -            394 54603at50557         -            483   1.4e-51  174.3  16.6   2   4   2.1e-15   1.5e-13   48.9   0.2    55   139   120   204   117   206 0.95 -
54603at50557_7070_0:002ddb|STRG.322.1:926-2107|+        -            394 54603at50557         -            483   1.4e-51  174.3  16.6   3   4   4.6e-14   3.3e-12   44.4   0.4   334   434   191   293   191   299 0.94 -
54603at50557_7070_0:002ddb|STRG.322.1:926-2107|+        -            394 54603at50557         -            483   1.4e-51  174.3  16.6   4   4   1.2e-18   8.6e-17   59.6   3.8   335   438   284   389   284   392 0.94 -
54603at50557_7070_0:002ddb|STRG.322.3:39-1220|+         -            394 54603at50557         -            483   1.4e-51  174.3  16.6   1   4   7.3e-14   5.2e-12   43.8   0.2   108   206    11   121     3   125 0.81 -
54603at50557_7070_0:002ddb|STRG.322.3:39-1220|+         -            394 54603at50557         -            483   1.4e-51  174.3  16.6   2   4   2.1e-15   1.5e-13   48.9   0.2    55   139   120   204   117   206 0.95 -
54603at50557_7070_0:002ddb|STRG.322.3:39-1220|+         -            394 54603at50557         -            483   1.4e-51  174.3  16.6   3   4   4.6e-14   3.3e-12   44.4   0.4   334   434   191   293   191   299 0.94 -
