#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
72085at50557_520822_0:002380|STRG.18971.1:93-1544|+   -            484 72085at50557         -            399  1.6e-161  536.3   0.1   1   1  4.6e-163  3.2e-161  535.4   0.1     1   384    35   483    35   484 0.90 -
72085at50557_64793_0:002c2e|STRG.18971.2:72-806|+     -            245 72085at50557         -            399   2.1e-84  282.4   0.0   1   1   6.1e-86   4.2e-84  281.4   0.0   204   399    13   238     2   238 0.91 -
72085at50557_64793_0:002c2e|STRG.18971.4:64-798|+     -            245 72085at50557         -            399   2.1e-84  282.4   0.0   1   1   6.1e-86   4.2e-84  281.4   0.0   204   399    13   238     2   238 0.91 -
72085at50557_64793_0:002c2e|STRG.18971.3:64-909|+     -            245 72085at50557         -            399   4.5e-83  278.0   0.0   1   1   1.3e-84   9.1e-83  277.0   0.0   204   399    13   238     2   238 0.91 -
108140at50557_7070_0:0020e2|STRG.6013.1:302-1741|+    -            480 72085at50557         -            399   5.3e-65  218.5   0.0   1   1   1.1e-65   7.2e-64  214.8   0.0     1   387     1   455     1   460 0.80 -
108140at50557_7070_0:0020e2|STRG.4145.3:357-1802|+    -            482 72085at50557         -            399   3.2e-62  209.3   4.3   1   1   2.8e-61   1.9e-59  200.2   4.3     2   387     1   457     1   477 0.79 -
108140at50557_7070_0:0020e2|STRG.6013.2:444-1780|+    -            388 72085at50557         -            399   6.3e-59  198.5   0.1   1   2     5e-19   3.4e-17   61.1   0.0     1   132     1   148     1   161 0.83 -
108140at50557_7070_0:0020e2|STRG.6013.2:444-1780|+    -            388 72085at50557         -            399   6.3e-59  198.5   0.1   2   2   1.1e-41   7.7e-40  135.6   0.0   209   387   171   363   151   369 0.88 -
108140at50557_7070_0:0020e2|STRG.4145.1:357-1847|+    -            497 72085at50557         -            399   1.1e-58  197.7   5.1   1   2    0.0014     0.093   10.2   0.0     2    33     1    32     1    43 0.87 -
108140at50557_7070_0:0020e2|STRG.4145.1:357-1847|+    -            497 72085at50557         -            399   1.1e-58  197.7   5.1   2   2   9.1e-55   6.2e-53  178.8   3.1    36   387    56   472    47   492 0.79 -
108140at50557_7070_0:0020e2|STRG.4145.2:357-1812|+    -            473 72085at50557         -            399   4.9e-57  192.3   4.8   1   2   4.8e-24   3.3e-22   77.6   0.7     2   210     1   242     1   260 0.81 -
108140at50557_7070_0:0020e2|STRG.4145.2:357-1812|+    -            473 72085at50557         -            399   4.9e-57  192.3   4.8   2   2     4e-35   2.7e-33  114.1   0.3   217   387   271   448   254   468 0.85 -
94143at50557_54969_0:002985|STRG.6013.2:1028-1777|+   -            250 72085at50557         -            399   1.7e-40  137.8   0.0   1   1   3.1e-42   2.1e-40  137.5   0.0   209   387    34   226    14   232 0.88 -
72085at50557_197043_0:003e79|STRG.1234.1:2-523|+      -            174 72085at50557         -            399   1.7e-36  124.6   0.1   1   1   4.2e-38   2.9e-36  123.9   0.1   255   387     8   156     1   166 0.85 -
108140at50557_7070_0:0020e2|STRG.8041.1:78-1553|+     -            492 72085at50557         -            399   1.1e-32  112.0   0.0   1   2   1.4e-07   9.3e-06   23.4   0.0     7   110    39   147    34   178 0.81 -
