#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
53261at50557_520822_0:0000dd|STRG.8943.1:0-1961|+     -            654 53261at50557         -            444  9.8e-224  741.9   7.0   1   1    8e-222  4.4e-219  726.5   7.0     7   439    16   531    11   536 0.88 -
60951at50557_29031_0:002586|STRG.13118.1:150-1436|+   -            429 53261at50557         -            444   1.3e-58  197.7   2.2   1   2     3e-50   1.7e-47  161.1   0.0     9   184    37   224    31   227 0.90 -
60951at50557_29031_0:002586|STRG.13118.1:150-1436|+   -            429 53261at50557         -            444   1.3e-58  197.7   2.2   2   2   3.2e-12   1.7e-09   35.8   0.8   277   436   237   423   231   428 0.65 -
60951at50557_29031_0:002586|STRG.13118.2:214-1664|+   -            429 53261at50557         -            444   1.3e-58  197.7   2.2   1   2     3e-50   1.7e-47  161.1   0.0     9   184    37   224    31   227 0.90 -
60951at50557_29031_0:002586|STRG.13118.2:214-1664|+   -            429 53261at50557         -            444   1.3e-58  197.7   2.2   2   2   3.2e-12   1.7e-09   35.8   0.8   277   436   237   423   231   428 0.65 -
60951at50557_29031_0:002586|STRG.13118.3:9-1295|+     -            429 53261at50557         -            444   1.3e-58  197.7   2.2   1   2     3e-50   1.7e-47  161.1   0.0     9   184    37   224    31   227 0.90 -
60951at50557_29031_0:002586|STRG.13118.3:9-1295|+     -            429 53261at50557         -            444   1.3e-58  197.7   2.2   2   2   3.2e-12   1.7e-09   35.8   0.8   277   436   237   423   231   428 0.65 -
60951at50557_29031_0:002586|STRG.13118.4:157-1443|+   -            429 53261at50557         -            444   1.3e-58  197.7   2.2   1   2     3e-50   1.7e-47  161.1   0.0     9   184    37   224    31   227 0.90 -
60951at50557_29031_0:002586|STRG.13118.4:157-1443|+   -            429 53261at50557         -            444   1.3e-58  197.7   2.2   2   2   3.2e-12   1.7e-09   35.8   0.8   277   436   237   423   231   428 0.65 -
53261at50557_34740_0:000601|STRG.12215.1:1413-3026|+  -            538 53261at50557         -            444     4e-56  189.5   1.5   1   4   1.5e-42   8.2e-40  135.7   0.1    11   195    13   204     4   219 0.91 -
53261at50557_34740_0:000601|STRG.12215.1:1413-3026|+  -            538 53261at50557         -            444     4e-56  189.5   1.5   2   4       1.9     1e+03   -3.1   0.1   168   187   239   258   234   264 0.79 -
53261at50557_34740_0:000601|STRG.12215.1:1413-3026|+  -            538 53261at50557         -            444     4e-56  189.5   1.5   3   4   0.00064      0.35    8.4   0.0   275   302   295   322   292   329 0.91 -
53261at50557_34740_0:000601|STRG.12215.1:1413-3026|+  -            538 53261at50557         -            444     4e-56  189.5   1.5   4   4   3.1e-14   1.7e-11   42.4   0.0   277   333   396   453   379   465 0.87 -
53261at50557_104452_0:002bf8|STRG.13118.5:301-1012|+  -            142 53261at50557         -            444   1.2e-27   95.6   3.8   1   2   4.1e-21   2.2e-18   65.1   0.3     9    52     8    51     2    54 0.94 -
53261at50557_104452_0:002bf8|STRG.13118.5:301-1012|+  -            142 53261at50557         -            444   1.2e-27   95.6   3.8   2   2   3.1e-11   1.7e-08   32.5   0.2   137   204    52   120    51   141 0.75 -
90208at50557_83485_0:0007ad|STRG.20079.2:48-860|+     -            271 53261at50557         -            444   5.4e-22   77.0   0.0   1   1   1.3e-24   7.3e-22   76.6   0.0     6   154    53   199    49   213 0.93 -
90208at50557_83485_0:0007ad|STRG.20079.1:335-991|+    -            219 53261at50557         -            444   5.5e-22   77.0   0.0   1   1   1.1e-24   6.2e-22   76.8   0.0     8   154     3   147     1   162 0.93 -
90208at50557_103372_0:00186f|STRG.9689.1:0-1181|+     -            394 53261at50557         -            444     9e-16   56.5   0.4   1   1   2.9e-18   1.6e-15   55.7   0.4     6   156    63   224    58   232 0.89 -
39392at50557_103372_0:000839|STRG.3119.1:0-1613|+     -            538 53261at50557         -            444   2.2e-14   51.9   0.0   1   1   7.4e-17     4e-14   51.0   0.0    10   144    35   170    29   184 0.84 -
101448at50557_456900_0:0024dd|STRG.19741.1:0-998|+    -            333 53261at50557         -            444   3.4e-14   51.3   0.1   1   1   8.4e-17   4.6e-14   50.9   0.1     8   129    33   152    27   183 0.86 -
101448at50557_456900_0:0024dd|STRG.19741.2:106-1178|+ -            333 53261at50557         -            444   3.4e-14   51.3   0.1   1   1   8.4e-17   4.6e-14   50.9   0.1     8   129    33   152    27   183 0.86 -
101448at50557_568069_0:002eb6|STRG.12215.1:195-1328|+ -            378 53261at50557         -            444   7.2e-14   50.2   0.4   1   2   2.4e-16   1.3e-13   49.3   0.1     5   141    20   151    17   164 0.95 -
101448at50557_568069_0:002eb6|STRG.12215.1:195-1328|+ -            378 53261at50557         -            444   7.2e-14   50.2   0.4   2   2       1.4   7.8e+02   -2.6   0.1   309   336   338   364   334   367 0.79 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/53261at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/53261at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/53261at50557.hmm annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 17:35:39 2024
# [ok]
