#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
140938at50557_103372_0:002606|STRG.2959.1:0-413|+   -            138 147726at50557        -             80   2.4e-11   42.2   0.2   1   1   6.2e-14   3.1e-11   41.9   0.2     6    66    19    81    14    98 0.88 -
147726at50557_7038_0:0007d8|STRG.12137.1:0-230|+    -             77 147726at50557        -             80   3.6e-10   38.5   0.4   1   1   6.3e-12   3.2e-09   35.4   0.4     3    39    11    47     9    77 0.71 -
147726at50557_7038_0:0007d8|STRG.12137.2:51-248|+   -             66 147726at50557        -             80   5.1e-10   38.0   0.4   1   1   9.2e-12   4.7e-09   34.9   0.4     5    39     2    36     1    66 0.69 -
152308at50557_103372_0:0026d9|STRG.9979.1:258-455|+ -             66 147726at50557        -             80     3e-09   35.5   0.2   1   1   6.1e-12   3.1e-09   35.5   0.2     4    64     2    61     1    66 0.89 -
140706at50557_307658_0:00219e|STRG.3611.1:264-578|+ -            105 147726at50557        -             80   7.2e-07   27.9   0.0   1   1   5.2e-09   2.6e-06   26.1   0.0     1    64    18    88    18    98 0.79 -
140706at50557_307658_0:00219e|STRG.3611.4:6-320|+   -            105 147726at50557        -             80   7.2e-07   27.9   0.0   1   1   5.2e-09   2.6e-06   26.1   0.0     1    64    18    88    18    98 0.79 -
140706at50557_307658_0:00219e|STRG.3611.2:268-591|+ -            108 147726at50557        -             80   7.9e-07   27.8   0.0   1   1   5.7e-09   2.9e-06   26.0   0.0     1    64    21    91    21   101 0.79 -
140706at50557_307658_0:00219e|STRG.3611.3:172-510|+ -            113 147726at50557        -             80   9.1e-07   27.6   0.0   1   1   6.5e-09   3.3e-06   25.8   0.0     1    64    26    96    26   106 0.79 -
147931at50557_103372_0:000dcb|STRG.589.2:0-248|+    -             83 147726at50557        -             80   3.6e-06   25.6   0.2   1   1   8.6e-09   4.4e-06   25.4   0.2     2    40    19    57    18    83 0.77 -
147931at50557_103372_0:000dcb|STRG.589.1:0-272|+    -             91 147726at50557        -             80   4.8e-06   25.3   0.1   1   1   1.2e-08   5.9e-06   25.0   0.1     2    39    19    56    18    86 0.81 -
140706at50557_307658_0:00219e|STRG.3611.5:345-551|+ -             69 147726at50557        -             80   1.4e-05   23.8   0.0   1   1   3.6e-08   1.8e-05   23.4   0.0     1    39    18    56    18    59 0.94 -
147931at50557_125945_0:001cab|STRG.9483.1:541-783|- -             81 147726at50557        -             80   8.4e-05   21.3   0.1   1   2       1.5   7.8e+02   -1.1   0.0    28    37    10    19     5    42 0.70 -
147931at50557_125945_0:001cab|STRG.9483.1:541-783|- -             81 147726at50557        -             80   8.4e-05   21.3   0.1   2   2   3.6e-07   0.00018   20.2   0.0    21    63    39    81    25    81 0.93 -
147640at50557_610380_0:0028d8|STRG.3617.1:147-500|+ -            118 147726at50557        -             80      0.02   13.6   0.0   1   2   0.00014     0.071   11.9   0.0     6    39    38    71    32    74 0.81 -
147640at50557_610380_0:0028d8|STRG.3617.1:147-500|+ -            118 147726at50557        -             80      0.02   13.6   0.0   2   2       1.8   9.1e+02   -1.3   0.0    55    64   100   109    97   112 0.79 -
147640at50557_610380_0:0028d8|STRG.3617.2:111-467|+ -            119 147726at50557        -             80      0.02   13.6   0.0   1   2   0.00014     0.073   11.9   0.0     6    39    39    72    33    75 0.81 -
147640at50557_610380_0:0028d8|STRG.3617.2:111-467|+ -            119 147726at50557        -             80      0.02   13.6   0.0   2   2       1.8   9.2e+02   -1.3   0.0    55    64   101   110    98   113 0.79 -
149193at50557_13686_0:001c78|STRG.1541.2:503-655|+  -             51 147726at50557        -             80     0.033   13.0   0.0   1   1     8e-05      0.04   12.7   0.0     9    36    23    50    14    51 0.83 -
149193at50557_13686_0:001c78|STRG.1541.1:413-580|+  -             56 147726at50557        -             80     0.041   12.6   0.0   1   1    0.0001     0.052   12.3   0.0     9    36    28    55    19    56 0.83 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/147726at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/147726at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/147726at50557.hmm annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 22:15:25 2024
# [ok]
