#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
147931at50557_103372_0:000dcb|STRG.18585.1:0-272|+   -             91 147931at50557        -             72   6.6e-50  166.0   0.8   1   1   1.6e-52   7.5e-50  165.8   0.8     1    72    10    81    10    81 0.99 -
149193at50557_13686_0:001c78|STRG.1148.1:177-470|+   -             98 147931at50557        -             72   3.2e-09   35.6   0.2   1   1   9.5e-12   4.5e-09   35.1   0.2     5    51    16    62    13    74 0.92 -
147931at50557_125945_0:001cab|STRG.9088.1:518-760|-  -             81 147931at50557        -             72   8.3e-08   31.1   0.1   1   1   1.9e-10   9.2e-08   31.0   0.1    15    72    23    80     7    80 0.78 -
149193at50557_13686_0:001c78|STRG.1148.2:0-200|+     -             67 147931at50557        -             72   8.4e-06   24.7   0.1   1   1   1.9e-08     9e-06   24.6   0.1    21    51     1    31     1    52 0.91 -
147726at50557_103372_0:00130a|STRG.16503.1:329-616|+ -             96 147931at50557        -             72   1.2e-05   24.2   0.4   1   1   4.3e-08   2.1e-05   23.4   0.3    16    71    12    68     5    69 0.81 -
147726at50557_7038_0:0007d8|STRG.2905.1:81-311|+     -             77 147931at50557        -             72   1.3e-05   24.0   0.2   1   1   4.3e-08   2.1e-05   23.4   0.2    13    51    13    51     6    77 0.72 -
147726at50557_7038_0:0007d8|STRG.2905.2:135-332|+    -             66 147931at50557        -             72   1.3e-05   24.0   0.1   1   1     4e-08   1.9e-05   23.5   0.1    13    51     2    40     1    66 0.70 -
152308at50557_103372_0:0026d9|STRG.14684.1:125-352|+ -             76 147931at50557        -             72   1.5e-05   23.9   0.1   1   1   3.8e-08   1.8e-05   23.6   0.1    13    70    13    67     4    69 0.70 -
147726at50557_103372_0:00130a|STRG.16503.3:0-254|+   -             85 147931at50557        -             72   1.7e-05   23.7   0.3   1   2   5.9e-08   2.8e-05   23.0   0.2    17    71     2    57     1    58 0.81 -
147726at50557_103372_0:00130a|STRG.16503.3:0-254|+   -             85 147931at50557        -             72   1.7e-05   23.7   0.3   2   2      0.96   4.6e+02   -0.1   0.0    17    31    48    62    41    69 0.78 -
147726at50557_103372_0:00130a|STRG.16503.2:329-610|+ -             94 147931at50557        -             72   1.9e-05   23.5   0.3   1   1   7.6e-08   3.6e-05   22.6   0.2    18    71    12    66     7    67 0.81 -
152308at50557_103372_0:0026d9|STRG.14684.2:125-349|+ -             75 147931at50557        -             72   2.5e-05   23.1   0.1   1   1   6.5e-08   3.1e-05   22.8   0.1    13    48    13    48     4    69 0.75 -
147640at50557_123851_0:0001e2|STRG.20075.2:0-293|+   -             98 147931at50557        -             72   4.8e-05   22.2   0.0   1   1   1.3e-07   6.1e-05   21.9   0.0    16    49    31    64    16    85 0.77 -
147640at50557_610380_0:0028d8|STRG.20075.1:2-211|+   -             70 147931at50557        -             72     0.006   15.5   0.0   1   1   1.4e-05    0.0066   15.4   0.0    25    56     1    36     1    57 0.79 -
140706at50557_307658_0:00219e|STRG.20082.1:340-549|+ -             70 147931at50557        -             72    0.0066   15.4   0.0   1   1   1.5e-05    0.0074   15.2   0.0    16    53    25    62    14    68 0.83 -
140706at50557_307658_0:00219e|STRG.20082.2:263-481|+ -             73 147931at50557        -             72    0.0073   15.3   0.0   1   1   1.7e-05    0.0083   15.1   0.0    16    53    28    65    17    71 0.83 -
140706at50557_307658_0:00219e|STRG.20082.3:159-398|+ -             80 147931at50557        -             72    0.0091   15.0   0.0   1   1   2.4e-05     0.011   14.6   0.0    17    52    36    71    25    77 0.83 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/147931at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/147931at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/147931at50557.hmm annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 17:33:33 2024
# [ok]
