#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
54603at50557_103372_0:00290d|STRG.7595.1:75-1919|+     -            615 54603at50557         -            483    6e-232  769.4  24.4   1   1  1.1e-233  7.7e-232  769.0  24.4     1   481    96   613    96   615 0.95 -
25718at50557_7160_0:003d21|STRG.6539.1:581-3517|+      -            979 54603at50557         -            483   3.9e-56  189.6  54.7   1   9   3.3e-06   0.00024   18.8   0.2   356   429     1    78     1    83 0.80 -
25718at50557_7160_0:003d21|STRG.6539.1:581-3517|+      -            979 54603at50557         -            483   3.9e-56  189.6  54.7   2   9   0.00016     0.012   13.2   0.4   139   201    71   138    69   157 0.76 -
25718at50557_7160_0:003d21|STRG.6539.1:581-3517|+      -            979 54603at50557         -            483   3.9e-56  189.6  54.7   3   9   4.8e-11   3.5e-09   34.7   0.2   269   393   145   279   139   290 0.62 -
25718at50557_7160_0:003d21|STRG.6539.1:581-3517|+      -            979 54603at50557         -            483   3.9e-56  189.6  54.7   4   9   1.7e-05    0.0013   16.4   0.1   269   326   264   322   261   327 0.83 -
25718at50557_7160_0:003d21|STRG.6539.1:581-3517|+      -            979 54603at50557         -            483   3.9e-56  189.6  54.7   5   9   0.00022     0.016   12.7   2.1    41   139   317   428   316   431 0.76 -
25718at50557_7160_0:003d21|STRG.6539.1:581-3517|+      -            979 54603at50557         -            483   3.9e-56  189.6  54.7   6   9   2.5e-07   1.8e-05   22.5   2.8   331   420   412   506   364   512 0.65 -
25718at50557_7160_0:003d21|STRG.6539.1:581-3517|+      -            979 54603at50557         -            483   3.9e-56  189.6  54.7   7   9   0.00021     0.015   12.8   0.2   271   307   513   549   508   553 0.93 -
25718at50557_7160_0:003d21|STRG.6539.1:581-3517|+      -            979 54603at50557         -            483   3.9e-56  189.6  54.7   8   9   5.5e-17     4e-15   54.3   6.8    46   221   571   767   564   794 0.79 -
25718at50557_7160_0:003d21|STRG.6539.1:581-3517|+      -            979 54603at50557         -            483   3.9e-56  189.6  54.7   9   9   2.1e-13   1.5e-11   42.5   5.5    55   180   799   939   780   957 0.82 -
54603at50557_217634_0:0030bb|STRG.16414.1:512-1612|+   -            367 54603at50557         -            483   7.4e-56  188.7  36.0   1   4   1.8e-24   1.3e-22   79.0   5.2   271   431    27   193    21   195 0.91 -
