#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
80072at50557_103372_0:001f31|STRG.13431.1:0-1061|+   -            354 80072at50557         -            323  1.5e-162  538.8   2.9   1   1  2.9e-165  1.8e-162  538.6   2.9     1   323     2   346     2   346 0.95 -
78395at50557_139723_0:000cce|STRG.19546.1:115-1059|+ -            315 80072at50557         -            323   2.4e-34  117.5   0.8   1   2     1e-14   6.3e-12   43.8   0.0     3    75    12    86    10    97 0.86 -
78395at50557_139723_0:000cce|STRG.19546.1:115-1059|+ -            315 80072at50557         -            323   2.4e-34  117.5   0.8   2   2   1.9e-23   1.1e-20   72.6   0.3   111   223   101   213    75   228 0.86 -
78395at50557_103372_0:001bc6|STRG.1829.1:124-1152|+  -            343 80072at50557         -            323   1.1e-33  115.4   1.0   1   2   5.6e-14   3.4e-11   41.5   0.0     3    80    35   113    33   121 0.88 -
78395at50557_103372_0:001bc6|STRG.1829.1:124-1152|+  -            343 80072at50557         -            323   1.1e-33  115.4   1.0   2   2   3.4e-23   2.1e-20   71.7   0.9   120   223   138   242   132   292 0.90 -
76116at50557_520822_0:00013b|STRG.11897.1:5-1157|+   -            354 80072at50557         -            323   1.3e-33  115.1   0.2   1   2     1e-12   6.1e-10   37.3   0.0     3    80    41   119    39   122 0.93 -
76116at50557_520822_0:00013b|STRG.11897.1:5-1157|+   -            354 80072at50557         -            323   1.3e-33  115.1   0.2   2   2   5.8e-25   3.5e-22   77.5   0.9   100   224   118   243   106   351 0.71 -
76116at50557_520822_0:00013b|STRG.11897.2:0-1061|+   -            354 80072at50557         -            323   1.3e-33  115.1   0.2   1   2     1e-12   6.1e-10   37.3   0.0     3    80    41   119    39   122 0.93 -
76116at50557_520822_0:00013b|STRG.11897.2:0-1061|+   -            354 80072at50557         -            323   1.3e-33  115.1   0.2   2   2   5.8e-25   3.5e-22   77.5   0.9   100   224   118   243   106   351 0.71 -
78395at50557_139723_0:000cce|STRG.19546.2:88-996|+   -            303 80072at50557         -            323   5.4e-33  113.1   0.9   1   2   2.4e-13   1.4e-10   39.4   0.0     4    75     1    74     1    83 0.85 -
78395at50557_139723_0:000cce|STRG.19546.2:88-996|+   -            303 80072at50557         -            323   5.4e-33  113.1   0.9   2   2   1.7e-23     1e-20   72.7   0.3   110   223    88   201    63   215 0.86 -
59039at50557_166361_0:00097d|STRG.891.1:1580-2875|+  -            432 80072at50557         -            323   2.1e-05   22.4   0.8   1   1   1.8e-06    0.0011   16.8   0.8    28   235    49   242    27   250 0.71 -
59039at50557_166361_0:00097d|STRG.891.2:1529-2824|+  -            432 80072at50557         -            323   2.1e-05   22.4   0.8   1   1   1.8e-06    0.0011   16.8   0.8    28   235    49   242    27   250 0.71 -
59039at50557_166361_0:00097d|STRG.891.3:1106-2401|+  -            432 80072at50557         -            323   2.1e-05   22.4   0.8   1   1   1.8e-06    0.0011   16.8   0.8    28   235    49   242    27   250 0.71 -
59039at50557_166361_0:00097d|STRG.891.4:1400-2695|+  -            432 80072at50557         -            323   2.1e-05   22.4   0.8   1   1   1.8e-06    0.0011   16.8   0.8    28   235    49   242    27   250 0.71 -
76116at50557_38123_0:0027df|STRG.14775.1:392-1207|+  -            272 80072at50557         -            323   0.00021   19.1   0.1   1   1   4.8e-07   0.00029   18.6   0.1    24   171    48   192    32   226 0.69 -
76116at50557_38123_0:0027df|STRG.14775.2:270-1085|+  -            272 80072at50557         -            323   0.00021   19.1   0.1   1   1   4.8e-07   0.00029   18.6   0.1    24   171    48   192    32   226 0.69 -
78395at50557_113334_0:001f45|STRG.12327.1:180-866|+  -            229 80072at50557         -            323    0.0011   16.8   0.0   1   2   8.6e-06    0.0052   14.5   0.0    24    69    28    76    24   113 0.81 -
78395at50557_113334_0:001f45|STRG.12327.1:180-866|+  -            229 80072at50557         -            323    0.0011   16.8   0.0   2   2      0.26   1.6e+02   -0.2   0.0   161   190   141   170   102   184 0.85 -
51542at50557_103372_0:0027c7|STRG.16094.1:148-1500|+ -            451 80072at50557         -            323     0.013   13.3   0.0   1   1   4.2e-05     0.025   12.3   0.0    16    57    36    81    27    89 0.75 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/80072at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/80072at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/80072at50557.hmm annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 13:56:48 2024
# [ok]
