#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
30467at50557_144034_0:0022a4|STRG.9424.1:3-2189|+    -            729 30467at50557         -            614         0 1059.9   8.1   1   1         0         0 1059.5   8.1     8   614    50   727    43   727 0.92 -
80377at50557_30019_0:0008bb|STRG.7719.3:370-972|+    -            201 30467at50557         -            614   7.9e-08   30.3   0.1   1   2   4.5e-07   6.2e-05   20.7   0.1   186   259    11    89     4    93 0.78 -
80377at50557_30019_0:0008bb|STRG.7719.3:370-972|+    -            201 30467at50557         -            614   7.9e-08   30.3   0.1   2   2    0.0036      0.48    7.9   0.0   185   250    94   164    90   191 0.75 -
40115at50557_156304_0:001c45|STRG.7719.1:147-1073|+  -            309 30467at50557         -            614   1.3e-07   29.6   0.2   1   3     0.014       1.8    5.9   0.1   187   243    68   131    52   148 0.69 -
40115at50557_156304_0:001c45|STRG.7719.1:147-1073|+  -            309 30467at50557         -            614   1.3e-07   29.6   0.2   2   3   8.1e-07   0.00011   19.9   0.2   186   259   109   187    86   192 0.79 -
40115at50557_156304_0:001c45|STRG.7719.1:147-1073|+  -            309 30467at50557         -            614   1.3e-07   29.6   0.2   3   3    0.0081       1.1    6.7   0.0   185   250   192   262   188   291 0.75 -
40115at50557_156304_0:001c45|STRG.7719.4:189-1115|+  -            309 30467at50557         -            614   1.3e-07   29.6   0.2   1   3     0.014       1.8    5.9   0.1   187   243    68   131    52   148 0.69 -
40115at50557_156304_0:001c45|STRG.7719.4:189-1115|+  -            309 30467at50557         -            614   1.3e-07   29.6   0.2   2   3   8.1e-07   0.00011   19.9   0.2   186   259   109   187    86   192 0.79 -
40115at50557_156304_0:001c45|STRG.7719.4:189-1115|+  -            309 30467at50557         -            614   1.3e-07   29.6   0.2   3   3    0.0081       1.1    6.7   0.0   185   250   192   262   188   291 0.75 -
40115at50557_156304_0:001c45|STRG.7719.5:297-1223|+  -            309 30467at50557         -            614   1.3e-07   29.6   0.2   1   3     0.014       1.8    5.9   0.1   187   243    68   131    52   148 0.69 -
40115at50557_156304_0:001c45|STRG.7719.5:297-1223|+  -            309 30467at50557         -            614   1.3e-07   29.6   0.2   2   3   8.1e-07   0.00011   19.9   0.2   186   259   109   187    86   192 0.79 -
40115at50557_156304_0:001c45|STRG.7719.5:297-1223|+  -            309 30467at50557         -            614   1.3e-07   29.6   0.2   3   3    0.0081       1.1    6.7   0.0   185   250   192   262   188   291 0.75 -
40115at50557_156304_0:001c45|STRG.7719.2:286-1236|+  -            317 30467at50557         -            614   1.4e-07   29.4   0.2   1   3     0.014       1.9    5.9   0.1   187   243    76   139    55   156 0.71 -
