#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
104469at50557_123851_0:002509|STRG.12684.1:1669-2529|+ -            287 104469at50557        -            153   4.4e-41  139.5   0.2   1   1   9.6e-44   7.3e-41  138.8   0.2     5   153   143   286   138   286 0.91 -
104469at50557_7130_0:000905|STRG.2563.1:1832-2317|+    -            162 104469at50557        -            153   1.7e-36  124.7   0.1   1   1   2.6e-39   1.9e-36  124.4   0.1     2   153     5   155     4   155 0.89 -
104469at50557_7130_0:000905|STRG.10375.2:1598-2104|+   -            169 104469at50557        -            153     2e-19   69.2   0.5   1   2   3.6e-05     0.027   13.6   0.1    10    54     5    47     1    58 0.76 -
104469at50557_7130_0:000905|STRG.10375.2:1598-2104|+   -            169 104469at50557        -            153     2e-19   69.2   0.5   2   2   6.3e-18   4.8e-15   55.0   0.1    45   151    57   168    43   169 0.79 -
104469at50557_7130_0:000905|STRG.10375.3:2892-3398|+   -            169 104469at50557        -            153     2e-19   69.2   0.5   1   2   3.6e-05     0.027   13.6   0.1    10    54     5    47     1    58 0.76 -
104469at50557_7130_0:000905|STRG.10375.3:2892-3398|+   -            169 104469at50557        -            153     2e-19   69.2   0.5   2   2   6.3e-18   4.8e-15   55.0   0.1    45   151    57   168    43   169 0.79 -
104469at50557_7130_0:000905|STRG.10375.1:2890-3381|+   -            164 104469at50557        -            153   2.9e-19   68.7   0.5   1   1   1.7e-19   1.3e-16   60.0   0.5    13   151     9   163     1   164 0.73 -
1859at50557_34720_0:002187|STRG.13598.3:690-9905|+     -           3072 104469at50557        -            153   2.3e-15   56.0   5.1   1   4   5.4e-06    0.0041   16.2   0.1    85   151  1998  2064  1986  2068 0.88 -
1859at50557_34720_0:002187|STRG.13598.3:690-9905|+     -           3072 104469at50557        -            153   2.3e-15   56.0   5.1   2   4    0.0024       1.8    7.6   0.0    94   152  2264  2322  2254  2323 0.88 -
1859at50557_34720_0:002187|STRG.13598.3:690-9905|+     -           3072 104469at50557        -            153   2.3e-15   56.0   5.1   3   4   1.1e-06   0.00085   18.4   0.2    96   152  2572  2628  2563  2629 0.90 -
1859at50557_34720_0:002187|STRG.13598.3:690-9905|+     -           3072 104469at50557        -            153   2.3e-15   56.0   5.1   4   4   0.00012     0.088   11.9   0.0    96   153  2862  2919  2853  2919 0.94 -
1859at50557_34720_0:002187|STRG.13598.2:690-10634|+    -           3315 104469at50557        -            153   3.2e-15   55.5   5.1   1   4   5.9e-06    0.0045   16.1   0.1    85   151  1998  2064  1986  2068 0.88 -
1859at50557_34720_0:002187|STRG.13598.2:690-10634|+    -           3315 104469at50557        -            153   3.2e-15   55.5   5.1   2   4    0.0026         2    7.5   0.0    94   152  2264  2322  2254  2323 0.88 -
1859at50557_34720_0:002187|STRG.13598.2:690-10634|+    -           3315 104469at50557        -            153   3.2e-15   55.5   5.1   3   4   1.2e-06   0.00092   18.3   0.2    96   152  2572  2628  2563  2629 0.90 -
1859at50557_34720_0:002187|STRG.13598.2:690-10634|+    -           3315 104469at50557        -            153   3.2e-15   55.5   5.1   4   4   0.00013     0.095   11.8   0.0    96   153  2862  2919  2853  2919 0.94 -
1859at50557_34720_0:002187|STRG.13598.1:690-10631|+    -           3314 104469at50557        -            153   3.2e-15   55.5   5.1   1   4   5.9e-06    0.0045   16.1   0.1    85   151  1998  2064  1986  2068 0.88 -
1859at50557_34720_0:002187|STRG.13598.1:690-10631|+    -           3314 104469at50557        -            153   3.2e-15   55.5   5.1   2   4    0.0026         2    7.5   0.0    94   152  2264  2322  2254  2323 0.88 -
1859at50557_34720_0:002187|STRG.13598.1:690-10631|+    -           3314 104469at50557        -            153   3.2e-15   55.5   5.1   3   4   1.2e-06   0.00092   18.3   0.2    96   152  2572  2628  2563  2629 0.90 -
1859at50557_34720_0:002187|STRG.13598.1:690-10631|+    -           3314 104469at50557        -            153   3.2e-15   55.5   5.1   4   4   0.00013     0.095   11.8   0.0    96   153  2862  2919  2853  2919 0.94 -
104469at50557_7397_0:004245|STRG.17052.1:386-550|+     -             55 104469at50557        -            153   4.6e-07   29.0   0.5   1   1   6.5e-10   4.9e-07   28.9   0.5   100   153     1    54     1    54 0.95 -
104469at50557_7397_0:004245|STRG.17052.2:386-550|+     -             55 104469at50557        -            153   4.6e-07   29.0   0.5   1   1   6.5e-10   4.9e-07   28.9   0.5   100   153     1    54     1    54 0.95 -
57812at50557_520822_0:00002d|STRG.13317.1:34-2217|+    -            728 104469at50557        -            153   1.4e-06   27.4   0.2   1   1     4e-09     3e-06   26.4   0.2    93   152   451   510   426   511 0.87 -
27606at50557_103372_0:000e58|STRG.1669.2:953-2860|+    -            636 104469at50557        -            153    0.0052   15.9   0.2   1   2    0.0023       1.8    7.7   0.0    85   153   337   416   335   416 0.74 -
27606at50557_103372_0:000e58|STRG.1669.2:953-2860|+    -            636 104469at50557        -            153    0.0052   15.9   0.2   2   2    0.0098       7.4    5.6   0.1    89   153   542   617   534   617 0.75 -
27606at50557_103372_0:000e58|STRG.1669.1:506-2659|+    -            654 104469at50557        -            153    0.0057   15.8   0.2   1   2    0.0024       1.8    7.6   0.0    85   153   355   434   353   434 0.74 -
27606at50557_103372_0:000e58|STRG.1669.1:506-2659|+    -            654 104469at50557        -            153    0.0057   15.8   0.2   2   2      0.01       7.7    5.6   0.1    89   153   560   635   552   635 0.75 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/104469at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/104469at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/104469at50557.hmm annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 10:05:11 2024
# [ok]
