#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
58640at50557_520822_0:0024b8|STRG.13220.1:2270-3119|- -            213 58640at50557         -            312   8.6e-52  172.9  22.8   1   1   1.1e-51   2.1e-49  165.1  22.8   172   311     2   198     1   199 0.82 -
57812at50557_139723_0:0023b3|STRG.1322.1:536-958|+    -            141 58640at50557         -            312   0.00051   16.0   0.8   1   2   2.7e-06   0.00051   16.0   0.8   246   307    20    81     7    84 0.93 -
57812at50557_139723_0:0023b3|STRG.1322.1:536-958|+    -            141 58640at50557         -            312   0.00051   16.0   0.8   2   2     0.061        12    1.7   0.7   253   305    83   135    81   139 0.65 -
57812at50557_139723_0:0023b3|STRG.1322.2:168-590|+    -            141 58640at50557         -            312   0.00051   16.0   0.8   1   2   2.7e-06   0.00051   16.0   0.8   246   307    20    81     7    84 0.93 -
57812at50557_139723_0:0023b3|STRG.1322.2:168-590|+    -            141 58640at50557         -            312   0.00051   16.0   0.8   2   2     0.061        12    1.7   0.7   253   305    83   135    81   139 0.65 -
57812at50557_139723_0:0023b3|STRG.20708.1:943-1278|+  -            112 58640at50557         -            312   0.00064   15.7   2.0   1   2     0.014       2.7    3.8   0.1   253   270    25    42    19    49 0.87 -
57812at50557_139723_0:0023b3|STRG.20708.1:943-1278|+  -            112 58640at50557         -            312   0.00064   15.7   2.0   2   2   6.6e-05     0.012   11.5   0.4   252   306    52   106    46   109 0.74 -
57812at50557_139723_0:0023b3|STRG.20708.2:1031-1366|+ -            112 58640at50557         -            312   0.00064   15.7   2.0   1   2     0.014       2.7    3.8   0.1   253   270    25    42    19    49 0.87 -
57812at50557_139723_0:0023b3|STRG.20708.2:1031-1366|+ -            112 58640at50557         -            312   0.00064   15.7   2.0   2   2   6.6e-05     0.012   11.5   0.4   252   306    52   106    46   109 0.74 -
57812at50557_139723_0:0023b3|STRG.20708.3:1081-1416|+ -            112 58640at50557         -            312   0.00064   15.7   2.0   1   2     0.014       2.7    3.8   0.1   253   270    25    42    19    49 0.87 -
57812at50557_139723_0:0023b3|STRG.20708.3:1081-1416|+ -            112 58640at50557         -            312   0.00064   15.7   2.0   2   2   6.6e-05     0.012   11.5   0.4   252   306    52   106    46   109 0.74 -
57812at50557_139723_0:0023b3|STRG.20708.4:1168-1503|+ -            112 58640at50557         -            312   0.00064   15.7   2.0   1   2     0.014       2.7    3.8   0.1   253   270    25    42    19    49 0.87 -
57812at50557_139723_0:0023b3|STRG.20708.4:1168-1503|+ -            112 58640at50557         -            312   0.00064   15.7   2.0   2   2   6.6e-05     0.012   11.5   0.4   252   306    52   106    46   109 0.74 -
57812at50557_139723_0:0023b3|STRG.20708.5:1255-1590|+ -            112 58640at50557         -            312   0.00064   15.7   2.0   1   2     0.014       2.7    3.8   0.1   253   270    25    42    19    49 0.87 -
57812at50557_139723_0:0023b3|STRG.20708.5:1255-1590|+ -            112 58640at50557         -            312   0.00064   15.7   2.0   2   2   6.6e-05     0.012   11.5   0.4   252   306    52   106    46   109 0.74 -
58640at50557_286706_0:000731|STRG.4061.1:459-1082|+   -            208 58640at50557         -            312      0.03   10.2   5.3   1   1   0.00019     0.036   10.0   5.0   202   260   154   208    82   208 0.80 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/58640at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/rerun_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/rerun_results/58640at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/58640at50557.hmm annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/rerun_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 22:56:31 2024
# [ok]
