#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
117699at50557_104421_0:002a75|STRG.4224.1:440-1039|+   -            200 117699at50557        -            170   5.7e-91  302.2   0.1   1   1   5.1e-93   1.2e-90  301.1   0.1     1   169     1   197     1   198 0.94 -
117699at50557_219809_0:0002bf|STRG.4224.2:41-583|+     -            181 117699at50557        -            170   9.7e-86  285.2   0.0   1   1   5.1e-88   1.2e-85  284.8   0.0    15   169     5   178     1   179 0.95 -
120473at50557_1041015_0:0012df|STRG.16654.1:694-1101|+ -            136 117699at50557        -            170     4e-35  120.4   0.0   1   1   1.7e-37   4.2e-35  120.4   0.0    31   132    31   131     3   136 0.89 -
120473at50557_1041015_0:0012df|STRG.16654.2:720-1127|+ -            136 117699at50557        -            170     4e-35  120.4   0.0   1   1   1.7e-37   4.2e-35  120.4   0.0    31   132    31   131     3   136 0.89 -
120473at50557_1041015_0:0012df|STRG.16654.3:498-905|+  -            136 117699at50557        -            170     4e-35  120.4   0.0   1   1   1.7e-37   4.2e-35  120.4   0.0    31   132    31   131     3   136 0.89 -
120473at50557_1041015_0:0012df|STRG.16654.4:108-515|+  -            136 117699at50557        -            170     4e-35  120.4   0.0   1   1   1.7e-37   4.2e-35  120.4   0.0    31   132    31   131     3   136 0.89 -
120473at50557_1041015_0:0012df|STRG.14017.1:441-839|+  -            133 117699at50557        -            170   3.5e-33  114.1   0.0   1   1   1.6e-35   3.9e-33  114.0   0.0    23   127    25   128     2   132 0.95 -
116934at50557_286706_0:0006a3|STRG.3263.1:967-1353|+   -            129 117699at50557        -            170   1.8e-29  102.0   0.0   1   1   8.6e-32   2.1e-29  101.8   0.0    25   125    25   124     2   128 0.96 -
120473at50557_1041015_0:0012df|STRG.1766.4:1068-1520|+ -            151 117699at50557        -            170   5.4e-27   94.0   0.0   1   1   2.5e-29     6e-27   93.8   0.0    25   128    31   133     5   146 0.91 -
120473at50557_37344_0:000b45|STRG.1766.2:659-1099|+    -            147 117699at50557        -            170   4.4e-26   91.0   0.0   1   1   2.2e-28   5.4e-26   90.7   0.0    25   127    17   118    14   134 0.90 -
120473at50557_37344_0:000b45|STRG.1766.1:920-1402|+    -            161 117699at50557        -            170   4.7e-26   90.9   0.0   1   1   2.2e-28   5.4e-26   90.7   0.0    25   127    31   132     5   147 0.90 -
