#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
111744at50557_103372_0:001abd|STRG.15751.1:0-1172|+    -            391 111744at50557        -            301  3.9e-123  409.5  16.1   1   1  1.5e-122  4.3e-120  399.5  16.1     1   301    22   387    22   387 0.86 -
92128at50557_116153_0:00269b|STRG.3206.1:1000-1914|+   -            305 111744at50557        -            301   3.6e-14   51.7   9.2   1   2     0.033       9.2    4.4   6.6     7    83     2    70     1   176 0.69 -
92128at50557_116153_0:00269b|STRG.3206.1:1000-1914|+   -            305 111744at50557        -            301   3.6e-14   51.7   9.2   2   2   2.6e-15   7.2e-13   47.4   0.0   215   288   225   302   223   304 0.77 -
92128at50557_116153_0:00269b|STRG.3206.2:957-1871|+    -            305 111744at50557        -            301   3.6e-14   51.7   9.2   1   2     0.033       9.2    4.4   6.6     7    83     2    70     1   176 0.69 -
92128at50557_116153_0:00269b|STRG.3206.2:957-1871|+    -            305 111744at50557        -            301   3.6e-14   51.7   9.2   2   2   2.6e-15   7.2e-13   47.4   0.0   215   288   225   302   223   304 0.77 -
92128at50557_116153_0:00269b|STRG.3206.3:1000-1914|+   -            305 111744at50557        -            301   3.6e-14   51.7   9.2   1   2     0.033       9.2    4.4   6.6     7    83     2    70     1   176 0.69 -
92128at50557_116153_0:00269b|STRG.3206.3:1000-1914|+   -            305 111744at50557        -            301   3.6e-14   51.7   9.2   2   2   2.6e-15   7.2e-13   47.4   0.0   215   288   225   302   223   304 0.77 -
92128at50557_456900_0:00190a|STRG.10552.3:266-1576|+   -            437 111744at50557        -            301   1.1e-12   46.8   3.8   1   2     0.003      0.85    7.8   2.4    11   112     6    95     1   168 0.67 -
92128at50557_456900_0:00190a|STRG.10552.3:266-1576|+   -            437 111744at50557        -            301   1.1e-12   46.8   3.8   2   2     2e-12   5.6e-10   37.9   0.0   212   290   173   255   154   262 0.78 -
92128at50557_103372_0:00151f|STRG.10552.1:2254-3585|+  -            444 111744at50557        -            301   2.4e-10   39.1   5.1   1   2      0.53   1.5e+02    0.4   3.2    58   112    45   102    28   173 0.63 -
92128at50557_103372_0:00151f|STRG.10552.1:2254-3585|+  -            444 111744at50557        -            301   2.4e-10   39.1   5.1   2   2     2e-12   5.6e-10   37.9   0.0   212   290   180   262   159   269 0.78 -
111744at50557_39758_0:0024d9|STRG.4460.1:863-1861|+    -            333 111744at50557        -            301   1.4e-09   36.6   9.6   1   2   0.00085      0.24    9.6   1.0     1    83     9    87     9   125 0.73 -
111744at50557_39758_0:0024d9|STRG.4460.1:863-1861|+    -            333 111744at50557        -            301   1.4e-09   36.6   9.6   2   2   1.6e-10   4.5e-08   31.7   2.0   213   287   254   333   200   333 0.83 -
92128at50557_1629725_0:001ccd|STRG.10507.1:822-1865|+  -            348 111744at50557        -            301   9.4e-09   33.9   0.9   1   2      0.24        67    1.6   1.3    64   104    47    88     2   112 0.72 -
92128at50557_1629725_0:001ccd|STRG.10507.1:822-1865|+  -            348 111744at50557        -            301   9.4e-09   33.9   0.9   2   2     6e-10   1.7e-07   29.8   0.0   216   287   225   300   211   309 0.84 -
92128at50557_108931_0:002241|STRG.16577.1:129-1088|+   -            320 111744at50557        -            301   1.9e-08   32.9   0.1   1   2       1.7   4.8e+02   -1.3   1.1    63    77    41    55    32    63 0.84 -
92128at50557_108931_0:002241|STRG.16577.1:129-1088|+   -            320 111744at50557        -            301   1.9e-08   32.9   0.1   2   2   6.9e-11   1.9e-08   32.9   0.1   217   288   165   239   157   244 0.83 -
111744at50557_108931_0:001004|STRG.4460.2:1878-2675|+  -            266 111744at50557        -            301   5.2e-08   31.5   1.8   1   2       2.5   6.9e+02   -1.8   0.3    70    83     3    21     1    53 0.65 -
111744at50557_108931_0:001004|STRG.4460.2:1878-2675|+  -            266 111744at50557        -            301   5.2e-08   31.5   1.8   2   2   1.9e-10   5.2e-08   31.5   1.8   213   286   188   266   133   266 0.83 -
