#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
48331at50557_103372_0:001fed|STRG.4825.1:0-1430|+   -            477 48331at50557         -            377  5.5e-189  626.8   1.0   1   1  1.2e-188  5.6e-186  616.9   1.0     1   377    40   474    40   474 0.90 -
69102at50557_103372_0:001d18|STRG.1515.2:62-1975|+  -            638 48331at50557         -            377   4.5e-19   67.5   0.0   1   2    0.0046       2.2    6.0   0.0    47    73    15    41    10    75 0.92 -
69102at50557_103372_0:001d18|STRG.1515.2:62-1975|+  -            638 48331at50557         -            377   4.5e-19   67.5   0.0   2   2   1.1e-18   5.4e-16   57.4   0.0   131   283   409   545   389   554 0.86 -
69102at50557_103372_0:001d18|STRG.1515.1:2-1912|+   -            637 48331at50557         -            377   4.6e-19   67.5   0.0   1   2    0.0047       2.2    6.0   0.0    47    73    14    40    10    74 0.92 -
69102at50557_103372_0:001d18|STRG.1515.1:2-1912|+   -            637 48331at50557         -            377   4.6e-19   67.5   0.0   2   2   1.1e-18   5.4e-16   57.4   0.0   131   283   408   544   388   553 0.86 -
69102at50557_69004_0:0020c7|STRG.11019.1:311-1243|+ -            311 48331at50557         -            377   7.3e-18   63.6   1.6   1   2   3.7e-05     0.017   12.9   0.2    47    73    53    79    36    83 0.91 -
69102at50557_69004_0:0020c7|STRG.11019.1:311-1243|+ -            311 48331at50557         -            377   7.3e-18   63.6   1.6   2   2   2.1e-15     1e-12   46.6   0.1   107   280    91   244    80   252 0.86 -
69102at50557_69004_0:0020c7|STRG.11019.2:269-1201|+ -            311 48331at50557         -            377   7.3e-18   63.6   1.6   1   2   3.7e-05     0.017   12.9   0.2    47    73    53    79    36    83 0.91 -
69102at50557_69004_0:0020c7|STRG.11019.2:269-1201|+ -            311 48331at50557         -            377   7.3e-18   63.6   1.6   2   2   2.1e-15     1e-12   46.6   0.1   107   280    91   244    80   252 0.86 -
69102at50557_69004_0:0020c7|STRG.11019.3:0-932|+    -            311 48331at50557         -            377   7.3e-18   63.6   1.6   1   2   3.7e-05     0.017   12.9   0.2    47    73    53    79    36    83 0.91 -
69102at50557_69004_0:0020c7|STRG.11019.3:0-932|+    -            311 48331at50557         -            377   7.3e-18   63.6   1.6   2   2   2.1e-15     1e-12   46.6   0.1   107   280    91   244    80   252 0.86 -
69102at50557_41427_0:0029ce|STRG.7054.1:1772-2623|+ -            284 48331at50557         -            377   3.4e-16   58.1   0.0   1   2     0.022        10    3.8   0.1    48    73    55    80    48    84 0.86 -
69102at50557_41427_0:0029ce|STRG.7054.1:1772-2623|+ -            284 48331at50557         -            377   3.4e-16   58.1   0.0   2   2   7.7e-16   3.6e-13   48.1   0.0   105   279    90   247    80   261 0.82 -
69102at50557_41427_0:0029ce|STRG.7054.2:1772-2623|+ -            284 48331at50557         -            377   3.4e-16   58.1   0.0   1   2     0.022        10    3.8   0.1    48    73    55    80    48    84 0.86 -
69102at50557_41427_0:0029ce|STRG.7054.2:1772-2623|+ -            284 48331at50557         -            377   3.4e-16   58.1   0.0   2   2   7.7e-16   3.6e-13   48.1   0.0   105   279    90   247    80   261 0.82 -
69102at50557_41427_0:0029ce|STRG.7054.3:1772-2623|+ -            284 48331at50557         -            377   3.4e-16   58.1   0.0   1   2     0.022        10    3.8   0.1    48    73    55    80    48    84 0.86 -
69102at50557_41427_0:0029ce|STRG.7054.3:1772-2623|+ -            284 48331at50557         -            377   3.4e-16   58.1   0.0   2   2   7.7e-16   3.6e-13   48.1   0.0   105   279    90   247    80   261 0.82 -
69102at50557_41427_0:0029ce|STRG.7054.4:0-851|+     -            284 48331at50557         -            377   3.4e-16   58.1   0.0   1   2     0.022        10    3.8   0.1    48    73    55    80    48    84 0.86 -
69102at50557_41427_0:0029ce|STRG.7054.4:0-851|+     -            284 48331at50557         -            377   3.4e-16   58.1   0.0   2   2   7.7e-16   3.6e-13   48.1   0.0   105   279    90   247    80   261 0.82 -
69102at50557_41427_0:0029ce|STRG.5593.1:214-1005|+  -            264 48331at50557         -            377   1.1e-13   49.8   0.0   1   2   0.00014     0.069   11.0   0.0    45    72    32    59    21    89 0.86 -
69102at50557_41427_0:0029ce|STRG.5593.1:214-1005|+  -            264 48331at50557         -            377   1.1e-13   49.8   0.0   2   2   1.8e-11   8.7e-09   33.7   0.0   132   279   105   263    97   264 0.83 -
69102at50557_41427_0:0029ce|STRG.5593.2:27-818|+    -            264 48331at50557         -            377   1.1e-13   49.8   0.0   1   2   0.00014     0.069   11.0   0.0    45    72    32    59    21    89 0.86 -
69102at50557_41427_0:0029ce|STRG.5593.2:27-818|+    -            264 48331at50557         -            377   1.1e-13   49.8   0.0   2   2   1.8e-11   8.7e-09   33.7   0.0   132   279   105   263    97   264 0.83 -
48331at50557_28612_0:003af4|STRG.5593.3:201-863|+   -            221 48331at50557         -            377   2.1e-10   39.0   0.0   1   1   6.3e-12     3e-09   35.2   0.0   133   281     1   160     1   195 0.80 -
69102at50557_7029_0:00259a|STRG.24367.1:63-968|+    -            302 48331at50557         -            377   1.9e-08   32.6   0.0   1   1   6.3e-10     3e-07   28.6   0.0    32   270    28   279    13   292 0.71 -
69102at50557_43041_0:0020cc|STRG.3426.2:1014-1811|+ -            266 48331at50557         -            377   9.7e-08   30.2   0.0   1   2   3.8e-05     0.018   12.9   0.0    51   178     3   122     1   133 0.75 -
69102at50557_43041_0:0020cc|STRG.3426.2:1014-1811|+ -            266 48331at50557         -            377   9.7e-08   30.2   0.0   2   2   7.3e-06    0.0035   15.2   0.0   235   275   213   257   189   264 0.74 -
69102at50557_7029_0:00259a|STRG.3426.1:945-1610|+   -            222 48331at50557         -            377   1.9e-06   26.0   0.0   1   2    0.0011      0.52    8.1   0.0   134   178    13    59     8    70 0.79 -
69102at50557_7029_0:00259a|STRG.3426.1:945-1610|+   -            222 48331at50557         -            377   1.9e-06   26.0   0.0   2   2   4.3e-06    0.0021   16.0   0.0   235   276   150   195   125   212 0.76 -
69102at50557_38123_0:0033a3|STRG.17749.1:22-267|+   -             82 48331at50557         -            377   9.5e-06   23.7   0.0   1   1   2.4e-08   1.1e-05   23.4   0.0   238   272    37    71    18    79 0.89 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/48331at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/48331at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/48331at50557.hmm annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 22:18:26 2024
# [ok]
