#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
48053at50557_7536_0:0009dd|STRG.4090.1:36-437|+       -            134 48053at50557         -            417   1.1e-74  248.3   0.3   1   1     8e-76   1.2e-74  248.2   0.3     2   130     1   133     1   134 0.97 -
48053at50557_121845_0:002b56|STRG.4092.1:67-384|+     -            106 48053at50557         -            417   4.4e-58  193.7   0.1   1   1   3.2e-59   4.9e-58  193.5   0.1   282   377     1   106     1   106 0.95 -
48053at50557_168631_0:000bf2|STRG.4091.1:213-581|+    -            123 48053at50557         -            417   1.6e-49  165.5   4.8   1   1   1.3e-49     2e-48  161.9   4.8   183   280     1   123     1   123 0.92 -
48053at50557_69319_0:0011f4|STRG.7846.1:1036-1812|+   -            259 48053at50557         -            417   2.4e-23   79.3   0.0   1   3       2.7        42   -0.6   0.0   219   241     1    23     1    26 0.90 -
48053at50557_69319_0:0011f4|STRG.7846.1:1036-1812|+   -            259 48053at50557         -            417   2.4e-23   79.3   0.0   2   3   2.5e-08   3.8e-07   25.9   0.0   282   345    66   136    61   146 0.85 -
48053at50557_69319_0:0011f4|STRG.7846.1:1036-1812|+   -            259 48053at50557         -            417   2.4e-23   79.3   0.0   3   3     3e-18   4.7e-17   58.5   0.0   285   417   111   259   105   259 0.81 -
48053at50557_69319_0:0011f4|STRG.7846.2:783-1559|+    -            259 48053at50557         -            417   2.4e-23   79.3   0.0   1   3       2.7        42   -0.6   0.0   219   241     1    23     1    26 0.90 -
48053at50557_69319_0:0011f4|STRG.7846.2:783-1559|+    -            259 48053at50557         -            417   2.4e-23   79.3   0.0   2   3   2.5e-08   3.8e-07   25.9   0.0   282   345    66   136    61   146 0.85 -
48053at50557_69319_0:0011f4|STRG.7846.2:783-1559|+    -            259 48053at50557         -            417   2.4e-23   79.3   0.0   3   3     3e-18   4.7e-17   58.5   0.0   285   417   111   259   105   259 0.81 -
48053at50557_13249_0:0016bb|STRG.3746.1:1446-2237|+   -            264 48053at50557         -            417   9.5e-20   67.4   6.5   1   4      0.23       3.5    2.9   0.0   237   255    10    28     6    35 0.87 -
48053at50557_13249_0:0016bb|STRG.3746.1:1446-2237|+   -            264 48053at50557         -            417   9.5e-20   67.4   6.5   2   4   2.2e-09   3.4e-08   29.4   0.3   185   256    36   109    30   115 0.87 -
48053at50557_13249_0:0016bb|STRG.3746.1:1446-2237|+   -            264 48053at50557         -            417   9.5e-20   67.4   6.5   3   4   6.9e-08   1.1e-06   24.4   0.0   186   256   117   189   109   201 0.85 -
48053at50557_13249_0:0016bb|STRG.3746.1:1446-2237|+   -            264 48053at50557         -            417   9.5e-20   67.4   6.5   4   4   0.00039     0.006   12.0   0.1   293   343   206   264   190   264 0.71 -
48053at50557_6973_0:001acf|STRG.8335.1:999-1772|+     -            258 48053at50557         -            417   7.1e-16   54.6   1.0   1   3   0.00016    0.0024   13.3   0.1   284   342    68   133     6   136 0.66 -
48053at50557_6973_0:001acf|STRG.8335.1:999-1772|+     -            258 48053at50557         -            417   7.1e-16   54.6   1.0   2   3   9.8e-08   1.5e-06   23.9   0.0   200   253   124   181   122   189 0.88 -
48053at50557_6973_0:001acf|STRG.8335.1:999-1772|+     -            258 48053at50557         -            417   7.1e-16   54.6   1.0   3   3   3.9e-09   5.9e-08   28.5   0.0   316   417   149   258   145   258 0.83 -
48053at50557_56086_0:003c0d|STRG.17919.1:441-1286|+   -            282 48053at50557         -            417   8.1e-16   54.4   0.0   1   3    0.0081      0.13    7.7   0.0   192   247    14    74     2    77 0.68 -
48053at50557_56086_0:003c0d|STRG.17919.1:441-1286|+   -            282 48053at50557         -            417   8.1e-16   54.4   0.0   2   3   1.1e-09   1.7e-08   30.3   0.0   284   348    93   164    72   172 0.78 -
48053at50557_56086_0:003c0d|STRG.17919.1:441-1286|+   -            282 48053at50557         -            417   8.1e-16   54.4   0.0   3   3   0.00035    0.0054   12.2   0.0   283   334   176   235   173   279 0.70 -
48053at50557_56086_0:003c0d|STRG.17919.2:441-1286|+   -            282 48053at50557         -            417   8.1e-16   54.4   0.0   1   3    0.0081      0.13    7.7   0.0   192   247    14    74     2    77 0.68 -
