#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
34006at50557_34720_0:00248d|STRG.14891.1:159-2135|+    -            659 34006at50557         -            414  6.1e-229  758.9   4.6   1   1  6.7e-230  2.6e-228  756.8   4.6     1   414   178   643   178   643 0.93 -
40115at50557_110193_0:00292f|STRG.12771.1:689-1549|+   -            287 34006at50557         -            414     1e-21   76.3  12.4   1   4      0.24       9.2    4.1   0.1   155   214     8    76     2    79 0.44 -
40115at50557_110193_0:00292f|STRG.12771.1:689-1549|+   -            287 34006at50557         -            414     1e-21   76.3  12.4   2   4   7.9e-11   3.1e-09   35.3   0.6   111   218    47   164    40   172 0.74 -
40115at50557_110193_0:00292f|STRG.12771.1:689-1549|+   -            287 34006at50557         -            414     1e-21   76.3  12.4   3   4     1e-14   4.1e-13   48.0   1.1   109   252    87   242    82   253 0.80 -
40115at50557_110193_0:00292f|STRG.12771.1:689-1549|+   -            287 34006at50557         -            414     1e-21   76.3  12.4   4   4    0.0002    0.0077   14.2   0.2   106   180   211   287   207   287 0.82 -
40115at50557_110193_0:00292f|STRG.12771.2:682-1542|+   -            287 34006at50557         -            414     1e-21   76.3  12.4   1   4      0.24       9.2    4.1   0.1   155   214     8    76     2    79 0.44 -
40115at50557_110193_0:00292f|STRG.12771.2:682-1542|+   -            287 34006at50557         -            414     1e-21   76.3  12.4   2   4   7.9e-11   3.1e-09   35.3   0.6   111   218    47   164    40   172 0.74 -
40115at50557_110193_0:00292f|STRG.12771.2:682-1542|+   -            287 34006at50557         -            414     1e-21   76.3  12.4   3   4     1e-14   4.1e-13   48.0   1.1   109   252    87   242    82   253 0.80 -
40115at50557_110193_0:00292f|STRG.12771.2:682-1542|+   -            287 34006at50557         -            414     1e-21   76.3  12.4   4   4    0.0002    0.0077   14.2   0.2   106   180   211   287   207   287 0.82 -
40115at50557_156304_0:001c45|STRG.7719.1:147-1073|+    -            309 34006at50557         -            414   1.1e-18   66.4   1.8   1   3   1.1e-10   4.4e-09   34.8   0.1   119   245    28   164    14   165 0.76 -
40115at50557_156304_0:001c45|STRG.7719.1:147-1073|+    -            309 34006at50557         -            414   1.1e-18   66.4   1.8   2   3   1.1e-07   4.2e-06   24.9   0.1   128   217   162   260   161   265 0.84 -
40115at50557_156304_0:001c45|STRG.7719.1:147-1073|+    -            309 34006at50557         -            414   1.1e-18   66.4   1.8   3   3   0.00013     0.005   14.8   0.0   119   181   238   300   227   306 0.74 -
40115at50557_156304_0:001c45|STRG.7719.4:189-1115|+    -            309 34006at50557         -            414   1.1e-18   66.4   1.8   1   3   1.1e-10   4.4e-09   34.8   0.1   119   245    28   164    14   165 0.76 -
40115at50557_156304_0:001c45|STRG.7719.4:189-1115|+    -            309 34006at50557         -            414   1.1e-18   66.4   1.8   2   3   1.1e-07   4.2e-06   24.9   0.1   128   217   162   260   161   265 0.84 -
40115at50557_156304_0:001c45|STRG.7719.4:189-1115|+    -            309 34006at50557         -            414   1.1e-18   66.4   1.8   3   3   0.00013     0.005   14.8   0.0   119   181   238   300   227   306 0.74 -
40115at50557_156304_0:001c45|STRG.7719.5:297-1223|+    -            309 34006at50557         -            414   1.1e-18   66.4   1.8   1   3   1.1e-10   4.4e-09   34.8   0.1   119   245    28   164    14   165 0.76 -
40115at50557_156304_0:001c45|STRG.7719.5:297-1223|+    -            309 34006at50557         -            414   1.1e-18   66.4   1.8   2   3   1.1e-07   4.2e-06   24.9   0.1   128   217   162   260   161   265 0.84 -
40115at50557_156304_0:001c45|STRG.7719.5:297-1223|+    -            309 34006at50557         -            414   1.1e-18   66.4   1.8   3   3   0.00013     0.005   14.8   0.0   119   181   238   300   227   306 0.74 -
40115at50557_156304_0:001c45|STRG.7719.2:286-1236|+    -            317 34006at50557         -            414   1.1e-18   66.4   1.7   1   3   1.1e-10   4.5e-09   34.7   0.1   119   245    36   172    21   173 0.76 -
40115at50557_156304_0:001c45|STRG.7719.2:286-1236|+    -            317 34006at50557         -            414   1.1e-18   66.4   1.7   2   3   1.1e-07   4.4e-06   24.9   0.1   128   217   170   268   169   273 0.84 -
40115at50557_156304_0:001c45|STRG.7719.2:286-1236|+    -            317 34006at50557         -            414   1.1e-18   66.4   1.7   3   3   0.00013    0.0052   14.8   0.0   119   181   246   308   235   314 0.74 -
40115at50557_156304_0:001c45|STRG.7719.6:286-1236|+    -            317 34006at50557         -            414   1.1e-18   66.4   1.7   1   3   1.1e-10   4.5e-09   34.7   0.1   119   245    36   172    21   173 0.76 -
40115at50557_156304_0:001c45|STRG.7719.6:286-1236|+    -            317 34006at50557         -            414   1.1e-18   66.4   1.7   2   3   1.1e-07   4.4e-06   24.9   0.1   128   217   170   268   169   273 0.84 -
40115at50557_156304_0:001c45|STRG.7719.6:286-1236|+    -            317 34006at50557         -            414   1.1e-18   66.4   1.7   3   3   0.00013    0.0052   14.8   0.0   119   181   246   308   235   314 0.74 -
13625at50557_34720_0:001854|STRG.9689.1:116-2605|+     -            830 34006at50557         -            414   5.5e-16   57.5   2.6   1   6       1.6        62    1.3   0.0   209   247    72   112    56   130 0.84 -
