#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
90505at50557_307658_0:00256e|STRG.9198.1:4-1356|+     -            451 90505at50557         -            359  4.4e-207  686.3   4.0   1   1  2.7e-209  1.4e-206  684.7   4.0     1   359    53   441    53   441 0.95 -
90505at50557_286706_0:002222|STRG.8165.1:2973-3794|+  -            274 90505at50557         -            359   2.8e-34  117.8   5.0   1   1   1.3e-36     7e-34  116.5   5.0   116   356    16   274     9   274 0.87 -
90505at50557_286706_0:002222|STRG.8165.2:2658-3479|+  -            274 90505at50557         -            359   2.8e-34  117.8   5.0   1   1   1.3e-36     7e-34  116.5   5.0   116   356    16   274     9   274 0.87 -
90505at50557_286706_0:002222|STRG.8165.3:2658-3479|+  -            274 90505at50557         -            359   2.8e-34  117.8   5.0   1   1   1.3e-36     7e-34  116.5   5.0   116   356    16   274     9   274 0.87 -
90505at50557_286706_0:002222|STRG.8165.4:723-1544|+   -            274 90505at50557         -            359   2.8e-34  117.8   5.0   1   1   1.3e-36     7e-34  116.5   5.0   116   356    16   274     9   274 0.87 -
119324at50557_609295_0:001eaf|STRG.2587.1:201-710|+   -            170 90505at50557         -            359   3.8e-07   28.6   0.7   1   1   7.6e-10   3.9e-07   28.5   0.7   195   332    16   155     3   170 0.80 -
119324at50557_516756_0:001c87|STRG.3941.1:1775-2137|+ -            121 90505at50557         -            359   0.00062   18.0   0.2   1   1   1.2e-06   0.00064   18.0   0.2   217   308     2    94     1   120 0.84 -
119324at50557_516756_0:001c87|STRG.3941.3:3211-3573|+ -            121 90505at50557         -            359   0.00062   18.0   0.2   1   1   1.2e-06   0.00064   18.0   0.2   217   308     2    94     1   120 0.84 -
119324at50557_516756_0:001c87|STRG.3941.4:3164-3526|+ -            121 90505at50557         -            359   0.00062   18.0   0.2   1   1   1.2e-06   0.00064   18.0   0.2   217   308     2    94     1   120 0.84 -
119324at50557_28612_0:006210|STRG.11754.1:272-754|+   -            161 90505at50557         -            359    0.0026   16.0   0.1   1   1   5.1e-06    0.0026   15.9   0.1   188   302     6   123     1   161 0.70 -
119324at50557_28612_0:006210|STRG.11754.2:241-723|+   -            161 90505at50557         -            359    0.0026   16.0   0.1   1   1   5.1e-06    0.0026   15.9   0.1   188   302     6   123     1   161 0.70 -
119324at50557_28612_0:006210|STRG.11754.3:222-704|+   -            161 90505at50557         -            359    0.0026   16.0   0.1   1   1   5.1e-06    0.0026   15.9   0.1   188   302     6   123     1   161 0.70 -
119324at50557_54969_0:002fed|STRG.11757.1:386-679|+   -             98 90505at50557         -            359    0.0036   15.5   0.1   1   1   7.7e-06     0.004   15.3   0.1   232   296    32    97    16    98 0.83 -
119324at50557_54969_0:002fed|STRG.11757.2:145-438|+   -             98 90505at50557         -            359    0.0036   15.5   0.1   1   1   7.7e-06     0.004   15.3   0.1   232   296    32    97    16    98 0.83 -
119324at50557_28612_0:006210|STRG.8120.1:1233-1571|+  -            113 90505at50557         -            359     0.053   11.6   0.0   1   1   0.00017     0.089   10.9   0.0   245   291    52   107     2   112 0.61 -
119324at50557_28612_0:006210|STRG.8120.2:529-867|+    -            113 90505at50557         -            359     0.053   11.6   0.0   1   1   0.00017     0.089   10.9   0.0   245   291    52   107     2   112 0.61 -
119324at50557_28612_0:006210|STRG.8120.3:511-849|+    -            113 90505at50557         -            359     0.053   11.6   0.0   1   1   0.00017     0.089   10.9   0.0   245   291    52   107     2   112 0.61 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/90505at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/90505at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/90505at50557.hmm annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 20:31:21 2024
# [ok]
