#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
8280at50557_166423_0:002d2f|STRG.12134.1:9-3240|+      -            868 8280at50557          -           1153         0 1201.6  46.2   1   1         0         0 1201.5  46.2     2   810     2   868     1   868 0.96 -
8280at50557_103372_0:001996|STRG.12134.2:748-3193|+    -            718 8280at50557          -           1153  2.4e-289  961.4  47.4   1   1  3.4e-291  2.7e-289  961.2  47.4   145   810     1   718     1   718 0.95 -
8280at50557_83485_0:001d33|STRG.22786.1:33-3467|+      -           1145 8280at50557          -           1153  7.9e-160  532.4  65.5   1   3   5.4e-31   4.2e-29   99.5   0.6    15   247     2   235     1   238 0.89 -
8280at50557_83485_0:001d33|STRG.22786.1:33-3467|+      -           1145 8280at50557          -           1153  7.9e-160  532.4  65.5   2   3   1.5e-27   1.2e-25   88.1   5.7    43   224   246   427   238   428 0.95 -
8280at50557_83485_0:001d33|STRG.22786.1:33-3467|+      -           1145 8280at50557          -           1153  7.9e-160  532.4  65.5   3   3  2.1e-109  1.6e-107  359.2  46.8   403  1112   408  1145   402  1145 0.90 -
8280at50557_83485_0:001d33|STRG.22786.2:221-3655|+     -           1145 8280at50557          -           1153  7.9e-160  532.4  65.5   1   3   5.4e-31   4.2e-29   99.5   0.6    15   247     2   235     1   238 0.89 -
8280at50557_83485_0:001d33|STRG.22786.2:221-3655|+     -           1145 8280at50557          -           1153  7.9e-160  532.4  65.5   2   3   1.5e-27   1.2e-25   88.1   5.7    43   224   246   427   238   428 0.95 -
8280at50557_83485_0:001d33|STRG.22786.2:221-3655|+     -           1145 8280at50557          -           1153  7.9e-160  532.4  65.5   3   3  2.1e-109  1.6e-107  359.2  46.8   403  1112   408  1145   402  1145 0.90 -
8280at50557_7395_0:001be1|STRG.12135.1:0-1088|+        -            337 8280at50557          -           1153  1.1e-109  366.3  10.4   1   1  4.2e-109  3.3e-107  358.2  10.4   858  1150     1   337     1   337 0.90 -
25718at50557_197043_0:00510d|STRG.7495.1:102-1781|+    -            560 8280at50557          -           1153   4.2e-88  294.9  67.6   1   5   2.8e-25   2.2e-23   80.6   6.1   435   610     2   171     1   176 0.93 -
25718at50557_197043_0:00510d|STRG.7495.1:102-1781|+    -            560 8280at50557          -           1153   4.2e-88  294.9  67.6   2   5   1.4e-20     1e-18   65.1   8.5    92   248   100   254    97   256 0.92 -
25718at50557_197043_0:00510d|STRG.7495.1:102-1781|+    -            560 8280at50557          -           1153   4.2e-88  294.9  67.6   3   5   8.5e-24   6.6e-22   75.7  11.3   703   847   153   299   152   300 0.90 -
25718at50557_197043_0:00510d|STRG.7495.1:102-1781|+    -            560 8280at50557          -           1153   4.2e-88  294.9  67.6   4   5   6.5e-20     5e-18   62.8   6.5   695   846   240   397   239   404 0.89 -
25718at50557_197043_0:00510d|STRG.7495.1:102-1781|+    -            560 8280at50557          -           1153   4.2e-88  294.9  67.6   5   5   2.4e-21   1.8e-19   67.6   3.4   475   604   400   527   397   535 0.95 -
7376at50557_121225_0:001986|STRG.21028.1:411-2795|+    -            795 8280at50557          -           1153   2.3e-80  269.3  47.1   1   5   1.3e-20     1e-18   65.1   0.4   102   225     7   133     3   138 0.91 -
7376at50557_121225_0:001986|STRG.21028.1:411-2795|+    -            795 8280at50557          -           1153   2.3e-80  269.3  47.1   2   5   2.3e-09   1.8e-07   27.9   0.5   130   198   111   179   109   182 0.83 -
7376at50557_121225_0:001986|STRG.21028.1:411-2795|+    -            795 8280at50557          -           1153   2.3e-80  269.3  47.1   3   5   1.9e-45   1.5e-43  147.4  23.6   434   799   144   513   141   514 0.93 -
7376at50557_121225_0:001986|STRG.21028.1:411-2795|+    -            795 8280at50557          -           1153   2.3e-80  269.3  47.1   4   5    0.0032      0.25    7.5   0.2  1080  1131   523   573   518   598 0.79 -
7376at50557_121225_0:001986|STRG.21028.1:411-2795|+    -            795 8280at50557          -           1153   2.3e-80  269.3  47.1   5   5   1.4e-16   1.1e-14   51.8   3.8   488   597   657   765   642   785 0.88 -
8280at50557_7395_0:001be1|STRG.12135.2:309-1426|+      -            289 8280at50557          -           1153   1.2e-79  266.9  12.4   1   2   1.6e-35   1.3e-33  114.5   3.0   875   964     1    90     1   101 0.95 -
8280at50557_7395_0:001be1|STRG.12135.2:309-1426|+      -            289 8280at50557          -           1153   1.2e-79  266.9  12.4   2   2   2.7e-46   2.1e-44  150.2   2.0  1011  1150   113   289    92   289 0.83 -
25718at50557_54969_0:001d6b|STRG.20998.1:501-2948|+    -            816 8280at50557          -           1153   1.7e-75  253.2  42.6   1   6   9.5e-20   7.4e-18   62.3   9.2   763   919     1   162     1   165 0.84 -
25718at50557_54969_0:001d6b|STRG.20998.1:501-2948|+    -            816 8280at50557          -           1153   1.7e-75  253.2  42.6   2   6   8.6e-24   6.6e-22   75.7   2.2   477   596   167   285   164   288 0.96 -
25718at50557_54969_0:001d6b|STRG.20998.1:501-2948|+    -            816 8280at50557          -           1153   1.7e-75  253.2  42.6   3   6   4.1e-23   3.2e-21   73.4   3.9   122   269   280   428   280   435 0.91 -
25718at50557_54969_0:001d6b|STRG.20998.1:501-2948|+    -            816 8280at50557          -           1153   1.7e-75  253.2  42.6   4   6   7.4e-08   5.7e-06   22.9   0.6   115   202   413   498   405   522 0.51 -
25718at50557_54969_0:001d6b|STRG.20998.1:501-2948|+    -            816 8280at50557          -           1153   1.7e-75  253.2  42.6   5   6       0.5        39    0.3   0.1  1074  1111   499   536   490   579 0.71 -
25718at50557_54969_0:001d6b|STRG.20998.1:501-2948|+    -            816 8280at50557          -           1153   1.7e-75  253.2  42.6   6   6   4.4e-14   3.4e-12   43.5   0.0   489   597   639   746   614   757 0.91 -
8280at50557_7200_0:000e97|STRG.18179.1:117-1196|+      -            360 8280at50557          -           1153   2.6e-67  226.0  20.6   1   3   8.3e-25   6.4e-23   79.0   1.7    37   185     3   155     1   156 0.86 -
8280at50557_7200_0:000e97|STRG.18179.1:117-1196|+      -            360 8280at50557          -           1153   2.6e-67  226.0  20.6   2   3   7.1e-26   5.5e-24   82.6   1.6    96   205   140   249   140   250 0.97 -
8280at50557_7200_0:000e97|STRG.18179.1:117-1196|+      -            360 8280at50557          -           1153   2.6e-67  226.0  20.6   3   3   3.2e-28   2.5e-26   90.3   2.7    97   205   239   347   239   359 0.96 -
8280at50557_1155016_0:002e71|STRG.17467.1:563-1699|+   -            379 8280at50557          -           1153     2e-61  206.5  38.8   1   3   4.7e-16   3.6e-14   50.0   0.5   113   207    24   117     1   122 0.90 -
8280at50557_1155016_0:002e71|STRG.17467.1:563-1699|+   -            379 8280at50557          -           1153     2e-61  206.5  38.8   2   3   2.3e-29   1.8e-27   94.1  11.7   485   660   120   301   115   302 0.91 -
8280at50557_1155016_0:002e71|STRG.17467.1:563-1699|+   -            379 8280at50557          -           1153     2e-61  206.5  38.8   3   3   1.6e-27   1.2e-25   88.1  12.3   437   620   196   373   194   378 0.96 -
7376at50557_1507135_0:001a56|STRG.5591.1:699-3095|+    -            799 8280at50557          -           1153   2.7e-61  206.1   0.0   1   5   8.9e-15   6.8e-13   45.8   0.0   119   242     4   127     1   160 0.90 -
7376at50557_1507135_0:001a56|STRG.5591.1:699-3095|+    -            799 8280at50557          -           1153   2.7e-61  206.1   0.0   2   5   1.1e-14   8.1e-13   45.6   0.0   503   612   229   338   208   344 0.68 -
7376at50557_1507135_0:001a56|STRG.5591.1:699-3095|+    -            799 8280at50557          -           1153   2.7e-61  206.1   0.0   3   5   2.7e-16   2.1e-14   50.8   0.9   533   617   457   542   447   544 0.95 -
7376at50557_1507135_0:001a56|STRG.5591.1:699-3095|+    -            799 8280at50557          -           1153   2.7e-61  206.1   0.0   4   5   1.7e-09   1.3e-07   28.3   0.0   880   950   529   601   528   629 0.84 -
7376at50557_1507135_0:001a56|STRG.5591.1:699-3095|+    -            799 8280at50557          -           1153   2.7e-61  206.1   0.0   5   5     1e-13   7.8e-12   42.3   0.0   119   222   697   798   690   799 0.92 -
25718at50557_7536_0:0032ee|STRG.21023.1:1047-2792|+    -            582 8280at50557          -           1153     1e-60  204.2  44.2   1   5   3.9e-08     3e-06   23.8   0.4   131   225     1   100     1   113 0.81 -
25718at50557_7536_0:0032ee|STRG.21023.1:1047-2792|+    -            582 8280at50557          -           1153     1e-60  204.2  44.2   2   5   6.1e-21   4.7e-19   66.2  11.3   718   857   136   279   131   280 0.83 -
25718at50557_7536_0:0032ee|STRG.21023.1:1047-2792|+    -            582 8280at50557          -           1153     1e-60  204.2  44.2   3   5   2.5e-21   1.9e-19   67.5   5.8   132   248   277   392   273   394 0.97 -
25718at50557_7536_0:0032ee|STRG.21023.1:1047-2792|+    -            582 8280at50557          -           1153     1e-60  204.2  44.2   4   5   1.7e-17   1.3e-15   54.8   1.4   504   625   372   491   370   493 0.92 -
25718at50557_7536_0:0032ee|STRG.21023.1:1047-2792|+    -            582 8280at50557          -           1153     1e-60  204.2  44.2   5   5   1.5e-08   1.2e-06   25.2   1.3   508   602   493   582   490   582 0.87 -
25718at50557_7536_0:0032ee|STRG.21023.2:315-2060|+     -            582 8280at50557          -           1153     1e-60  204.2  44.2   1   5   3.9e-08     3e-06   23.8   0.4   131   225     1   100     1   113 0.81 -
25718at50557_7536_0:0032ee|STRG.21023.2:315-2060|+     -            582 8280at50557          -           1153     1e-60  204.2  44.2   2   5   6.1e-21   4.7e-19   66.2  11.3   718   857   136   279   131   280 0.83 -
25718at50557_7536_0:0032ee|STRG.21023.2:315-2060|+     -            582 8280at50557          -           1153     1e-60  204.2  44.2   3   5   2.5e-21   1.9e-19   67.5   5.8   132   248   277   392   273   394 0.97 -
25718at50557_7536_0:0032ee|STRG.21023.2:315-2060|+     -            582 8280at50557          -           1153     1e-60  204.2  44.2   4   5   1.7e-17   1.3e-15   54.8   1.4   504   625   372   491   370   493 0.92 -
25718at50557_7536_0:0032ee|STRG.21023.2:315-2060|+     -            582 8280at50557          -           1153     1e-60  204.2  44.2   5   5   1.5e-08   1.2e-06   25.2   1.3   508   602   493   582   490   582 0.87 -
8280at50557_113334_0:00096f|STRG.7494.1:329-1528|+     -            400 8280at50557          -           1153   8.1e-60  201.2  14.6   1   3   2.4e-13   1.9e-11   41.1   0.0    88   159    26    97     6    99 0.91 -
8280at50557_113334_0:00096f|STRG.7494.1:329-1528|+     -            400 8280at50557          -           1153   8.1e-60  201.2  14.6   2   3   3.3e-28   2.6e-26   90.3   3.5    84   246    94   256    90   258 0.94 -
8280at50557_113334_0:00096f|STRG.7494.1:329-1528|+     -            400 8280at50557          -           1153   8.1e-60  201.2  14.6   3   3     2e-23   1.6e-21   74.4   0.4   427   571   260   399   258   400 0.86 -
8280at50557_74869_0:001375|STRG.4312.1:344-1906|+      -            521 8280at50557          -           1153   2.1e-53  180.0  35.5   1   3   5.8e-17   4.5e-15   53.1   0.7   120   250     5   130     2   132 0.92 -
8280at50557_74869_0:001375|STRG.4312.1:344-1906|+      -            521 8280at50557          -           1153   2.1e-53  180.0  35.5   2   3   1.4e-31   1.1e-29  101.5  20.0   545   856   124   426   122   438 0.88 -
8280at50557_74869_0:001375|STRG.4312.1:344-1906|+      -            521 8280at50557          -           1153   2.1e-53  180.0  35.5   3   3   4.1e-16   3.2e-14   50.2   5.7   476   619   372   520   368   521 0.91 -
8280at50557_74869_0:001375|STRG.4312.2:569-2131|+      -            521 8280at50557          -           1153   2.1e-53  180.0  35.5   1   3   5.8e-17   4.5e-15   53.1   0.7   120   250     5   130     2   132 0.92 -
8280at50557_74869_0:001375|STRG.4312.2:569-2131|+      -            521 8280at50557          -           1153   2.1e-53  180.0  35.5   2   3   1.4e-31   1.1e-29  101.5  20.0   545   856   124   426   122   438 0.88 -
8280at50557_74869_0:001375|STRG.4312.2:569-2131|+      -            521 8280at50557          -           1153   2.1e-53  180.0  35.5   3   3   4.1e-16   3.2e-14   50.2   5.7   476   619   372   520   368   521 0.91 -
