#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
30467at50557_144034_0:0022a4|STRG.11077.1:36-2123|+   -            696 30467at50557         -            614         0 1045.5   5.6   1   1         0         0 1045.2   5.6     8   592    50   695    43   696 0.93 -
80377at50557_30019_0:0008bb|STRG.9047.4:293-883|+     -            197 30467at50557         -            614     7e-08   30.2   0.1   1   2   3.7e-07     6e-05   20.6   0.1   187   259     8    85     3    88 0.77 -
80377at50557_30019_0:0008bb|STRG.9047.4:293-883|+     -            197 30467at50557         -            614     7e-08   30.2   0.1   2   2    0.0024      0.39    7.9   0.0   185   250    90   160    86   187 0.75 -
40115at50557_156304_0:001c45|STRG.9047.1:153-1079|+   -            309 30467at50557         -            614   1.1e-07   29.6   0.2   1   3    0.0097       1.6    5.9   0.1   187   243    68   131    52   148 0.69 -
40115at50557_156304_0:001c45|STRG.9047.1:153-1079|+   -            309 30467at50557         -            614   1.1e-07   29.6   0.2   2   3   5.8e-07   9.5e-05   19.9   0.2   186   259   109   187    86   192 0.79 -
40115at50557_156304_0:001c45|STRG.9047.1:153-1079|+   -            309 30467at50557         -            614   1.1e-07   29.6   0.2   3   3    0.0058      0.94    6.7   0.0   185   250   192   262   188   291 0.75 -
40115at50557_156304_0:001c45|STRG.9047.3:195-1121|+   -            309 30467at50557         -            614   1.1e-07   29.6   0.2   1   3    0.0097       1.6    5.9   0.1   187   243    68   131    52   148 0.69 -
40115at50557_156304_0:001c45|STRG.9047.3:195-1121|+   -            309 30467at50557         -            614   1.1e-07   29.6   0.2   2   3   5.8e-07   9.5e-05   19.9   0.2   186   259   109   187    86   192 0.79 -
40115at50557_156304_0:001c45|STRG.9047.3:195-1121|+   -            309 30467at50557         -            614   1.1e-07   29.6   0.2   3   3    0.0058      0.94    6.7   0.0   185   250   192   262   188   291 0.75 -
40115at50557_156304_0:001c45|STRG.9047.2:292-1242|+   -            317 30467at50557         -            614   1.2e-07   29.4   0.2   1   3    0.0098       1.6    5.9   0.1   187   243    76   139    55   156 0.71 -
40115at50557_156304_0:001c45|STRG.9047.2:292-1242|+   -            317 30467at50557         -            614   1.2e-07   29.4   0.2   2   3   6.1e-07   9.9e-05   19.8   0.2   186   259   117   195    94   200 0.79 -
