#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
89456at50557_34720_0:000c24|STRG.6096.1:0-1019|+      -            340 89456at50557         -            230   7.9e-75  249.9   2.7   1   1   1.4e-75   2.4e-73  245.0   2.7     1   226    52   329    52   336 0.84 -
89456at50557_30025_0:000362|STRG.10696.1:910-1428|+   -            173 89456at50557         -            230   1.3e-11   43.0   0.5   1   1     8e-13   1.4e-10   39.7   0.5     4    93     9   104     6   173 0.68 -
89456at50557_30025_0:000362|STRG.10696.2:621-1139|+   -            173 89456at50557         -            230   1.3e-11   43.0   0.5   1   1     8e-13   1.4e-10   39.7   0.5     4    93     9   104     6   173 0.68 -
89456at50557_30025_0:000362|STRG.10696.3:597-1115|+   -            173 89456at50557         -            230   1.3e-11   43.0   0.5   1   1     8e-13   1.4e-10   39.7   0.5     4    93     9   104     6   173 0.68 -
89456at50557_30023_0:0003b5|STRG.11844.1:808-1299|+   -            164 89456at50557         -            230   5.1e-10   37.8   0.0   1   1   4.9e-11   8.3e-09   33.9   0.0     7   142     1   153     1   160 0.75 -
36185at50557_77166_0:001a90|STRG.5961.2:1297-2340|+   -            348 89456at50557         -            230   1.8e-09   36.0   1.0   1   2     0.093        16    3.5   0.1    94   109    35    52     4    55 0.68 -
36185at50557_77166_0:001a90|STRG.5961.2:1297-2340|+   -            348 89456at50557         -            230   1.8e-09   36.0   1.0   2   2   3.6e-10   6.2e-08   31.0   0.1     3    63   174   231   172   244 0.84 -
36185at50557_77166_0:001a90|STRG.5961.3:387-1430|+    -            348 89456at50557         -            230   1.8e-09   36.0   1.0   1   2     0.093        16    3.5   0.1    94   109    35    52     4    55 0.68 -
36185at50557_77166_0:001a90|STRG.5961.3:387-1430|+    -            348 89456at50557         -            230   1.8e-09   36.0   1.0   2   2   3.6e-10   6.2e-08   31.0   0.1     3    63   174   231   172   244 0.84 -
36185at50557_77166_0:001a90|STRG.5961.1:1297-2358|+   -            354 89456at50557         -            230   1.9e-09   36.0   1.0   1   2     0.096        16    3.4   0.1    94   109    35    52     4    55 0.68 -
36185at50557_77166_0:001a90|STRG.5961.1:1297-2358|+   -            354 89456at50557         -            230   1.9e-09   36.0   1.0   2   2   3.7e-10   6.3e-08   31.0   0.1     3    63   174   231   172   244 0.84 -
36185at50557_56086_0:003183|STRG.1185.1:511-1455|+    -            315 89456at50557         -            230   2.3e-09   35.7   1.1   1   2       0.4        68    1.4   0.0    98   111    41    54     2    66 0.63 -
36185at50557_56086_0:003183|STRG.1185.1:511-1455|+    -            315 89456at50557         -            230   2.3e-09   35.7   1.1   2   2   9.1e-11   1.5e-08   33.0   0.2     2    82   126   203   125   230 0.83 -
36185at50557_56086_0:003183|STRG.1185.2:510-1454|+    -            315 89456at50557         -            230   2.3e-09   35.7   1.1   1   2       0.4        68    1.4   0.0    98   111    41    54     2    66 0.63 -
36185at50557_56086_0:003183|STRG.1185.2:510-1454|+    -            315 89456at50557         -            230   2.3e-09   35.7   1.1   2   2   9.1e-11   1.5e-08   33.0   0.2     2    82   126   203   125   230 0.83 -
36185at50557_56086_0:003183|STRG.1185.3:396-1340|+    -            315 89456at50557         -            230   2.3e-09   35.7   1.1   1   2       0.4        68    1.4   0.0    98   111    41    54     2    66 0.63 -
36185at50557_56086_0:003183|STRG.1185.3:396-1340|+    -            315 89456at50557         -            230   2.3e-09   35.7   1.1   2   2   9.1e-11   1.5e-08   33.0   0.2     2    82   126   203   125   230 0.83 -
89456at50557_454923_0:00266c|STRG.1950.1:153-998|+    -            282 89456at50557         -            230     5e-08   31.3   0.1   1   2     3e-09   5.1e-07   28.0   0.0     4    96    12   108    10   122 0.76 -
89456at50557_454923_0:00266c|STRG.1950.1:153-998|+    -            282 89456at50557         -            230     5e-08   31.3   0.1   2   2      0.54        92    1.0   0.0    97   111   186   200   159   205 0.84 -
89456at50557_121225_0:0003b4|STRG.10263.1:666-1190|+  -            175 89456at50557         -            230   1.2e-07   30.1   0.0   1   2     2e-07   3.3e-05   22.0   0.0     7    65     1    58     1    84 0.83 -
89456at50557_121225_0:0003b4|STRG.10263.1:666-1190|+  -            175 89456at50557         -            230   1.2e-07   30.1   0.0   2   2     0.012       2.1    6.4   0.1    98   143   110   161    94   168 0.83 -
