#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
57153at50557_103372_0:001f4c|STRG.13758.3:556-1647|+  -            364 57153at50557         -            185   9.8e-83  275.4  13.6   1   1   3.6e-82   1.3e-79  265.2  13.6     1   185   118   345   118   345 0.89 -
57153at50557_34720_0:000896|STRG.13758.1:3-1295|+     -            431 57153at50557         -            185   1.7e-82  274.6  13.5   1   1   5.4e-82     2e-79  264.7  13.5     1   185   185   412   185   412 0.89 -
57153at50557_520822_0:0002bb|STRG.13758.2:15-1487|+   -            491 57153at50557         -            185   2.8e-82  273.9  13.5   1   1   7.5e-82   2.7e-79  264.2  13.5     1   185   245   472   245   472 0.89 -
57153at50557_39758_0:003c84|STRG.5778.4:473-1009|+    -            179 57153at50557         -            185   3.2e-25   87.9   5.0   1   1   2.9e-27     1e-24   86.3   5.0    29   177     2   175     1   179 0.80 -
57153at50557_7244_0:001c0f|STRG.5778.3:296-1258|+     -            321 57153at50557         -            185   1.1e-24   86.2   6.5   1   2      0.44   1.6e+02    0.9   0.0     1    24    84   107    84   118 0.76 -
57153at50557_7244_0:001c0f|STRG.5778.3:296-1258|+     -            321 57153at50557         -            185   1.1e-24   86.2   6.5   2   2   1.5e-26   5.6e-24   83.9   4.5    24   174   146   321   141   321 0.82 -
57153at50557_7244_0:001c0f|STRG.5778.1:296-1420|+     -            375 57153at50557         -            185   6.1e-24   83.7   7.6   1   2         1   3.7e+02   -0.3   0.1     1    22    84   105    83   114 0.72 -
57153at50557_7244_0:001c0f|STRG.5778.1:296-1420|+     -            375 57153at50557         -            185   6.1e-24   83.7   7.6   2   2   2.2e-26   7.9e-24   83.4   4.4    24   174   200   375   195   375 0.82 -
57153at50557_121845_0:0014c8|STRG.2227.5:434-1294|+   -            287 57153at50557         -            185   9.5e-06   24.5   5.5   1   2       3.9   1.4e+03   -2.2   0.0   148   165    45    62    38    64 0.79 -
57153at50557_121845_0:0014c8|STRG.2227.5:434-1294|+   -            287 57153at50557         -            185   9.5e-06   24.5   5.5   2   2   2.6e-08   9.6e-06   24.4   3.7     1    86    80   175    80   218 0.80 -
119324at50557_609295_0:001eaf|STRG.2959.2:0-485|+     -            162 57153at50557         -            185   1.4e-05   23.9   2.0   1   3    0.0016      0.59    8.8   0.1   143   176    47    80    39    88 0.77 -
119324at50557_609295_0:001eaf|STRG.2959.2:0-485|+     -            162 57153at50557         -            185   1.4e-05   23.9   2.0   2   3    0.0028         1    8.1   0.1   148   181    89   119    82   126 0.82 -
119324at50557_609295_0:001eaf|STRG.2959.2:0-485|+     -            162 57153at50557         -            185   1.4e-05   23.9   2.0   3   3     0.017       6.2    5.5   0.0   140   169   122   151   118   158 0.79 -
119324at50557_609295_0:001eaf|STRG.2959.1:159-668|+   -            170 57153at50557         -            185   1.7e-05   23.7   1.8   1   3    0.0018      0.65    8.7   0.1   143   176    55    88    48    96 0.76 -
119324at50557_609295_0:001eaf|STRG.2959.1:159-668|+   -            170 57153at50557         -            185   1.7e-05   23.7   1.8   2   3    0.0032       1.2    7.9   0.1   148   181    97   127    92   134 0.82 -
119324at50557_609295_0:001eaf|STRG.2959.1:159-668|+   -            170 57153at50557         -            185   1.7e-05   23.7   1.8   3   3     0.017       6.3    5.5   0.0   140   169   130   159   126   167 0.79 -
119324at50557_28612_0:006210|STRG.9528.1:384-722|+    -            113 57153at50557         -            185   7.1e-05   21.6   0.7   1   2   0.00073      0.27   10.0   0.0     1    25    11    35    11    45 0.86 -
