#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
139832at50557_103372_0:001bc5|STRG.8598.1:513-1291|+   -            251 139832at50557        -             99   6.7e-41  133.9   0.2   1   1   1.1e-41   6.4e-40  130.7   0.2     2    99    87   192    86   192 0.79 -
139832at50557_133901_0:0004e3|STRG.12358.2:362-772|+   -            137 139832at50557        -             99   3.5e-18   61.0   4.6   1   1   7.5e-20   4.3e-18   60.8   4.0    24    92    71   137    24   137 0.91 -
139832at50557_222816_0:00136a|STRG.10656.1:568-984|+   -            139 139832at50557        -             99   8.4e-14   47.0   0.9   1   2       2.8   1.6e+02   -2.0   0.0    42    51    49    58    45    82 0.66 -
139832at50557_222816_0:00136a|STRG.10656.1:568-984|+   -            139 139832at50557        -             99   8.4e-14   47.0   0.9   2   2   2.3e-15   1.3e-13   46.4   0.5    29    81    89   139    64   139 0.90 -
139832at50557_1155016_0:001c63|STRG.7932.1:699-911|+   -             71 139832at50557        -             99   7.5e-12   40.7   0.9   1   1   1.6e-13   9.1e-12   40.5   0.9    29    81    21    71     6    71 0.89 -
139832at50557_568069_0:000194|STRG.8942.1:81-401|+     -            107 139832at50557        -             99   2.9e-11   38.8   0.2   1   1   5.8e-13   3.3e-11   38.7   0.2    20    83    40   102    23   107 0.80 -
139832at50557_7038_0:002dbe|STRG.5605.1:174-542|+      -            123 139832at50557        -             99   3.8e-11   38.5   1.8   1   3       5.8   3.3e+02   -3.0   0.0    56    64     2    10     1    16 0.81 -
139832at50557_7038_0:002dbe|STRG.5605.1:174-542|+      -            123 139832at50557        -             99   3.8e-11   38.5   1.8   2   3      0.45        26    0.5   0.1    14    42    20    48    10    52 0.77 -
139832at50557_7038_0:002dbe|STRG.5605.1:174-542|+      -            123 139832at50557        -             99   3.8e-11   38.5   1.8   3   3   1.8e-12     1e-10   37.1   0.0    30    82    66   116    56   122 0.87 -
139832at50557_7038_0:002dbe|STRG.5605.2:275-643|+      -            123 139832at50557        -             99   3.8e-11   38.5   1.8   1   3       5.8   3.3e+02   -3.0   0.0    56    64     2    10     1    16 0.81 -
139832at50557_7038_0:002dbe|STRG.5605.2:275-643|+      -            123 139832at50557        -             99   3.8e-11   38.5   1.8   2   3      0.45        26    0.5   0.1    14    42    20    48    10    52 0.77 -
139832at50557_7038_0:002dbe|STRG.5605.2:275-643|+      -            123 139832at50557        -             99   3.8e-11   38.5   1.8   3   3   1.8e-12     1e-10   37.1   0.0    30    82    66   116    56   122 0.87 -
139832at50557_1155016_0:001c63|STRG.16251.1:807-1070|+ -             88 139832at50557        -             99   4.2e-08   28.7   0.1   1   1   8.9e-10   5.1e-08   28.4   0.1    38    88     1    50     1    57 0.88 -
139832at50557_1155016_0:001c63|STRG.16251.2:601-864|+  -             88 139832at50557        -             99   4.2e-08   28.7   0.1   1   1   8.9e-10   5.1e-08   28.4   0.1    38    88     1    50     1    57 0.88 -
139832at50557_1155016_0:001c63|STRG.16251.3:777-1040|+ -             88 139832at50557        -             99   4.2e-08   28.7   0.1   1   1   8.9e-10   5.1e-08   28.4   0.1    38    88     1    50     1    57 0.88 -
139832at50557_1155016_0:001c63|STRG.16251.4:846-1109|+ -             88 139832at50557        -             99   4.2e-08   28.7   0.1   1   1   8.9e-10   5.1e-08   28.4   0.1    38    88     1    50     1    57 0.88 -
139832at50557_1155016_0:001c63|STRG.16251.5:816-1079|+ -             88 139832at50557        -             99   4.2e-08   28.7   0.1   1   1   8.9e-10   5.1e-08   28.4   0.1    38    88     1    50     1    57 0.88 -
139832at50557_28612_0:000da3|STRG.8898.4:1959-2474|+   -            172 139832at50557        -             99   9.4e-06   21.2   0.5   1   1   2.1e-07   1.2e-05   20.8   0.5    18    55   109   146    92   172 0.79 -
139832at50557_28612_0:000da3|STRG.8898.5:1623-2138|+   -            172 139832at50557        -             99   9.4e-06   21.2   0.5   1   1   2.1e-07   1.2e-05   20.8   0.5    18    55   109   146    92   172 0.79 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/139832at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/rerun_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/rerun_results/139832at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/139832at50557.hmm annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/rerun_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 21:06:26 2024
# [ok]
