#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
139832at50557_103372_0:001bc5|STRG.8598.1:513-1291|+   -            251 139832at50557        -             99   7.4e-40  133.9   0.2   1   1   8.9e-42   7.1e-39  130.7   0.2     2    99    87   192    86   192 0.79 -
139832at50557_133901_0:0004e3|STRG.12358.2:362-772|+   -            137 139832at50557        -             99   3.9e-17   61.0   4.6   1   1   5.9e-20   4.7e-17   60.8   4.0    24    92    71   137    24   137 0.91 -
75748at50557_535359_0:0007e6|STRG.12250.1:480-647|+    -             56 139832at50557        -             99   2.4e-14   52.1   0.4   1   1     3e-17   2.4e-14   52.1   0.4    31    82     5    54     1    56 0.92 -
139832at50557_222816_0:00136a|STRG.10656.1:568-984|+   -            139 139832at50557        -             99   9.2e-13   47.0   0.9   1   2       2.2   1.7e+03   -2.0   0.0    42    51    49    58    45    82 0.66 -
139832at50557_222816_0:00136a|STRG.10656.1:568-984|+   -            139 139832at50557        -             99   9.2e-13   47.0   0.9   2   2   1.8e-15   1.4e-12   46.4   0.5    29    81    89   139    64   139 0.90 -
139832at50557_1155016_0:001c63|STRG.7932.1:699-911|+   -             71 139832at50557        -             99   8.3e-11   40.7   0.9   1   1   1.2e-13     1e-10   40.5   0.9    29    81    21    71     6    71 0.89 -
139832at50557_7038_0:002dbe|STRG.5605.1:174-542|+      -            123 139832at50557        -             99   4.2e-10   38.5   1.8   1   3       4.5   3.6e+03   -3.0   0.0    56    64     2    10     1    16 0.81 -
139832at50557_7038_0:002dbe|STRG.5605.1:174-542|+      -            123 139832at50557        -             99   4.2e-10   38.5   1.8   2   3      0.35   2.8e+02    0.5   0.1    14    42    20    48    10    52 0.77 -
139832at50557_7038_0:002dbe|STRG.5605.1:174-542|+      -            123 139832at50557        -             99   4.2e-10   38.5   1.8   3   3   1.4e-12   1.1e-09   37.1   0.0    30    82    66   116    56   122 0.87 -
139832at50557_7038_0:002dbe|STRG.5605.2:275-643|+      -            123 139832at50557        -             99   4.2e-10   38.5   1.8   1   3       4.5   3.6e+03   -3.0   0.0    56    64     2    10     1    16 0.81 -
139832at50557_7038_0:002dbe|STRG.5605.2:275-643|+      -            123 139832at50557        -             99   4.2e-10   38.5   1.8   2   3      0.35   2.8e+02    0.5   0.1    14    42    20    48    10    52 0.77 -
139832at50557_7038_0:002dbe|STRG.5605.2:275-643|+      -            123 139832at50557        -             99   4.2e-10   38.5   1.8   3   3   1.4e-12   1.1e-09   37.1   0.0    30    82    66   116    56   122 0.87 -
149245at50557_326594_0:000fa9|STRG.2741.2:2234-2461|+  -             76 139832at50557        -             99   3.2e-06   26.0   0.0   1   1   4.3e-09   3.4e-06   25.9   0.0    32    90    15    71     3    75 0.87 -
75748at50557_34720_0:000cd7|STRG.10378.1:1170-2873|+   -            568 139832at50557        -             99   1.2e-05   24.1   0.2   1   1   4.2e-08   3.3e-05   22.7   0.2    20    83    94   155    70   170 0.79 -
114148at50557_110193_0:0001b8|STRG.13582.1:2834-3358|+ -            175 139832at50557        -             99   0.00024   20.0   0.4   1   2   6.2e-06     0.005   15.8   0.2    38    82    12    56     2    69 0.83 -
114148at50557_110193_0:0001b8|STRG.13582.1:2834-3358|+ -            175 139832at50557        -             99   0.00024   20.0   0.4   2   2      0.08        64    2.6   0.0    40    60    73    93    56   115 0.57 -
114148at50557_110193_0:0001b8|STRG.13582.2:2768-3292|+ -            175 139832at50557        -             99   0.00024   20.0   0.4   1   2   6.2e-06     0.005   15.8   0.2    38    82    12    56     2    69 0.83 -
114148at50557_110193_0:0001b8|STRG.13582.2:2768-3292|+ -            175 139832at50557        -             99   0.00024   20.0   0.4   2   2      0.08        64    2.6   0.0    40    60    73    93    56   115 0.57 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/139832at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/139832at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/139832at50557.hmm annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 20:23:12 2024
# [ok]
