#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
80377at50557_456900_0:000374|STRG.2435.1:0-1046|+      -            349 80377at50557         -            287  2.8e-159  527.4   0.0   1   1  1.6e-160  4.8e-159  526.7   0.0     8   287    42   348    36   348 0.95 -
40115at50557_7370_0:002473|STRG.931.2:264-1381|+       -            291 80377at50557         -            287   2.1e-44  150.5   4.7   1   2   6.8e-05     0.002   16.0   0.0    57    89     2    34     1    43 0.84 -
40115at50557_7370_0:002473|STRG.931.2:264-1381|+       -            291 80377at50557         -            287   2.1e-44  150.5   4.7   2   2   1.2e-38   3.5e-37  126.8   2.7    56   278    43   282    36   288 0.85 -
80377at50557_121845_0:0030d4|STRG.931.1:117-983|+      -            289 80377at50557         -            287   3.1e-44  149.9   4.6   1   2   0.00011    0.0034   15.3   0.0    57    89     1    33     1    42 0.84 -
80377at50557_121845_0:0030d4|STRG.931.1:117-983|+      -            289 80377at50557         -            287   3.1e-44  149.9   4.6   2   2     1e-38     3e-37  127.0   2.6    56   278    42   281    35   287 0.85 -
40115at50557_103372_0:0021d6|STRG.4708.1:0-1442|+      -            481 80377at50557         -            287   1.4e-38  131.4  11.0   1   4   2.4e-13   7.3e-12   43.7   0.4   151   268   103   215    71   230 0.81 -
40115at50557_103372_0:0021d6|STRG.4708.1:0-1442|+      -            481 80377at50557         -            287   1.4e-38  131.4  11.0   2   4   1.1e-07   3.3e-06   25.1   2.2    35   110   227   301   224   307 0.87 -
40115at50557_103372_0:0021d6|STRG.4708.1:0-1442|+      -            481 80377at50557         -            287   1.4e-38  131.4  11.0   3   4   1.5e-12   4.7e-11   41.1   0.0    35   114   342   422   325   425 0.87 -
40115at50557_103372_0:0021d6|STRG.4708.1:0-1442|+      -            481 80377at50557         -            287   1.4e-38  131.4  11.0   4   4   5.1e-08   1.5e-06   26.2   0.1   221   281   415   475   411   478 0.93 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+    -            712 80377at50557         -            287   9.8e-36  122.0  22.4   1   6   1.1e-07   3.3e-06   25.1   0.2   140   271    17   147     4   153 0.80 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+    -            712 80377at50557         -            287   9.8e-36  122.0  22.4   2   6   7.9e-16   2.4e-14   51.8   4.0    35   247   109   327   100   332 0.82 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+    -            712 80377at50557         -            287   9.8e-36  122.0  22.4   3   6    0.0025     0.076   10.8   0.0    46    91   364   408   325   414 0.54 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+    -            712 80377at50557         -            287   9.8e-36  122.0  22.4   4   6   1.8e-09   5.3e-08   31.0   0.1   151   275   417   534   409   542 0.85 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+    -            712 80377at50557         -            287   9.8e-36  122.0  22.4   5   6   0.00012    0.0036   15.2   0.1    56   106   637   689   626   690 0.82 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+    -            712 80377at50557         -            287   9.8e-36  122.0  22.4   6   6     0.022      0.67    7.7   0.0   158   193   677   712   673   712 0.89 -
80377at50557_77166_0:002f29|STRG.10610.1:593-1507|+    -            305 80377at50557         -            287   2.5e-30  104.3   4.3   1   1   4.5e-31   1.3e-29  101.9   4.3    20   280    19   301    12   304 0.83 -
31374at50557_103372_0:0017b9|STRG.8335.1:0-1955|+      -            652 80377at50557         -            287   3.7e-30  103.7   4.1   1   4     0.037       1.1    7.0   0.0    63   123   325   384   315   389 0.75 -
31374at50557_103372_0:0017b9|STRG.8335.1:0-1955|+      -            652 80377at50557         -            287   3.7e-30  103.7   4.1   2   4   3.4e-14     1e-12   46.5   0.2   149   280   378   502   367   506 0.89 -
31374at50557_103372_0:0017b9|STRG.8335.1:0-1955|+      -            652 80377at50557         -            287   3.7e-30  103.7   4.1   3   4     8e-08   2.4e-06   25.6   0.0    51    91   512   552   502   557 0.88 -
31374at50557_103372_0:0017b9|STRG.8335.1:0-1955|+      -            652 80377at50557         -            287   3.7e-30  103.7   4.1   4   4   1.6e-07   4.8e-06   24.6   0.1   158   229   556   631   552   644 0.71 -
49370at50557_2015173_0:001990|STRG.18790.1:60-1046|+   -            329 80377at50557         -            287   2.1e-29  101.3   2.9   1   3   0.00077     0.023   12.5   0.0    55    92    35    72    25    81 0.74 -
49370at50557_2015173_0:001990|STRG.18790.1:60-1046|+   -            329 80377at50557         -            287   2.1e-29  101.3   2.9   2   3   4.5e-13   1.4e-11   42.8   0.1   128   278    86   235    81   236 0.86 -
49370at50557_2015173_0:001990|STRG.18790.1:60-1046|+   -            329 80377at50557         -            287   2.1e-29  101.3   2.9   3   3   3.3e-18   9.9e-17   59.7   0.1    56   193   166   328   159   329 0.77 -
80377at50557_30019_0:0008bb|STRG.3746.1:1380-2240|+    -            287 80377at50557         -            287   2.7e-28   97.6  13.3   1   3   7.1e-05    0.0021   15.9   0.2   161   211    10    55     5    57 0.54 -
80377at50557_30019_0:0008bb|STRG.3746.1:1380-2240|+    -            287 80377at50557         -            287   2.7e-28   97.6  13.3   2   3   2.5e-21   7.5e-20   69.9   4.6    51   212    48   216    42   220 0.81 -
80377at50557_30019_0:0008bb|STRG.3746.1:1380-2240|+    -            287 80377at50557         -            287   2.7e-28   97.6  13.3   3   3   3.3e-06    0.0001   20.3   0.2   139   196   228   287   218   287 0.79 -
33043at50557_454923_0:001231|STRG.13622.1:2758-4128|+  -            457 80377at50557         -            287   1.2e-26   92.2   7.4   1   5   1.2e-05   0.00036   18.5   0.0   127   277     4   147     1   156 0.87 -
33043at50557_454923_0:001231|STRG.13622.1:2758-4128|+  -            457 80377at50557         -            287   1.2e-26   92.2   7.4   2   5   1.1e-07   3.2e-06   25.2   0.0   137   194   190   248   175   251 0.85 -
33043at50557_454923_0:001231|STRG.13622.1:2758-4128|+  -            457 80377at50557         -            287   1.2e-26   92.2   7.4   3   5   4.2e-05    0.0013   16.6   0.1   109   195   277   371   273   386 0.72 -
33043at50557_454923_0:001231|STRG.13622.1:2758-4128|+  -            457 80377at50557         -            287   1.2e-26   92.2   7.4   4   5   8.9e-08   2.7e-06   25.4   0.7   129   196   346   415   340   421 0.83 -
33043at50557_454923_0:001231|STRG.13622.1:2758-4128|+  -            457 80377at50557         -            287   1.2e-26   92.2   7.4   5   5   5.8e-08   1.7e-06   26.0   0.6   134   195   395   456   388   457 0.87 -
33043at50557_454923_0:001231|STRG.13622.2:2961-4331|+  -            457 80377at50557         -            287   1.2e-26   92.2   7.4   1   5   1.2e-05   0.00036   18.5   0.0   127   277     4   147     1   156 0.87 -
33043at50557_454923_0:001231|STRG.13622.2:2961-4331|+  -            457 80377at50557         -            287   1.2e-26   92.2   7.4   2   5   1.1e-07   3.2e-06   25.2   0.0   137   194   190   248   175   251 0.85 -
