#                                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
17536at50557_103372_0:00299d|STRG.7965.1:0-1967|+       -            656 17536at50557         -            591  3.1e-212  704.9  28.3   1   1  8.1e-211  5.7e-209  694.1  28.3    74   591     1   655     1   655 0.83 -
98621at50557_7425_0:001b7b|STRG.5228.1:804-1544|+       -            247 17536at50557         -            591   2.1e-19   68.1   0.0   1   1   3.9e-21   2.7e-19   67.7   0.0   393   589    16   244     2   246 0.75 -
45935at50557_67767_0:003589|STRG.10176.4:2183-3085|+    -            301 17536at50557         -            591   2.7e-18   64.5   0.1   1   1   6.6e-20   4.6e-18   63.7   0.1   369   591    24   297    15   297 0.70 -
45935at50557_67767_0:003589|STRG.10176.5:2295-3197|+    -            301 17536at50557         -            591   2.7e-18   64.5   0.1   1   1   6.6e-20   4.6e-18   63.7   0.1   369   591    24   297    15   297 0.70 -
45935at50557_6973_0:001b70|STRG.10176.1:1751-2524|+     -            258 17536at50557         -            591   1.3e-17   62.2   0.0   1   1   3.1e-19   2.1e-17   61.5   0.0   396   591    16   254     7   254 0.74 -
45935at50557_6973_0:001b70|STRG.10176.2:1542-2315|+     -            258 17536at50557         -            591   1.3e-17   62.2   0.0   1   1   3.1e-19   2.1e-17   61.5   0.0   396   591    16   254     7   254 0.74 -
45935at50557_6973_0:001b70|STRG.10176.3:2440-3213|+     -            258 17536at50557         -            591   1.3e-17   62.2   0.0   1   1   3.1e-19   2.1e-17   61.5   0.0   396   591    16   254     7   254 0.74 -
98621at50557_79782_0:0026bc|STRG.10339.1:54-839|+       -            262 17536at50557         -            591   6.5e-17   59.9   0.2   1   1   3.4e-18   2.3e-16   58.0   0.2   396   590    25   259    15   260 0.76 -
107413at50557_103372_0:00285a|STRG.12287.1:56-1173|+    -            297 17536at50557         -            591   8.6e-17   59.5   0.0   1   1   1.5e-18   1.1e-16   59.2   0.0   394   591    56   290    41   290 0.77 -
17536at50557_7493_0:002a62|STRG.11187.3:6474-7784|+     -            437 17536at50557         -            591   2.3e-16   58.1  27.5   1   3     0.039       2.8    5.0  14.8   257   304     1    57     1    62 0.76 -
17536at50557_7493_0:002a62|STRG.11187.3:6474-7784|+     -            437 17536at50557         -            591   2.3e-16   58.1  27.5   2   3   0.00012    0.0085   13.3   4.0   271   302    58    91    51   101 0.83 -
