#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
57388at50557_34720_0:00143a|STRG.9770.1:0-1529|+     -            510 57388at50557         -            360  5.6e-158  525.0  11.7   1   1  1.3e-160  9.2e-158  524.3  11.7    69   360   190   510   185   510 0.95 -
57388at50557_136037_0:002035|STRG.9775.1:649-2301|+  -            551 57388at50557         -            360  1.1e-103  346.4  16.0   1   2   4.3e-29     3e-26   91.6   3.2     1    85   124   209   124   216 0.96 -
57388at50557_136037_0:002035|STRG.9775.1:649-2301|+  -            551 57388at50557         -            360  1.1e-103  346.4  16.0   2   2     2e-80   1.4e-77  260.4   4.9    85   357   258   550   252   551 0.88 -
57388at50557_7536_0:00217a|STRG.1445.5:427-2021|+    -            489 57388at50557         -            360   2.7e-64  216.8  16.7   1   2   1.7e-19   1.2e-16   60.0   1.4     1    86    45   129    45   133 0.93 -
57388at50557_7536_0:00217a|STRG.1445.5:427-2021|+    -            489 57388at50557         -            360   2.7e-64  216.8  16.7   2   2   2.1e-50   1.5e-47  161.7   8.0    86   356   192   486   182   488 0.82 -
57388at50557_7536_0:00217a|STRG.1445.4:123-1682|+    -            450 57388at50557         -            360     7e-64  215.4  18.6   1   2   1.5e-19     1e-16   60.2   1.4     1    86     6    90     6    94 0.93 -
57388at50557_7536_0:00217a|STRG.1445.4:123-1682|+    -            450 57388at50557         -            360     7e-64  215.4  18.6   2   2   6.3e-50   4.4e-47  160.1   9.9    86   356   153   447   143   449 0.82 -
57388at50557_136037_0:002035|STRG.1445.6:123-1463|+  -            447 57388at50557         -            360   6.1e-63  212.3  19.7   1   2   4.7e-19   3.4e-16   58.6   2.2     1    86     6    90     6    94 0.93 -
57388at50557_136037_0:002035|STRG.1445.6:123-1463|+  -            447 57388at50557         -            360   6.1e-63  212.3  19.7   2   2   1.3e-49   8.9e-47  159.2   9.9    86   356   153   447   143   447 0.82 -
57388at50557_136037_0:002035|STRG.1445.1:1028-2398|+ -            457 57388at50557         -            360   6.5e-63  212.2  19.7   1   2   4.9e-19   3.5e-16   58.5   2.2     1    86    16   100    16   104 0.93 -
57388at50557_136037_0:002035|STRG.1445.1:1028-2398|+ -            457 57388at50557         -            360   6.5e-63  212.2  19.7   2   2   1.3e-49   9.1e-47  159.1   9.9    86   356   163   457   153   457 0.82 -
57388at50557_136037_0:002035|STRG.1445.2:710-2080|+  -            457 57388at50557         -            360   6.5e-63  212.2  19.7   1   2   4.9e-19   3.5e-16   58.5   2.2     1    86    16   100    16   104 0.93 -
57388at50557_136037_0:002035|STRG.1445.2:710-2080|+  -            457 57388at50557         -            360   6.5e-63  212.2  19.7   2   2   1.3e-49   9.1e-47  159.1   9.9    86   356   163   457   153   457 0.82 -
57388at50557_136037_0:002035|STRG.1445.3:1866-3236|+ -            457 57388at50557         -            360   6.5e-63  212.2  19.7   1   2   4.9e-19   3.5e-16   58.5   2.2     1    86    16   100    16   104 0.93 -
57388at50557_136037_0:002035|STRG.1445.3:1866-3236|+ -            457 57388at50557         -            360   6.5e-63  212.2  19.7   2   2   1.3e-49   9.1e-47  159.1   9.9    86   356   163   457   153   457 0.82 -
57388at50557_610380_0:001e0a|STRG.9771.2:387-1328|+  -            314 57388at50557         -            360   5.3e-53  179.6   3.5   1   2       5.2   3.7e+03   -4.1   5.9   160   204    70   114    58   120 0.84 -
57388at50557_610380_0:001e0a|STRG.9771.2:387-1328|+  -            314 57388at50557         -            360   5.3e-53  179.6   3.5   2   2   7.4e-56   5.3e-53  179.6   3.5     1    87   215   301   215   309 0.97 -
57388at50557_610380_0:001e0a|STRG.9771.3:244-1185|+  -            314 57388at50557         -            360   5.3e-53  179.6   3.5   1   2       5.2   3.7e+03   -4.1   5.9   160   204    70   114    58   120 0.84 -
57388at50557_610380_0:001e0a|STRG.9771.3:244-1185|+  -            314 57388at50557         -            360   5.3e-53  179.6   3.5   2   2   7.4e-56   5.3e-53  179.6   3.5     1    87   215   301   215   309 0.97 -
57388at50557_610380_0:001e0a|STRG.9771.1:408-1379|+  -            324 57388at50557         -            360   5.6e-53  179.6   3.5   1   2     0.082        58    1.9   0.6   159   204    79   124    45   130 0.79 -
57388at50557_610380_0:001e0a|STRG.9771.1:408-1379|+  -            324 57388at50557         -            360   5.6e-53  179.6   3.5   2   2   7.9e-56   5.6e-53  179.6   3.5     1    87   225   311   225   319 0.97 -
57388at50557_307491_0:00160e|STRG.1445.7:307-1254|+  -            316 57388at50557         -            360   2.1e-47  161.2  10.3   1   1   4.8e-50   3.4e-47  160.5  10.3    86   356    22   316    12   316 0.82 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/57388at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/57388at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/57388at50557.hmm annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 13:55:49 2024
# [ok]
