#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
114297at50557_520822_0:001a85|STRG.11059.1:27-611|+  -            195 114297at50557        -            151   4.2e-67  223.5   0.2   1   1   2.4e-70   5.6e-67  223.1   0.2     8   150    45   194    41   195 0.92 -
14133at50557_286706_0:001942|STRG.3828.1:1350-2354|+ -            335 114297at50557        -            151      0.12   11.0   0.2   1   3   5.3e-05      0.12   11.0   0.2    23    64    48    90    44    96 0.87 -
14133at50557_286706_0:001942|STRG.3828.1:1350-2354|+ -            335 114297at50557        -            151      0.12   11.0   0.2   2   3     0.013        29    3.2   0.6    42    62   182   202   150   210 0.78 -
14133at50557_286706_0:001942|STRG.3828.1:1350-2354|+ -            335 114297at50557        -            151      0.12   11.0   0.2   3   3       2.4   5.6e+03   -4.2   0.1    53    62   317   326   316   328 0.78 -
14133at50557_286706_0:001942|STRG.3828.2:1266-2270|+ -            335 114297at50557        -            151      0.12   11.0   0.2   1   3   5.3e-05      0.12   11.0   0.2    23    64    48    90    44    96 0.87 -
14133at50557_286706_0:001942|STRG.3828.2:1266-2270|+ -            335 114297at50557        -            151      0.12   11.0   0.2   2   3     0.013        29    3.2   0.6    42    62   182   202   150   210 0.78 -
14133at50557_286706_0:001942|STRG.3828.2:1266-2270|+ -            335 114297at50557        -            151      0.12   11.0   0.2   3   3       2.4   5.6e+03   -4.2   0.1    53    62   317   326   316   328 0.78 -
14133at50557_286706_0:001942|STRG.3828.3:1444-2448|+ -            335 114297at50557        -            151      0.12   11.0   0.2   1   3   5.3e-05      0.12   11.0   0.2    23    64    48    90    44    96 0.87 -
14133at50557_286706_0:001942|STRG.3828.3:1444-2448|+ -            335 114297at50557        -            151      0.12   11.0   0.2   2   3     0.013        29    3.2   0.6    42    62   182   202   150   210 0.78 -
14133at50557_286706_0:001942|STRG.3828.3:1444-2448|+ -            335 114297at50557        -            151      0.12   11.0   0.2   3   3       2.4   5.6e+03   -4.2   0.1    53    62   317   326   316   328 0.78 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/114297at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/114297at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/114297at50557.hmm annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 20:02:27 2024
# [ok]
