#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
118659at50557_143995_0:001dd5|STRG.23694.1:0-488|+   -            163 118659at50557        -            141     1e-87  290.0   2.1   1   1   5.1e-90     3e-87  288.5   2.1     1   141     8   163     8   163 0.97 -
45452at50557_7091_0:000393|STRG.20678.1:240-1364|+   -            375 118659at50557        -            141     3e-10   38.9   0.0   1   2   9.5e-12   5.5e-09   34.8   0.1    32   126    17   118     3   136 0.82 -
45452at50557_7091_0:000393|STRG.20678.1:240-1364|+   -            375 118659at50557        -            141     3e-10   38.9   0.0   2   2      0.27   1.6e+02    0.9   0.0    16    52   165   201   151   206 0.80 -
45452at50557_103372_0:000288|STRG.9805.3:0-1427|+    -            476 118659at50557        -            141   5.2e-08   31.6   0.0   1   2   2.5e-07   0.00015   20.5   0.0    21    72    91   146    75   163 0.81 -
45452at50557_103372_0:000288|STRG.9805.3:0-1427|+    -            476 118659at50557        -            141   5.2e-08   31.6   0.0   2   2    0.0011      0.62    8.7   0.0    90   117   184   211   167   226 0.82 -
45452at50557_103372_0:00030d|STRG.9805.1:221-1747|+  -            509 118659at50557        -            141   6.1e-08   31.4   0.0   1   2   2.8e-07   0.00016   20.3   0.0    21    72   124   179   108   196 0.81 -
45452at50557_103372_0:00030d|STRG.9805.1:221-1747|+  -            509 118659at50557        -            141   6.1e-08   31.4   0.0   2   2    0.0012      0.69    8.6   0.0    90   117   217   244   201   259 0.82 -
45452at50557_103372_0:00030d|STRG.9805.2:221-1848|+  -            513 118659at50557        -            141   6.2e-08   31.4   0.0   1   2   2.8e-07   0.00016   20.3   0.0    21    72   124   179   108   196 0.81 -
45452at50557_103372_0:00030d|STRG.9805.2:221-1848|+  -            513 118659at50557        -            141   6.2e-08   31.4   0.0   2   2    0.0012       0.7    8.5   0.0    90   117   217   244   201   259 0.82 -
35377at50557_103372_0:001618|STRG.9369.2:0-1671|+    -            530 118659at50557        -            141   1.2e-07   30.5   0.5   1   2   4.1e-10   2.3e-07   29.5   0.1    54   125   218   292   209   305 0.81 -
35377at50557_103372_0:001618|STRG.9369.2:0-1671|+    -            530 118659at50557        -            141   1.2e-07   30.5   0.5   2   2         5   2.9e+03   -3.2   0.0    55    85   447   478   436   510 0.50 -
