#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
95953at50557_34720_0:0005ac|STRG.11732.1:173-2734|+ -            854 95953at50557         -            649  4.5e-216  718.3  25.8   1   1  3.7e-214  8.5e-211  700.9  25.8     2   649     8   827     7   827 0.86 -
10664at50557_6973_0:00168a|STRG.10143.1:507-1712|+  -            402 95953at50557         -            649   3.1e-09   34.9   1.5   1   2   1.1e-06    0.0025   15.4   1.0   527   607    52   143    36   157 0.85 -
10664at50557_6973_0:00168a|STRG.10143.1:507-1712|+  -            402 95953at50557         -            649   3.1e-09   34.9   1.5   2   2   2.3e-07   0.00054   17.6   0.0   530   619   301   394   264   398 0.84 -
10664at50557_79782_0:00103c|STRG.10143.2:225-1925|+ -            567 95953at50557         -            649   5.6e-09   34.1   1.9   1   3   0.00019      0.43    8.0   0.1   543   624    74   165    28   167 0.73 -
10664at50557_79782_0:00103c|STRG.10143.2:225-1925|+ -            567 95953at50557         -            649   5.6e-09   34.1   1.9   2   3   2.5e-06    0.0058   14.2   1.1   527   607   139   230   135   243 0.84 -
10664at50557_79782_0:00103c|STRG.10143.2:225-1925|+ -            567 95953at50557         -            649   5.6e-09   34.1   1.9   3   3   3.8e-07   0.00088   16.9   0.0   530   621   388   483   377   502 0.83 -
10664at50557_103372_0:000ca5|STRG.12983.1:3-3323|+  -           1107 95953at50557         -            649   0.00054   17.6   0.4   1   5      0.12   2.7e+02   -1.2   0.0   522   546    60    84    56   125 0.77 -
10664at50557_103372_0:000ca5|STRG.12983.1:3-3323|+  -           1107 95953at50557         -            649   0.00054   17.6   0.4   2   5      0.14   3.3e+02   -1.5   0.0   197   252   109   166   100   197 0.74 -
10664at50557_103372_0:000ca5|STRG.12983.1:3-3323|+  -           1107 95953at50557         -            649   0.00054   17.6   0.4   3   5     0.068   1.6e+02   -0.4   0.1   325   347   212   234   174   280 0.65 -
10664at50557_103372_0:000ca5|STRG.12983.1:3-3323|+  -           1107 95953at50557         -            649   0.00054   17.6   0.4   4   5   2.5e-05     0.059   10.9   0.0   542   610   363   436   346   442 0.80 -
10664at50557_103372_0:000ca5|STRG.12983.1:3-3323|+  -           1107 95953at50557         -            649   0.00054   17.6   0.4   5   5      0.69   1.6e+03   -3.7   0.0   132   175   687   733   687   736 0.77 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/95953at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/95953at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/95953at50557.hmm annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 20:10:35 2024
# [ok]
