#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
68043at50557_34720_0:001307|STRG.4770.1:0-1676|+       -            559 68043at50557         -            302  2.1e-145  482.2   0.0   1   1  8.3e-147  7.3e-145  480.5   0.0     8   302   144   481   138   481 0.91 -
35385at50557_35570_0:00290c|STRG.10294.1:998-2242|+    -            415 68043at50557         -            302   1.9e-54  183.6   0.0   1   2   1.2e-17     1e-15   56.4   0.1    14    60    25    71    13    73 0.89 -
35385at50557_35570_0:00290c|STRG.10294.1:998-2242|+    -            415 68043at50557         -            302   1.9e-54  183.6   0.0   2   2   5.1e-38   4.5e-36  123.3   0.0    63   300    96   370    91   372 0.75 -
35385at50557_37001_0:001231|STRG.20482.1:1294-2523|+   -            410 68043at50557         -            302   2.4e-52  176.7   0.0   1   2     3e-27   2.6e-25   87.9   0.0     8   137    29   186    22   198 0.77 -
35385at50557_37001_0:001231|STRG.20482.1:1294-2523|+   -            410 68043at50557         -            302   2.4e-52  176.7   0.0   2   2     3e-26   2.6e-24   84.6   0.0   146   300   230   389   211   391 0.82 -
35385at50557_37001_0:001231|STRG.20482.2:1242-2471|+   -            410 68043at50557         -            302   2.4e-52  176.7   0.0   1   2     3e-27   2.6e-25   87.9   0.0     8   137    29   186    22   198 0.77 -
35385at50557_37001_0:001231|STRG.20482.2:1242-2471|+   -            410 68043at50557         -            302   2.4e-52  176.7   0.0   2   2     3e-26   2.6e-24   84.6   0.0   146   300   230   389   211   391 0.82 -
35385at50557_37001_0:001231|STRG.20482.3:1242-2471|+   -            410 68043at50557         -            302   2.4e-52  176.7   0.0   1   2     3e-27   2.6e-25   87.9   0.0     8   137    29   186    22   198 0.77 -
35385at50557_37001_0:001231|STRG.20482.3:1242-2471|+   -            410 68043at50557         -            302   2.4e-52  176.7   0.0   2   2     3e-26   2.6e-24   84.6   0.0   146   300   230   389   211   391 0.82 -
35385at50557_37001_0:001231|STRG.20482.4:1242-2471|+   -            410 68043at50557         -            302   2.4e-52  176.7   0.0   1   2     3e-27   2.6e-25   87.9   0.0     8   137    29   186    22   198 0.77 -
35385at50557_37001_0:001231|STRG.20482.4:1242-2471|+   -            410 68043at50557         -            302   2.4e-52  176.7   0.0   2   2     3e-26   2.6e-24   84.6   0.0   146   300   230   389   211   391 0.82 -
18450at50557_1155016_0:0026c2|STRG.18869.1:1193-2395|+ -            401 68043at50557         -            302   2.5e-52  176.6   0.7   1   1     8e-53   6.9e-51  171.9   0.7    11   302    26   369    18   369 0.76 -
35385at50557_37001_0:001231|STRG.6592.1:1280-2587|+    -            436 68043at50557         -            302   4.4e-51  172.5   0.0   1   1   1.1e-52   9.9e-51  171.4   0.0     7   301    66   401    61   402 0.81 -
35385at50557_37001_0:001231|STRG.6592.2:585-1892|+     -            436 68043at50557         -            302   4.4e-51  172.5   0.0   1   1   1.1e-52   9.9e-51  171.4   0.0     7   301    66   401    61   402 0.81 -
35385at50557_37001_0:001231|STRG.6592.3:872-2179|+     -            436 68043at50557         -            302   4.4e-51  172.5   0.0   1   1   1.1e-52   9.9e-51  171.4   0.0     7   301    66   401    61   402 0.81 -
29312at50557_34720_0:0009c1|STRG.1227.1:0-2300|+       -            767 68043at50557         -            302   1.5e-50  170.8   0.0   1   1   3.3e-52   2.8e-50  169.9   0.0    10   302   266   600   259   600 0.78 -
46658at50557_211228_0:001f32|STRG.7643.1:182-1276|+    -            365 68043at50557         -            302   3.1e-50  169.8   0.7   1   1   1.7e-51   1.5e-49  167.5   0.7    14   301    15   337     5   338 0.83 -
46658at50557_211228_0:001f32|STRG.7643.2:182-1276|+    -            365 68043at50557         -            302   3.1e-50  169.8   0.7   1   1   1.7e-51   1.5e-49  167.5   0.7    14   301    15   337     5   338 0.83 -
46658at50557_211228_0:001f32|STRG.7643.3:135-1229|+    -            365 68043at50557         -            302   3.1e-50  169.8   0.7   1   1   1.7e-51   1.5e-49  167.5   0.7    14   301    15   337     5   338 0.83 -
35385at50557_37001_0:001231|STRG.10459.1:188-1516|+    -            443 68043at50557         -            302     4e-50  169.4   0.0   1   1   9.8e-52   8.5e-50  168.3   0.0    14   301    67   397    59   398 0.80 -
35385at50557_37001_0:001231|STRG.3703.2:296-1630|+     -            445 68043at50557         -            302   1.1e-49  168.0   0.0   1   1   2.6e-51   2.3e-49  166.9   0.0    12   302    63   396    54   396 0.77 -
35385at50557_7375_0:0001af|STRG.3703.1:296-1630|+      -            445 68043at50557         -            302   1.1e-49  168.0   0.0   1   1   2.6e-51   2.3e-49  166.9   0.0    12   302    63   396    54   396 0.77 -
29312at50557_116153_0:001f21|STRG.24001.1:453-1592|+   -            380 68043at50557         -            302   1.4e-49  167.6   0.5   1   1     3e-51   2.6e-49  166.7   0.5    10   300    12   344     5   346 0.82 -
35385at50557_7375_0:0001af|STRG.3703.3:296-2124|+      -            445 68043at50557         -            302   4.2e-49  166.0   0.0   1   1     1e-50   8.8e-49  165.0   0.0    12   302    63   396    54   396 0.77 -
18450at50557_144034_0:001371|STRG.17485.1:176-3265|+   -           1030 68043at50557         -            302   1.2e-48  164.5   0.0   1   1   2.6e-50   2.3e-48  163.6   0.0     7   301   377   714   372   715 0.80 -
46658at50557_28612_0:0048c7|STRG.12210.2:172-1293|+    -            374 68043at50557         -            302     2e-48  163.8   0.1   1   1     6e-50   5.2e-48  162.4   0.1    16   301    23   346    14   347 0.78 -
46658at50557_28612_0:0048c7|STRG.12210.3:93-1214|+     -            374 68043at50557         -            302     2e-48  163.8   0.1   1   1     6e-50   5.2e-48  162.4   0.1    16   301    23   346    14   347 0.78 -
35385at50557_7370_0:001aad|STRG.5259.1:36-2126|+       -            697 68043at50557         -            302   3.4e-48  163.1   0.0   1   1   7.5e-50   6.5e-48  162.1   0.0    12   301   114   446   106   447 0.78 -
35385at50557_37001_0:001231|STRG.10460.1:335-1669|+    -            445 68043at50557         -            302   5.1e-47  159.2   0.0   1   1   1.1e-48   9.5e-47  158.3   0.0    13   302    64   396    55   396 0.79 -
46658at50557_83485_0:000f8c|STRG.6283.3:0-1331|+       -            444 68043at50557         -            302   8.4e-47  158.5   1.3   1   1   3.2e-48   2.8e-46  156.8   1.3    17   300    74   390    65   392 0.81 -
46658at50557_219809_0:0017ae|STRG.6283.1:442-1860|+    -            473 68043at50557         -            302     1e-46  158.2   1.3   1   1     4e-48   3.5e-46  156.5   1.3    17   300   103   419    94   421 0.81 -
35385at50557_37001_0:001231|STRG.10460.2:335-2492|+    -            445 68043at50557         -            302     2e-46  157.3   0.0   1   1   4.3e-48   3.7e-46  156.4   0.0    13   302    64   396    55   396 0.79 -
35385at50557_37001_0:001231|STRG.10460.3:335-2492|+    -            445 68043at50557         -            302     2e-46  157.3   0.0   1   1   4.3e-48   3.7e-46  156.4   0.0    13   302    64   396    55   396 0.79 -
46658at50557_1155016_0:0008f1|STRG.12629.1:90-1193|+   -            368 68043at50557         -            302   2.2e-45  153.8   0.8   1   1   9.2e-47     8e-45  152.0   0.8    15   300    16   336     7   338 0.80 -
43304at50557_568069_0:003ee6|STRG.17784.1:137-1429|+   -            431 68043at50557         -            302   5.4e-43  146.0   0.3   1   1   1.2e-44     1e-42  145.1   0.3    12   301    31   355    23   356 0.78 -
65449at50557_7237_0:000776|STRG.16102.2:15-1172|+      -            386 68043at50557         -            302   2.6e-42  143.7   0.1   1   1   9.9e-43   8.6e-41  138.7   0.1    12   300    15   344     9   346 0.75 -
65449at50557_7274_0:002e60|STRG.19083.1:290-1603|+     -            438 68043at50557         -            302   4.1e-41  139.8   0.0   1   1   8.3e-43   7.2e-41  139.0   0.0    15   300    16   343     7   345 0.79 -
65449at50557_7274_0:002e60|STRG.19083.2:408-1721|+     -            438 68043at50557         -            302   4.1e-41  139.8   0.0   1   1   8.3e-43   7.2e-41  139.0   0.0    15   300    16   343     7   345 0.79 -
18450at50557_197043_0:00065e|STRG.16102.1:1090-2196|+  -            304 68043at50557         -            302     1e-40  138.5   0.0   1   2   5.3e-26   4.6e-24   83.8   0.0    12   145    16   167    10   192 0.79 -
18450at50557_197043_0:00065e|STRG.16102.1:1090-2196|+  -            304 68043at50557         -            302     1e-40  138.5   0.0   2   2   1.6e-16   1.4e-14   52.7   0.1   204   300   200   296   182   298 0.86 -
46658at50557_1155016_0:0008f1|STRG.17784.2:107-1146|+  -            318 68043at50557         -            302   2.1e-38  130.9   1.9   1   2   6.3e-24   5.5e-22   77.0   0.2    18   137     1   140     1   194 0.68 -
46658at50557_1155016_0:0008f1|STRG.17784.2:107-1146|+  -            318 68043at50557         -            302   2.1e-38  130.9   1.9   2   2   1.1e-16   9.4e-15   53.2   0.1   232   301   219   288   191   289 0.93 -
65449at50557_174628_0:0019f8|STRG.12210.1:246-1213|+   -            312 68043at50557         -            302   1.3e-37  128.3   0.3   1   2   1.1e-21   9.7e-20   69.6   0.0    16   113    16   133     7   147 0.75 -
65449at50557_174628_0:0019f8|STRG.12210.1:246-1213|+   -            312 68043at50557         -            302   1.3e-37  128.3   0.3   2   2   7.9e-18   6.9e-16   57.0   0.1   186   301   178   295   134   296 0.88 -
35385at50557_88501_0:000e58|STRG.24363.1:1-930|+       -            310 68043at50557         -            302   5.2e-37  126.3   0.1   1   1   1.1e-38   9.3e-37  125.5   0.1   100   300     3   218     1   220 0.83 -
65449at50557_42026_0:002fbc|STRG.7438.1:1334-3142|+    -            603 68043at50557         -            302   6.1e-37  126.1   0.1   1   2   7.2e-22   6.3e-20   70.2   0.0    14   150     1   162     1   174 0.76 -
65449at50557_42026_0:002fbc|STRG.7438.1:1334-3142|+    -            603 68043at50557         -            302   6.1e-37  126.1   0.1   2   2   1.5e-16   1.3e-14   52.7   0.0   232   301   402   471   391   472 0.94 -
65449at50557_34720_0:000b83|STRG.10112.1:2-1669|+      -            556 68043at50557         -            302   2.3e-36  124.2   0.1   1   1   6.5e-38   5.6e-36  122.9   0.1    28   302     3   324     1   324 0.72 -
65449at50557_34720_0:000b83|STRG.10112.3:2-1917|+      -            556 68043at50557         -            302   2.3e-36  124.2   0.1   1   1   6.5e-38   5.6e-36  122.9   0.1    28   302     3   324     1   324 0.72 -
46658at50557_28612_0:0048c7|STRG.17951.3:78-1259|+     -            394 68043at50557         -            302   8.3e-36  122.4   1.2   1   1   2.3e-37     2e-35  121.1   1.2     7   300    25   356    22   358 0.79 -
46658at50557_28612_0:0048c7|STRG.17951.1:78-1262|+     -            395 68043at50557         -            302   8.4e-36  122.4   1.2   1   1   2.3e-37     2e-35  121.1   1.2     7   300    25   356    22   358 0.79 -
