#                                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
107413at50557_103372_0:00285a|STRG.10355.1:56-1173|+    -            297 107413at50557        -             88   2.6e-35  119.6   2.4   1   1   2.2e-36   1.6e-34  117.1   2.4     1    88   180   286   180   286 0.85 -
45935at50557_6973_0:001b70|STRG.8674.1:2017-2790|+      -            258 107413at50557        -             88   3.6e-19   67.9   4.9   1   2      0.02       1.5    8.3   0.0     1    36   139   176   139   182 0.77 -
45935at50557_6973_0:001b70|STRG.8674.1:2017-2790|+      -            258 107413at50557        -             88   3.6e-19   67.9   4.9   2   2   3.8e-18   2.8e-16   58.6   4.0    26    88   187   250   172   250 0.84 -
45935at50557_6973_0:001b70|STRG.8674.4:1643-2416|+      -            258 107413at50557        -             88   3.6e-19   67.9   4.9   1   2      0.02       1.5    8.3   0.0     1    36   139   176   139   182 0.77 -
45935at50557_6973_0:001b70|STRG.8674.4:1643-2416|+      -            258 107413at50557        -             88   3.6e-19   67.9   4.9   2   2   3.8e-18   2.8e-16   58.6   4.0    26    88   187   250   172   250 0.84 -
45935at50557_67767_0:003589|STRG.8674.2:2291-3193|+     -            301 107413at50557        -             88   5.2e-19   67.4   4.8   1   2     0.026       1.9    7.9   0.0     1    36   182   219   182   224 0.76 -
45935at50557_67767_0:003589|STRG.8674.2:2291-3193|+     -            301 107413at50557        -             88   5.2e-19   67.4   4.8   2   2   4.8e-18   3.5e-16   58.3   3.9    26    88   230   293   215   293 0.84 -
45935at50557_67767_0:003589|STRG.8674.3:2396-3298|+     -            301 107413at50557        -             88   5.2e-19   67.4   4.8   1   2     0.026       1.9    7.9   0.0     1    36   182   219   182   224 0.76 -
45935at50557_67767_0:003589|STRG.8674.3:2396-3298|+     -            301 107413at50557        -             88   5.2e-19   67.4   4.8   2   2   4.8e-18   3.5e-16   58.3   3.9    26    88   230   293   215   293 0.84 -
98621at50557_286706_0:000660|STRG.9040.2:356-1081|+     -            242 107413at50557        -             88   8.7e-19   66.7   0.8   1   1   1.1e-19   8.4e-18   63.5   0.8    23    88   169   237   131   237 0.73 -
98621at50557_286706_0:000660|STRG.9040.1:356-1093|+     -            246 107413at50557        -             88   1.1e-18   66.4   0.8   1   1   1.2e-19   8.7e-18   63.5   0.8    23    88   173   241   135   241 0.73 -
98621at50557_28612_0:00515f|STRG.3290.1:11-766|+        -            252 107413at50557        -             88   2.6e-18   65.2   0.5   1   2     0.063       4.6    6.7   0.0     1    24   113   140   113   146 0.75 -
98621at50557_28612_0:00515f|STRG.3290.1:11-766|+        -            252 107413at50557        -             88   2.6e-18   65.2   0.5   2   2     2e-17   1.5e-15   56.3   0.3    21    88   152   223   143   223 0.89 -
98621at50557_13249_0:0015dd|STRG.9033.2:285-995|+       -            237 107413at50557        -             88   4.5e-18   64.4   2.6   1   1   1.8e-18   1.3e-16   59.7   2.6    17    88   164   237   132   237 0.79 -
98621at50557_28612_0:00515f|STRG.3290.2:11-833|+        -            252 107413at50557        -             88   7.6e-18   63.6   0.5   1   2     0.063       4.6    6.7   0.0     1    24   113   140   113   146 0.75 -
98621at50557_28612_0:00515f|STRG.3290.2:11-833|+        -            252 107413at50557        -             88   7.6e-18   63.6   0.5   2   2   5.9e-17   4.3e-15   54.8   0.3    21    88   152   223   143   223 0.89 -
98621at50557_136037_0:0009c4|STRG.14035.1:2650-3450|+   -            267 107413at50557        -             88   1.4e-17   62.8   0.5   1   1   1.6e-17   1.2e-15   56.7   0.5    11    88   187   267   158   267 0.80 -
98621at50557_28612_0:00515f|STRG.14038.1:2855-3604|+    -            250 107413at50557        -             88     2e-17   62.3   0.2   1   1   1.1e-17   7.8e-16   57.2   0.2    15    88   168   245   135   245 0.68 -
98621at50557_136037_0:0009c4|STRG.10024.1:2238-2981|+   -            248 107413at50557        -             88   2.3e-17   62.1   3.0   1   1   4.1e-17     3e-15   55.3   2.0     3    88   137   244   135   244 0.69 -
98621at50557_136037_0:0009c4|STRG.10024.2:2878-3621|+   -            248 107413at50557        -             88   2.3e-17   62.1   3.0   1   1   4.1e-17     3e-15   55.3   2.0     3    88   137   244   135   244 0.69 -
98621at50557_7425_0:001b7b|STRG.4495.1:936-1676|+       -            247 107413at50557        -             88   8.3e-17   60.3   3.5   1   1   5.8e-18   4.2e-16   58.1   3.5    28    88   183   242   138   242 0.91 -
98621at50557_13249_0:0015dd|STRG.9033.1:41-914|+        -            239 107413at50557        -             88   9.6e-17   60.1   2.3   1   1   3.9e-17   2.9e-15   55.4   2.3    17    88   166   239   134   239 0.79 -
107413at50557_79782_0:001336|STRG.7724.1:2205-2963|+    -            253 107413at50557        -             88   1.4e-16   59.6   0.6   1   1   1.1e-17   8.1e-16   57.2   0.6     1    88   142   251   142   251 0.76 -
107413at50557_79782_0:001336|STRG.7724.2:2189-2947|+    -            253 107413at50557        -             88   1.4e-16   59.6   0.6   1   1   1.1e-17   8.1e-16   57.2   0.6     1    88   142   251   142   251 0.76 -
107413at50557_136037_0:000dc2|STRG.6135.10:3011-3742|+  -            244 107413at50557        -             88   1.5e-16   59.5   2.8   1   1   4.2e-18   3.1e-16   58.5   2.8    27    88   174   237   156   237 0.91 -
107413at50557_136037_0:000dc2|STRG.6135.11:2964-3695|+  -            244 107413at50557        -             88   1.5e-16   59.5   2.8   1   1   4.2e-18   3.1e-16   58.5   2.8    27    88   174   237   156   237 0.91 -
107413at50557_136037_0:000dc2|STRG.6135.1:5604-6335|+   -            244 107413at50557        -             88   1.5e-16   59.5   2.8   1   1   4.2e-18   3.1e-16   58.5   2.8    27    88   174   237   156   237 0.91 -
107413at50557_136037_0:000dc2|STRG.6135.2:5480-6211|+   -            244 107413at50557        -             88   1.5e-16   59.5   2.8   1   1   4.2e-18   3.1e-16   58.5   2.8    27    88   174   237   156   237 0.91 -
107413at50557_136037_0:000dc2|STRG.6135.4:5708-6439|+   -            244 107413at50557        -             88   1.5e-16   59.5   2.8   1   1   4.2e-18   3.1e-16   58.5   2.8    27    88   174   237   156   237 0.91 -
107413at50557_136037_0:000dc2|STRG.6135.5:5108-5839|+   -            244 107413at50557        -             88   1.5e-16   59.5   2.8   1   1   4.2e-18   3.1e-16   58.5   2.8    27    88   174   237   156   237 0.91 -
107413at50557_136037_0:000dc2|STRG.6135.6:5531-6262|+   -            244 107413at50557        -             88   1.5e-16   59.5   2.8   1   1   4.2e-18   3.1e-16   58.5   2.8    27    88   174   237   156   237 0.91 -
107413at50557_136037_0:000dc2|STRG.6135.7:5711-6442|+   -            244 107413at50557        -             88   1.5e-16   59.5   2.8   1   1   4.2e-18   3.1e-16   58.5   2.8    27    88   174   237   156   237 0.91 -
107413at50557_136037_0:000dc2|STRG.6135.8:3107-3838|+   -            244 107413at50557        -             88   1.5e-16   59.5   2.8   1   1   4.2e-18   3.1e-16   58.5   2.8    27    88   174   237   156   237 0.91 -
107413at50557_136037_0:000dc2|STRG.6135.9:3014-3745|+   -            244 107413at50557        -             88   1.5e-16   59.5   2.8   1   1   4.2e-18   3.1e-16   58.5   2.8    27    88   174   237   156   237 0.91 -
107413at50557_156304_0:00001e|STRG.9039.1:72-545|+      -            158 107413at50557        -             88   3.7e-16   58.3   0.9   1   1   9.3e-17   6.9e-15   54.2   0.9     4    88    54   154    51   154 0.70 -
98621at50557_110193_0:0027e7|STRG.10944.1:718-1431|+    -            238 107413at50557        -             88   4.8e-16   57.9   2.1   1   1   2.9e-17   2.1e-15   55.8   2.1     2    88   135   238   134   238 0.79 -
98621at50557_79782_0:0026bc|STRG.8776.1:54-839|+        -            262 107413at50557        -             88   1.8e-15   56.0   5.5   1   1   5.2e-16   3.8e-14   51.8   3.6    27    88   190   256   145   256 0.88 -
