#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
109776at50557_456900_0:0015c4|STRG.19571.1:0-713|+     -            238 109776at50557        -            209     3e-87  290.2   4.7   1   1     5e-89   4.2e-87  289.7   4.7     1   209     1   234     1   234 0.94 -
54603at50557_103372_0:00290d|STRG.8711.1:0-1844|+      -            615 109776at50557        -            209   7.5e-43  145.1  36.6   1   5   3.3e-11   2.7e-09   35.5   2.3    52   127   136   219   126   221 0.79 -
54603at50557_103372_0:00290d|STRG.8711.1:0-1844|+      -            615 109776at50557        -            209   7.5e-43  145.1  36.6   2   5   2.9e-12   2.4e-10   38.9  10.3    31   127   181   288   180   291 0.86 -
54603at50557_103372_0:00290d|STRG.8711.1:0-1844|+      -            615 109776at50557        -            209   7.5e-43  145.1  36.6   3   5   3.3e-16   2.7e-14   51.8   1.5    28   164   270   426   266   430 0.84 -
54603at50557_103372_0:00290d|STRG.8711.1:0-1844|+      -            615 109776at50557        -            209   7.5e-43  145.1  36.6   4   5   5.5e-07   4.6e-05   21.7   3.8    31    82   414   468   408   483 0.65 -
54603at50557_103372_0:00290d|STRG.8711.1:0-1844|+      -            615 109776at50557        -            209   7.5e-43  145.1  36.6   5   5   3.7e-13     3e-11   41.9   7.8    26   130   478   594   464   596 0.84 -
54603at50557_116153_0:001d7a|STRG.22447.1:316-1761|+   -            482 109776at50557        -            209   9.8e-42  141.5  43.8   1   4   1.3e-13   1.1e-11   43.4  11.7    19   132     3   127     1   130 0.86 -
54603at50557_116153_0:001d7a|STRG.22447.1:316-1761|+   -            482 109776at50557        -            209   9.8e-42  141.5  43.8   2   4     2e-16   1.6e-14   52.6   7.3    29   157   128   272   125   317 0.79 -
54603at50557_116153_0:001d7a|STRG.22447.1:316-1761|+   -            482 109776at50557        -            209   9.8e-42  141.5  43.8   3   4     4e-06   0.00033   18.9   0.0    21    71   321   376   317   381 0.77 -
54603at50557_116153_0:001d7a|STRG.22447.1:316-1761|+   -            482 109776at50557        -            209   9.8e-42  141.5  43.8   4   4   5.8e-13   4.8e-11   41.2   6.2    31   121   380   482   376   482 0.80 -
54603at50557_217634_0:0030bb|STRG.19126.1:566-1666|+   -            367 109776at50557        -            209   4.4e-36  123.0  27.1   1   4   0.00035     0.029   12.6   0.1    89   127    25    64    11    68 0.79 -
54603at50557_217634_0:0030bb|STRG.19126.1:566-1666|+   -            367 109776at50557        -            209   4.4e-36  123.0  27.1   2   4   1.6e-14   1.4e-12   46.3   4.8    26   131    67   183    65   185 0.84 -
54603at50557_217634_0:0030bb|STRG.19126.1:566-1666|+   -            367 109776at50557        -            209   4.4e-36  123.0  27.1   3   4   5.5e-09   4.6e-07   28.2   0.0    26    76   182   235   179   237 0.86 -
54603at50557_217634_0:0030bb|STRG.19126.1:566-1666|+   -            367 109776at50557        -            209   4.4e-36  123.0  27.1   4   4   1.7e-15   1.4e-13   49.5   8.8    18   130   213   343   210   347 0.59 -
54603at50557_217634_0:0030bb|STRG.19126.2:136-1236|+   -            367 109776at50557        -            209   4.4e-36  123.0  27.1   1   4   0.00035     0.029   12.6   0.1    89   127    25    64    11    68 0.79 -
