#                                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
59918at50557_456900_0:001767|STRG.15633.1:0-791|+       -            264 59918at50557         -            285  1.9e-115  383.9   4.4   1   1  6.4e-118  2.3e-115  383.6   4.4     5   208    42   264    39   264 0.95 -
59918at50557_123851_0:002b0c|STRG.15633.2:0-572|+       -            191 59918at50557         -            285   2.3e-76  255.7   1.1   1   1   7.4e-79   2.7e-76  255.5   1.1     5   143    42   189    39   191 0.95 -
81145at50557_104421_0:001dae|STRG.3288.1:404-1321|+     -            306 59918at50557         -            285   3.2e-18   64.9   0.6   1   1   1.4e-20   5.1e-18   64.2   0.6     7   183     2   192     1   273 0.79 -
81145at50557_104421_0:001dae|STRG.3288.2:488-1405|+     -            306 59918at50557         -            285   3.2e-18   64.9   0.6   1   1   1.4e-20   5.1e-18   64.2   0.6     7   183     2   192     1   273 0.79 -
129498at50557_103372_0:001a9c|STRG.12999.1:4163-4861|+  -            233 59918at50557         -            285   0.00029   19.1   0.1   1   1   9.5e-07   0.00035   18.8   0.1     6   175    10   181     6   196 0.81 -
129498at50557_103372_0:001a9c|STRG.12999.3:0-698|+      -            233 59918at50557         -            285   0.00029   19.1   0.1   1   1   9.5e-07   0.00035   18.8   0.1     6   175    10   181     6   196 0.81 -
129498at50557_7493_0:00132e|STRG.18236.1:367-843|+      -            159 59918at50557         -            285    0.0003   19.1   0.0   1   1   9.6e-07   0.00035   18.8   0.0    52   152    45   146    41   159 0.86 -
129498at50557_7493_0:00132e|STRG.18236.2:27-503|+       -            159 59918at50557         -            285    0.0003   19.1   0.0   1   1   9.6e-07   0.00035   18.8   0.0    52   152    45   146    41   159 0.86 -
129498at50557_7493_0:00132e|STRG.18236.3:972-1448|+     -            159 59918at50557         -            285    0.0003   19.1   0.0   1   1   9.6e-07   0.00035   18.8   0.0    52   152    45   146    41   159 0.86 -
129498at50557_7493_0:00132e|STRG.18236.4:580-1056|+     -            159 59918at50557         -            285    0.0003   19.1   0.0   1   1   9.6e-07   0.00035   18.8   0.0    52   152    45   146    41   159 0.86 -
106023at50557_37001_0:0016d5|STRG.6758.1:3-512|+        -            170 59918at50557         -            285     0.001   17.3   0.1   1   1   2.8e-06     0.001   17.3   0.1     4    91     4    91     1   133 0.83 -
