#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
85463at50557_34720_0:001180|STRG.8515.1:3-887|+       -            295 85463at50557         -            265  7.7e-133  440.7  23.6   1   1    4e-135  4.9e-132  438.0  23.6     8   265     2   295     1   295 0.92 -
85463at50557_76194_0:00196e|STRG.8515.2:315-639|+     -             77 85463at50557         -            265   4.3e-42  143.2   1.4   1   1   3.8e-45   4.6e-42  143.1   1.4   190   265     2    77     1    77 0.98 -
28875at50557_197043_0:001126|STRG.3791.1:741-983|+    -             81 85463at50557         -            265     0.013   13.8   0.4   1   1   1.2e-05     0.014   13.6   0.4   174   213    39    81    23    81 0.79 -
72133at50557_52612_0:004c20|STRG.8496.1:73-588|+      -            172 85463at50557         -            265     0.015   13.5   0.2   1   1   1.9e-05     0.024   12.9   0.2   178   229     4    60     1    73 0.71 -
35806at50557_121225_0:000aa0|STRG.12928.1:3457-4575|+ -            373 85463at50557         -            265     0.063   11.5   0.1   1   4     0.034        41    2.3   0.3   170   221     9    58     3    63 0.77 -
35806at50557_121225_0:000aa0|STRG.12928.1:3457-4575|+ -            373 85463at50557         -            265     0.063   11.5   0.1   2   4   5.2e-05     0.063   11.5   0.1   160   226    58   122    56   135 0.86 -
35806at50557_121225_0:000aa0|STRG.12928.1:3457-4575|+ -            373 85463at50557         -            265     0.063   11.5   0.1   3   4    0.0075       9.1    4.4   0.2   169   217   184   229   174   252 0.76 -
35806at50557_121225_0:000aa0|STRG.12928.1:3457-4575|+ -            373 85463at50557         -            265     0.063   11.5   0.1   4   4      0.67   8.1e+02   -2.0   0.6   164   216   280   330   260   362 0.69 -
35806at50557_121225_0:000aa0|STRG.12928.2:2316-3434|+ -            373 85463at50557         -            265     0.063   11.5   0.1   1   4     0.034        41    2.3   0.3   170   221     9    58     3    63 0.77 -
35806at50557_121225_0:000aa0|STRG.12928.2:2316-3434|+ -            373 85463at50557         -            265     0.063   11.5   0.1   2   4   5.2e-05     0.063   11.5   0.1   160   226    58   122    56   135 0.86 -
35806at50557_121225_0:000aa0|STRG.12928.2:2316-3434|+ -            373 85463at50557         -            265     0.063   11.5   0.1   3   4    0.0075       9.1    4.4   0.2   169   217   184   229   174   252 0.76 -
35806at50557_121225_0:000aa0|STRG.12928.2:2316-3434|+ -            373 85463at50557         -            265     0.063   11.5   0.1   4   4      0.67   8.1e+02   -2.0   0.6   164   216   280   330   260   362 0.69 -
57812at50557_139723_0:0023b3|STRG.6123.1:762-1238|+   -            159 85463at50557         -            265       1.6    6.9   5.4   1   2   0.00039      0.47    8.6   1.5   159   218    40    95    28   111 0.82 -
57812at50557_139723_0:0023b3|STRG.6123.1:762-1238|+   -            159 85463at50557         -            265       1.6    6.9   5.4   2   2      0.43   5.2e+02   -1.3   0.0   173   192   138   157   121   159 0.64 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/85463at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/85463at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/85463at50557.hmm annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 13:57:01 2024
# [ok]
