#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
132099at50557_64793_0:001609|STRG.12800.1:100-519|+ -            140 132099at50557        -            116   2.4e-61  204.5   8.5   1   1   3.2e-64   3.5e-61  204.0   8.5     1   112     5   123     5   138 0.95 -
132099at50557_7176_0:0007cf|STRG.8269.1:849-1226|+  -            126 132099at50557        -            116   1.2e-05   25.0   0.5   1   1   1.5e-08   1.6e-05   24.5   0.5     5   113     2   123     1   125 0.81 -
132099at50557_7176_0:0007cf|STRG.8269.2:438-815|+   -            126 132099at50557        -            116   1.2e-05   25.0   0.5   1   1   1.5e-08   1.6e-05   24.5   0.5     5   113     2   123     1   125 0.81 -
132099at50557_7176_0:0007cf|STRG.8269.3:457-834|+   -            126 132099at50557        -            116   1.2e-05   25.0   0.5   1   1   1.5e-08   1.6e-05   24.5   0.5     5   113     2   123     1   125 0.81 -
132099at50557_7176_0:0007cf|STRG.8269.4:301-678|+   -            126 132099at50557        -            116   1.2e-05   25.0   0.5   1   1   1.5e-08   1.6e-05   24.5   0.5     5   113     2   123     1   125 0.81 -
132099at50557_7176_0:0007cf|STRG.8269.5:683-1060|+  -            126 132099at50557        -            116   1.2e-05   25.0   0.5   1   1   1.5e-08   1.6e-05   24.5   0.5     5   113     2   123     1   125 0.81 -
132099at50557_7160_0:000720|STRG.8269.6:97-372|+    -             92 132099at50557        -            116    0.0017   18.0   0.2   1   1   1.7e-06    0.0019   17.9   0.2    44   105    18    85     1    92 0.73 -
126448at50557_103372_0:002828|STRG.6949.1:114-548|+ -            145 132099at50557        -            116     0.005   16.5   0.0   1   1   7.7e-06    0.0085   15.8   0.0    60   113    68   124    62   127 0.83 -
66571at50557_103372_0:001df6|STRG.9165.1:1-1251|+   -            417 132099at50557        -            116     0.022   14.4   0.2   1   2       3.4   3.7e+03   -2.4   0.0    31    48     6    23     4    30 0.87 -
66571at50557_103372_0:001df6|STRG.9165.1:1-1251|+   -            417 132099at50557        -            116     0.022   14.4   0.2   2   2   6.1e-05     0.067   12.9   0.1    47   104    51   108    46   117 0.92 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/132099at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/132099at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/132099at50557.hmm annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 10:06:30 2024
# [ok]
