#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
27737at50557_13686_0:00042a|STRG.17337.1:0-1832|+     -            611 27737at50557         -            506  4.4e-264  875.6  10.1   1   1  2.2e-265  1.6e-263  873.8  10.1     6   506    27   605    22   605 0.91 -
120478at50557_103372_0:000c5c|STRG.11699.1:214-696|+  -            161 27737at50557         -            506   3.1e-43  147.1   0.0   1   1   4.9e-45   3.6e-43  146.8   0.0   374   487     3   119     1   136 0.94 -
120478at50557_103372_0:000c5c|STRG.11699.2:0-479|+    -            160 27737at50557         -            506   3.6e-43  146.8   0.0   1   1   5.7e-45   4.2e-43  146.6   0.0   374   487     2   118     1   135 0.94 -
42193at50557_123851_0:000a5d|STRG.17613.1:60-494|+    -            145 27737at50557         -            506   6.1e-42  142.8   0.2   1   1   8.9e-44   6.5e-42  142.7   0.2   375   503     3   144     1   145 0.90 -
42193at50557_103372_0:0016db|STRG.9123.1:192-1763|+   -            524 27737at50557         -            506   1.4e-38  131.7   0.2   1   1   3.6e-40   2.6e-38  130.8   0.2   377   488   288   402   269   430 0.87 -
42193at50557_1629725_0:001f1e|STRG.15448.1:129-707|+  -            193 27737at50557         -            506   1.9e-38  131.2   0.0   1   1   3.3e-40   2.4e-38  130.9   0.0   372   488    16   135     5   152 0.92 -
27737at50557_67767_0:00339d|STRG.19508.1:118-588|+    -            157 27737at50557         -            506   1.2e-35  122.0   0.4   1   1   1.9e-37   1.4e-35  121.8   0.4   379   497    15   143     6   157 0.85 -
27737at50557_67767_0:00339d|STRG.19508.3:409-879|+    -            157 27737at50557         -            506   1.2e-35  122.0   0.4   1   1   1.9e-37   1.4e-35  121.8   0.4   379   497    15   143     6   157 0.85 -
27737at50557_67767_0:00339d|STRG.19508.4:24-494|+     -            157 27737at50557         -            506   1.2e-35  122.0   0.4   1   1   1.9e-37   1.4e-35  121.8   0.4   379   497    15   143     6   157 0.85 -
27737at50557_67767_0:00339d|STRG.12408.1:218-685|+    -            156 27737at50557         -            506   2.4e-34  117.7   1.7   1   1   3.5e-36   2.6e-34  117.6   1.7   377   500    10   144     1   151 0.84 -
27737at50557_121845_0:000a82|STRG.1128.1:3-473|-      -            157 27737at50557         -            506   2.5e-32  111.0   0.2   1   1   3.9e-34   2.9e-32  110.9   0.2   379   492    33   156    19   157 0.86 -
27737at50557_67767_0:00339d|STRG.18741.1:500-946|+    -            149 27737at50557         -            506   6.2e-32  109.8   0.1   1   1   9.4e-34   6.9e-32  109.6   0.1   370   495     5   140     1   145 0.87 -
27737at50557_67767_0:00339d|STRG.18741.2:500-946|+    -            149 27737at50557         -            506   6.2e-32  109.8   0.1   1   1   9.4e-34   6.9e-32  109.6   0.1   370   495     5   140     1   145 0.87 -
27737at50557_67767_0:00339d|STRG.18741.3:500-946|+    -            149 27737at50557         -            506   6.2e-32  109.8   0.1   1   1   9.4e-34   6.9e-32  109.6   0.1   370   495     5   140     1   145 0.87 -
27737at50557_67767_0:00339d|STRG.18741.4:500-946|+    -            149 27737at50557         -            506   6.2e-32  109.8   0.1   1   1   9.4e-34   6.9e-32  109.6   0.1   370   495     5   140     1   145 0.87 -
27737at50557_67767_0:00339d|STRG.18741.6:559-1005|+   -            149 27737at50557         -            506   6.2e-32  109.8   0.1   1   1   9.4e-34   6.9e-32  109.6   0.1   370   495     5   140     1   145 0.87 -
27737at50557_121845_0:000a82|STRG.2665.1:64-1026|+    -            165 27737at50557         -            506   1.6e-31  108.4   0.2   1   1   2.8e-33   2.1e-31  108.0   0.2   380   495    13   142     3   152 0.80 -
27737at50557_121845_0:000a82|STRG.2665.2:269-866|+    -            165 27737at50557         -            506   1.6e-31  108.4   0.2   1   1   2.8e-33   2.1e-31  108.0   0.2   380   495    13   142     3   152 0.80 -
27737at50557_121845_0:000a82|STRG.2665.3:269-763|+    -            165 27737at50557         -            506   1.6e-31  108.4   0.2   1   1   2.8e-33   2.1e-31  108.0   0.2   380   495    13   142     3   152 0.80 -
27737at50557_121845_0:000a82|STRG.2665.4:266-863|+    -            165 27737at50557         -            506   1.6e-31  108.4   0.2   1   1   2.8e-33   2.1e-31  108.0   0.2   380   495    13   142     3   152 0.80 -
27737at50557_121845_0:000a82|STRG.2665.5:18-512|+     -            165 27737at50557         -            506   1.6e-31  108.4   0.2   1   1   2.8e-33   2.1e-31  108.0   0.2   380   495    13   142     3   152 0.80 -
120478at50557_411798_0:003623|STRG.11735.2:809-1264|+ -            152 27737at50557         -            506   2.9e-27   94.4   0.1   1   1   4.4e-29   3.3e-27   94.2   0.1   378   487     1   122     1   138 0.85 -
120478at50557_411798_0:003623|STRG.11735.3:81-536|+   -            152 27737at50557         -            506   2.9e-27   94.4   0.1   1   1   4.4e-29   3.3e-27   94.2   0.1   378   487     1   122     1   138 0.85 -
92898at50557_62324_0:001787|STRG.14087.1:252-746|+    -            165 27737at50557         -            506   1.2e-26   92.3   0.0   1   1   1.9e-28   1.4e-26   92.1   0.0   374   506     3   156     1   156 0.82 -
27737at50557_67767_0:00339d|STRG.14302.1:69-545|+     -            159 27737at50557         -            506   1.8e-25   88.4   0.1   1   1   2.6e-27   1.9e-25   88.4   0.1   377   493     6   140     1   158 0.80 -
27737at50557_67767_0:00339d|STRG.19508.2:118-516|+    -            133 27737at50557         -            506   4.7e-24   83.8   0.6   1   2   4.5e-09   3.3e-07   28.2   0.1   379   430    15    69     6    71 0.83 -
27737at50557_67767_0:00339d|STRG.19508.2:118-516|+    -            133 27737at50557         -            506   4.7e-24   83.8   0.6   2   2   3.5e-17   2.6e-15   54.9   0.2   453   497    71   119    66   133 0.82 -
120478at50557_37344_0:000e08|STRG.18741.5:539-902|+   -            115 27737at50557         -            506   1.4e-21   75.6   0.2   1   1   3.8e-23   2.8e-21   74.6   0.2   414   495    22   110     1   113 0.84 -
42193at50557_7539_0:00337e|STRG.14302.2:540-860|+     -            107 27737at50557         -            506   5.2e-17   60.5   0.1   1   1   7.3e-19   5.3e-17   60.5   0.1   415   492     5    90     1   104 0.85 -
42193at50557_7539_0:00337e|STRG.18663.1:486-848|+     -            121 27737at50557         -            506   5.4e-13   47.3   0.2   1   1     8e-15   5.8e-13   47.2   0.2   387   487     2   108     1   120 0.87 -
120478at50557_64459_0:001132|STRG.164.1:69-182|+      -             38 27737at50557         -            506     6e-12   43.8   0.0   1   1   8.5e-14   6.2e-12   43.8   0.0   455   487     1    33     1    37 0.94 -
42193at50557_197043_0:007f2e|STRG.4727.1:207-380|+    -             58 27737at50557         -            506   7.5e-12   43.5   0.1   1   1   1.1e-13   7.8e-12   43.4   0.1   381   434     1    58     1    58 0.86 -
40115at50557_156304_0:001c45|STRG.9047.1:153-1079|+   -            309 27737at50557         -            506   2.5e-09   35.2   3.1   1   3     0.041         3    5.2   0.0   177   207    56    89    53    94 0.79 -
40115at50557_156304_0:001c45|STRG.9047.1:153-1079|+   -            309 27737at50557         -            506   2.5e-09   35.2   3.1   2   3     0.063       4.6    4.6   0.0   185   216   109   140    90   147 0.58 -
40115at50557_156304_0:001c45|STRG.9047.1:153-1079|+   -            309 27737at50557         -            506   2.5e-09   35.2   3.1   3   3     2e-06   0.00015   19.4   1.5    43   207   116   299   102   303 0.65 -
40115at50557_156304_0:001c45|STRG.9047.3:195-1121|+   -            309 27737at50557         -            506   2.5e-09   35.2   3.1   1   3     0.041         3    5.2   0.0   177   207    56    89    53    94 0.79 -
40115at50557_156304_0:001c45|STRG.9047.3:195-1121|+   -            309 27737at50557         -            506   2.5e-09   35.2   3.1   2   3     0.063       4.6    4.6   0.0   185   216   109   140    90   147 0.58 -
