#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
10268at50557_64793_0:002742|STRG.4455.1:0-2243|+     -            748 10268at50557         -            792  1.9e-228  759.4   4.6   1   1  4.3e-230  3.3e-227  755.3   4.6   330   773     5   528     2   540 0.91 -
10268at50557_1155016_0:00237e|STRG.4456.1:144-713|+  -            190 10268at50557         -            792   6.4e-96  321.1   0.4   1   1     1e-98   7.8e-96  320.8   0.4   119   285     7   190     5   190 0.94 -
10268at50557_13037_0:0016bb|STRG.5253.1:793-1836|+   -            348 10268at50557         -            792   8.6e-66  221.5   0.0   1   1   1.4e-68     1e-65  221.2   0.0   429   725    11   322     2   345 0.84 -
10268at50557_1629725_0:0014a3|STRG.8754.1:749-1816|+ -            356 10268at50557         -            792   3.7e-50  169.8   1.2   1   2   7.8e-36     6e-33  112.8   0.1   130   307    11   207     4   222 0.80 -
10268at50557_1629725_0:0014a3|STRG.8754.1:749-1816|+ -            356 10268at50557         -            792   3.7e-50  169.8   1.2   2   2   1.3e-18     1e-15   55.9   0.1   305   397   236   353   224   356 0.80 -
15532at50557_315563_0:002095|STRG.7738.1:193-1719|+  -            509 10268at50557         -            792   1.4e-46  158.0   0.8   1   2   3.8e-32   2.9e-29  100.6   0.2    70   303    73   350    49   359 0.78 -
15532at50557_315563_0:002095|STRG.7738.1:193-1719|+  -            509 10268at50557         -            792   1.4e-46  158.0   0.8   2   2   4.6e-18   3.5e-15   54.1   0.0   304   375   383   463   372   505 0.72 -
10268at50557_52612_0:001ff6|STRG.7644.1:372-1316|+   -            315 10268at50557         -            792   4.5e-40  136.4   0.2   1   1     8e-43   6.1e-40  136.0   0.2   467   710    36   304    27   313 0.77 -
10268at50557_52612_0:001ff6|STRG.17928.1:3308-4078|+ -            257 10268at50557         -            792   1.1e-37  128.5   0.0   1   1   1.8e-40   1.4e-37  128.2   0.0   495   692     1   221     1   243 0.83 -
10268at50557_52612_0:001ff6|STRG.17928.2:2269-3039|+ -            257 10268at50557         -            792   1.1e-37  128.5   0.0   1   1   1.8e-40   1.4e-37  128.2   0.0   495   692     1   221     1   243 0.83 -
15532at50557_34720_0:00053e|STRG.17758.3:106-2410|+  -            745 10268at50557         -            792   1.9e-26   91.4   1.2   1   2   1.3e-20     1e-17   62.5   0.0   126   284    12   184     2   218 0.74 -
15532at50557_34720_0:00053e|STRG.17758.3:106-2410|+  -            745 10268at50557         -            792   1.9e-26   91.4   1.2   2   2   5.2e-10     4e-07   27.4   0.4   301   329   323   351   297   380 0.87 -
15532at50557_34720_0:00053e|STRG.17758.2:197-3286|+  -           1030 10268at50557         -            792     3e-26   90.7   3.4   1   3     0.058        45    0.8   0.0    47   107   147   204   138   241 0.72 -
15532at50557_34720_0:00053e|STRG.17758.2:197-3286|+  -           1030 10268at50557         -            792     3e-26   90.7   3.4   2   3   2.2e-20   1.7e-17   61.8   0.0   126   284   297   469   286   502 0.74 -
15532at50557_34720_0:00053e|STRG.17758.2:197-3286|+  -           1030 10268at50557         -            792     3e-26   90.7   3.4   3   3   8.6e-10   6.6e-07   26.7   0.5   301   329   608   636   583   652 0.85 -
15532at50557_34720_0:00053e|STRG.17758.1:197-3121|+  -            975 10268at50557         -            792   4.7e-26   90.0   5.5   1   3     0.023        18    2.1   0.1    49   107    94   149    86   186 0.75 -
15532at50557_34720_0:00053e|STRG.17758.1:197-3121|+  -            975 10268at50557         -            792   4.7e-26   90.0   5.5   2   3     2e-20   1.5e-17   61.9   0.0   126   284   242   414   231   447 0.74 -
15532at50557_34720_0:00053e|STRG.17758.1:197-3121|+  -            975 10268at50557         -            792   4.7e-26   90.0   5.5   3   3     8e-10   6.2e-07   26.8   0.5   301   329   553   581   528   597 0.85 -
15532at50557_7397_0:003f49|STRG.7738.2:205-624|+     -            140 10268at50557         -            792   4.2e-16   57.1   0.0   1   1     7e-19   5.4e-16   56.8   0.0   304   375    30   110    17   125 0.83 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/10268at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/10268at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/10268at50557.hmm annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 20:02:04 2024
# [ok]
